gene,source,thresholds,comparison
prpC,bie,5,KANvsH2O
prpD,bie,5,KANvsH2O
prpE,bie,5,KANvsH2O
glsA,bie,5,KANvsH2O
ybaT,bie,5,KANvsH2O
ybgA,bie,5,KANvsH2O
ybgS,bie,5,KANvsH2O
mcbA,bie,5,KANvsH2O
dps,bie,5,KANvsH2O
artI,bie,5,KANvsH2O
ycaC,bie,5,KANvsH2O
rmf,bie,5,KANvsH2O
ycgB,bie,5,KANvsH2O
narG,bie,5,KANvsH2O
patD,bie,5,KANvsH2O
sra,bie,5,KANvsH2O
gadC,bie,5,KANvsH2O
gadB,bie,5,KANvsH2O
lsrB,bie,5,KANvsH2O
lsrF,bie,5,KANvsH2O
lsrG,bie,5,KANvsH2O
asr,bie,5,KANvsH2O
sufC,bie,5,KANvsH2O
sufB,bie,5,KANvsH2O
sufA,bie,5,KANvsH2O
katE,bie,5,KANvsH2O
astE,bie,5,KANvsH2O
yeaG,bie,5,KANvsH2O
yeaH,bie,5,KANvsH2O
yobF,bie,5,KANvsH2O
yebV,bie,5,KANvsH2O
yegP,bie,5,KANvsH2O
fbaB,bie,5,KANvsH2O
yohC,bie,5,KANvsH2O
ompC,bie,5,KANvsH2O
elaB,bie,5,KANvsH2O
nuoI,bie,5,KANvsH2O
talA,bie,5,KANvsH2O
tktB,bie,5,KANvsH2O
gabD,bie,5,KANvsH2O
gabT,bie,5,KANvsH2O
cysH,bie,5,KANvsH2O
cysJ,bie,5,KANvsH2O
gcvP,bie,5,KANvsH2O
dkgA,bie,5,KANvsH2O
ygiW,bie,5,KANvsH2O
yhdV,bie,5,KANvsH2O
yhiM,bie,5,KANvsH2O
slp,bie,5,KANvsH2O
hdeB,bie,5,KANvsH2O
hdeA,bie,5,KANvsH2O
hdeD,bie,5,KANvsH2O
gadE,bie,5,KANvsH2O
mdtE,bie,5,KANvsH2O
gadX,bie,5,KANvsH2O
gadA,bie,5,KANvsH2O
yiaG,bie,5,KANvsH2O
aldB,bie,5,KANvsH2O
aceK,bie,5,KANvsH2O
yjbJ,bie,5,KANvsH2O
aidB,bie,5,KANvsH2O
ydgU,bie,5,KANvsH2O
arrS,bie,5,KANvsH2O
prpB,bie,5,CIPvsH2O
prpC,bie,5,CIPvsH2O
prpD,bie,5,CIPvsH2O
prpE,bie,5,CIPvsH2O
rmf,bie,5,CIPvsH2O
gadC,bie,5,CIPvsH2O
gadB,bie,5,CIPvsH2O
asr,bie,5,CIPvsH2O
cysA,bie,5,CIPvsH2O
cysW,bie,5,CIPvsH2O
cysU,bie,5,CIPvsH2O
cysP,bie,5,CIPvsH2O
cysH,bie,5,CIPvsH2O
cysI,bie,5,CIPvsH2O
cysJ,bie,5,CIPvsH2O
mtr,bie,5,CIPvsH2O
yhiM,bie,5,CIPvsH2O
