gene,source,thresholds,comparison
pspA,emani,2.0,all_tags_vs_control
pspB,emani,2.0,all_tags_vs_control
pspC,emani,2.0,all_tags_vs_control
pspD,emani,2.0,all_tags_vs_control
pspG,emani,2.0,all_tags_vs_control
mgtT,emani,2.0,all_tags_vs_control
fimA,emani,2.0,all_tags_vs_control
rstA,emani,2.0,all_tags_vs_control
mgtL,emani,2.0,all_tags_vs_control
csgA,emani,2.0,all_tags_vs_control
mgtS (formerly yneM),emani,2.0,all_tags_vs_control
mgrB,emani,2.0,all_tags_vs_control
yliM,emani,2.0,all_tags_vs_control
yebO,emani,2.0,all_tags_vs_control
norV,emani,2.0,all_tags_vs_control
mgtA,emani,2.0,all_tags_vs_control
ymdF,emani,2.0,all_tags_vs_control
ybjG,emani,2.0,all_tags_vs_control
gfp,emani,2.0,all_tags_vs_control
ycjM,emani,2.0,all_tags_vs_control
astC,emani,2.0,all_tags_vs_control
rstB,emani,2.0,all_tags_vs_control
astA,emani,2.0,all_tags_vs_control
agaB,emani,2.0,all_tags_vs_control
malX,emani,2.0,all_tags_vs_control
lacZ,emani,2.0,all_tags_vs_control
pspE,emani,2.0,all_tags_vs_control
yciF,emani,2.0,all_tags_vs_control
cpxP,emani,2.0,all_tags_vs_control
dgcZ,emani,2.0,all_tags_vs_control
agaS,emani,2.0,all_tags_vs_control
astD,emani,2.0,all_tags_vs_control
ampH,emani,2.0,all_tags_vs_control
kbaZ,emani,2.0,all_tags_vs_control
nupG,emani,2.0,all_tags_vs_control
fadE,emani,2.0,all_tags_vs_control
pagP,emani,2.0,all_tags_vs_control
lpxT,emani,2.0,all_tags_vs_control
fadB,emani,2.0,all_tags_vs_control
iprA/yaiV,emani,2.0,all_tags_vs_control
yebE,emani,2.0,all_tags_vs_control
cdd,emani,2.0,all_tags_vs_control
bsmA,emani,2.0,all_tags_vs_control
yebV,emani,2.0,all_tags_vs_control
norW,emani,2.0,all_tags_vs_control
ytfK,emani,2.0,all_tags_vs_control
marA,emani,2.0,all_tags_vs_control
hisG,emani,2.0,all_tags_vs_control
yjfN,emani,2.0,all_tags_vs_control
kbaY,emani,2.0,all_tags_vs_control
ygbE,emani,2.0,all_tags_vs_control
