gene,source,thresholds,comparison
yodb,jovanovic,IQR,IV_secretin_overproduction_versus_control
moda,jovanovic,IQR,IV_secretin_overproduction_versus_control
cutc,jovanovic,IQR,IV_secretin_overproduction_versus_control
eno,jovanovic,IQR,IV_secretin_overproduction_versus_control
ppdb,jovanovic,IQR,IV_secretin_overproduction_versus_control
yfbs,jovanovic,IQR,IV_secretin_overproduction_versus_control
poxb,jovanovic,IQR,IV_secretin_overproduction_versus_control
b1377,jovanovic,IQR,IV_secretin_overproduction_versus_control
pola,jovanovic,IQR,IV_secretin_overproduction_versus_control
yfal,jovanovic,IQR,IV_secretin_overproduction_versus_control
rpse,jovanovic,IQR,IV_secretin_overproduction_versus_control
yhja,jovanovic,IQR,IV_secretin_overproduction_versus_control
yaef,jovanovic,IQR,IV_secretin_overproduction_versus_control
b1671,jovanovic,IQR,IV_secretin_overproduction_versus_control
yico,jovanovic,IQR,IV_secretin_overproduction_versus_control
ycbn,jovanovic,IQR,IV_secretin_overproduction_versus_control
ygfq,jovanovic,IQR,IV_secretin_overproduction_versus_control
yeag,jovanovic,IQR,IV_secretin_overproduction_versus_control
b1746,jovanovic,IQR,IV_secretin_overproduction_versus_control
yhgf,jovanovic,IQR,IV_secretin_overproduction_versus_control
ydit,jovanovic,IQR,IV_secretin_overproduction_versus_control
vsr,jovanovic,IQR,IV_secretin_overproduction_versus_control
b1458,jovanovic,IQR,IV_secretin_overproduction_versus_control
b2359,jovanovic,IQR,IV_secretin_overproduction_versus_control
gabd,jovanovic,IQR,IV_secretin_overproduction_versus_control
sgau,jovanovic,IQR,IV_secretin_overproduction_versus_control
sgbh,jovanovic,IQR,IV_secretin_overproduction_versus_control
smpa,jovanovic,IQR,IV_secretin_overproduction_versus_control
slp,jovanovic,IQR,IV_secretin_overproduction_versus_control
rplc,jovanovic,IQR,IV_secretin_overproduction_versus_control
dicc,jovanovic,IQR,IV_secretin_overproduction_versus_control
ycbo,jovanovic,IQR,IV_secretin_overproduction_versus_control
b1522,jovanovic,IQR,IV_secretin_overproduction_versus_control
fuco,jovanovic,IQR,IV_secretin_overproduction_versus_control
b1044,jovanovic,IQR,IV_secretin_overproduction_versus_control
rpsk,jovanovic,IQR,IV_secretin_overproduction_versus_control
yaip,jovanovic,IQR,IV_secretin_overproduction_versus_control
yhcj,jovanovic,IQR,IV_secretin_overproduction_versus_control
cynt,jovanovic,IQR,IV_secretin_overproduction_versus_control
dnac,jovanovic,IQR,IV_secretin_overproduction_versus_control
argd,jovanovic,IQR,IV_secretin_overproduction_versus_control
ansb,jovanovic,IQR,IV_secretin_overproduction_versus_control
agaz,jovanovic,IQR,IV_secretin_overproduction_versus_control
yehe,jovanovic,IQR,IV_secretin_overproduction_versus_control
gntk,jovanovic,IQR,IV_secretin_overproduction_versus_control
rpsg,jovanovic,IQR,IV_secretin_overproduction_versus_control
yfbn,jovanovic,IQR,IV_secretin_overproduction_versus_control
prib,jovanovic,IQR,IV_secretin_overproduction_versus_control
yi22_1,jovanovic,IQR,IV_secretin_overproduction_versus_control
ydbu,jovanovic,IQR,IV_secretin_overproduction_versus_control
malm,jovanovic,IQR,IV_secretin_overproduction_versus_control
b1502,jovanovic,IQR,IV_secretin_overproduction_versus_control
yghk,jovanovic,IQR,IV_secretin_overproduction_versus_control
poti,jovanovic,IQR,IV_secretin_overproduction_versus_control
icda,jovanovic,IQR,IV_secretin_overproduction_versus_control
cutf,jovanovic,IQR,IV_secretin_overproduction_versus_control
yggf,jovanovic,IQR,IV_secretin_overproduction_versus_control
yhiw,jovanovic,IQR,IV_secretin_overproduction_versus_control
mltc,jovanovic,IQR,IV_secretin_overproduction_versus_control
yicp,jovanovic,IQR,IV_secretin_overproduction_versus_control
yrdb,jovanovic,IQR,IV_secretin_overproduction_versus_control
fixc,jovanovic,IQR,IV_secretin_overproduction_versus_control
yheb,jovanovic,IQR,IV_secretin_overproduction_versus_control
wcag,jovanovic,IQR,IV_secretin_overproduction_versus_control
yphb,jovanovic,IQR,IV_secretin_overproduction_versus_control
glcd,jovanovic,IQR,IV_secretin_overproduction_versus_control
ycbp,jovanovic,IQR,IV_secretin_overproduction_versus_control
glvb,jovanovic,IQR,IV_secretin_overproduction_versus_control
fdoi,jovanovic,IQR,IV_secretin_overproduction_versus_control
yhes,jovanovic,IQR,IV_secretin_overproduction_versus_control
flu,jovanovic,IQR,IV_secretin_overproduction_versus_control
