gene,source,thresholds,comparison
appA,mori,2.5,Lib-17_versus_Lib-20
argB,mori,2.5,Lib-17_versus_Lib-20
argD,mori,2.5,Lib-17_versus_Lib-20
argF,mori,2.5,Lib-17_versus_Lib-20
argG,mori,2.5,Lib-17_versus_Lib-20
argH,mori,2.5,Lib-17_versus_Lib-20
aroF,mori,2.5,Lib-17_versus_Lib-20
aroG,mori,2.5,Lib-17_versus_Lib-20
artJ,mori,2.5,Lib-17_versus_Lib-20
asd,mori,2.5,Lib-17_versus_Lib-20
asnA,mori,2.5,Lib-17_versus_Lib-20
chaA,mori,2.5,Lib-17_versus_Lib-20
cirA,mori,2.5,Lib-17_versus_Lib-20
copA,mori,2.5,Lib-17_versus_Lib-20
cusR,mori,2.5,Lib-17_versus_Lib-20
cysC,mori,2.5,Lib-17_versus_Lib-20
cysN,mori,2.5,Lib-17_versus_Lib-20
dppA,mori,2.5,Lib-17_versus_Lib-20
dppD,mori,2.5,Lib-17_versus_Lib-20
ecnB,mori,2.5,Lib-17_versus_Lib-20
entA,mori,2.5,Lib-17_versus_Lib-20
entB,mori,2.5,Lib-17_versus_Lib-20
entC,mori,2.5,Lib-17_versus_Lib-20
entE,mori,2.5,Lib-17_versus_Lib-20
entF,mori,2.5,Lib-17_versus_Lib-20
fbaB,mori,2.5,Lib-17_versus_Lib-20
fepA,mori,2.5,Lib-17_versus_Lib-20
fiu,mori,2.5,Lib-17_versus_Lib-20
gdhA,mori,2.5,Lib-17_versus_Lib-20
gltB,mori,2.5,Lib-17_versus_Lib-20
gltD,mori,2.5,Lib-17_versus_Lib-20
hdeA,mori,2.5,Lib-17_versus_Lib-20
hisJ,mori,2.5,Lib-17_versus_Lib-20
ilvA,mori,2.5,Lib-17_versus_Lib-20
ilvC,mori,2.5,Lib-17_versus_Lib-20
ilvD,mori,2.5,Lib-17_versus_Lib-20
ilvE,mori,2.5,Lib-17_versus_Lib-20
ilvG_1,mori,2.5,Lib-17_versus_Lib-20
ilvI,mori,2.5,Lib-17_versus_Lib-20
ilvM,mori,2.5,Lib-17_versus_Lib-20
leuA,mori,2.5,Lib-17_versus_Lib-20
leuC,mori,2.5,Lib-17_versus_Lib-20
livJ,mori,2.5,Lib-17_versus_Lib-20
lysC,mori,2.5,Lib-17_versus_Lib-20
metA,mori,2.5,Lib-17_versus_Lib-20
metB,mori,2.5,Lib-17_versus_Lib-20
metC,mori,2.5,Lib-17_versus_Lib-20
metE,mori,2.5,Lib-17_versus_Lib-20
metQ,mori,2.5,Lib-17_versus_Lib-20
mnaT,mori,2.5,Lib-17_versus_Lib-20
nadB,mori,2.5,Lib-17_versus_Lib-20
nlpA,mori,2.5,Lib-17_versus_Lib-20
nrdE,mori,2.5,Lib-17_versus_Lib-20
pntB,mori,2.5,Lib-17_versus_Lib-20
potF,mori,2.5,Lib-17_versus_Lib-20
ppc,mori,2.5,Lib-17_versus_Lib-20
purC,mori,2.5,Lib-17_versus_Lib-20
purE,mori,2.5,Lib-17_versus_Lib-20
purT,mori,2.5,Lib-17_versus_Lib-20
serA,mori,2.5,Lib-17_versus_Lib-20
serC,mori,2.5,Lib-17_versus_Lib-20
sra,mori,2.5,Lib-17_versus_Lib-20
thiG,mori,2.5,Lib-17_versus_Lib-20
thiM,mori,2.5,Lib-17_versus_Lib-20
thrA,mori,2.5,Lib-17_versus_Lib-20
thrB,mori,2.5,Lib-17_versus_Lib-20
trpA,mori,2.5,Lib-17_versus_Lib-20
trpB,mori,2.5,Lib-17_versus_Lib-20
trpC,mori,2.5,Lib-17_versus_Lib-20
trpD,mori,2.5,Lib-17_versus_Lib-20
tyrA,mori,2.5,Lib-17_versus_Lib-20
ybiC,mori,2.5,Lib-17_versus_Lib-20
ybjX,mori,2.5,Lib-17_versus_Lib-20
ydfZ,mori,2.5,Lib-17_versus_Lib-20
ydiH,mori,2.5,Lib-17_versus_Lib-20
yebF,mori,2.5,Lib-17_versus_Lib-20
yfdH,mori,2.5,Lib-17_versus_Lib-20
yfdI,mori,2.5,Lib-17_versus_Lib-20
yojI,mori,2.5,Lib-17_versus_Lib-20
ahr,mori,2.5,Lib-02_versus_Lib-20
argB,mori,2.5,Lib-02_versus_Lib-20
argD,mori,2.5,Lib-02_versus_Lib-20
argF,mori,2.5,Lib-02_versus_Lib-20
argG,mori,2.5,Lib-02_versus_Lib-20
argH,mori,2.5,Lib-02_versus_Lib-20
artJ,mori,2.5,Lib-02_versus_Lib-20
chaA,mori,2.5,Lib-02_versus_Lib-20
cpxP,mori,2.5,Lib-02_versus_Lib-20
cysA,mori,2.5,Lib-02_versus_Lib-20
cysC,mori,2.5,Lib-02_versus_Lib-20
cysD,mori,2.5,Lib-02_versus_Lib-20
cysH,mori,2.5,Lib-02_versus_Lib-20
cysJ,mori,2.5,Lib-02_versus_Lib-20
cysN,mori,2.5,Lib-02_versus_Lib-20
cysP,mori,2.5,Lib-02_versus_Lib-20
dosC,mori,2.5,Lib-02_versus_Lib-20
dppA,mori,2.5,Lib-02_versus_Lib-20
dppD,mori,2.5,Lib-02_versus_Lib-20
dps,mori,2.5,Lib-02_versus_Lib-20
ecnB,mori,2.5,Lib-02_versus_Lib-20
elaB,mori,2.5,Lib-02_versus_Lib-20
fbaB,mori,2.5,Lib-02_versus_Lib-20
gabD,mori,2.5,Lib-02_versus_Lib-20
gltD,mori,2.5,Lib-02_versus_Lib-20
grxB,mori,2.5,Lib-02_versus_Lib-20
ilvB,mori,2.5,Lib-02_versus_Lib-20
ilvC,mori,2.5,Lib-02_versus_Lib-20
ilvI,mori,2.5,Lib-02_versus_Lib-20
ilvN,mori,2.5,Lib-02_versus_Lib-20
iraP,mori,2.5,Lib-02_versus_Lib-20
ivy,mori,2.5,Lib-02_versus_Lib-20
katE,mori,2.5,Lib-02_versus_Lib-20
kdpB,mori,2.5,Lib-02_versus_Lib-20
leuA,mori,2.5,Lib-02_versus_Lib-20
leuC,mori,2.5,Lib-02_versus_Lib-20
livJ,mori,2.5,Lib-02_versus_Lib-20
lysC,mori,2.5,Lib-02_versus_Lib-20
metA,mori,2.5,Lib-02_versus_Lib-20
metB,mori,2.5,Lib-02_versus_Lib-20
metE,mori,2.5,Lib-02_versus_Lib-20
metQ,mori,2.5,Lib-02_versus_Lib-20
mmuM,mori,2.5,Lib-02_versus_Lib-20
msyB,mori,2.5,Lib-02_versus_Lib-20
nadB,mori,2.5,Lib-02_versus_Lib-20
nlpA,mori,2.5,Lib-02_versus_Lib-20
nrdE,mori,2.5,Lib-02_versus_Lib-20
osmC,mori,2.5,Lib-02_versus_Lib-20
osmE,mori,2.5,Lib-02_versus_Lib-20
osmF,mori,2.5,Lib-02_versus_Lib-20
osmY,mori,2.5,Lib-02_versus_Lib-20
pfkB,mori,2.5,Lib-02_versus_Lib-20
poxB,mori,2.5,Lib-02_versus_Lib-20
proV,mori,2.5,Lib-02_versus_Lib-20
proW,mori,2.5,Lib-02_versus_Lib-20
proX,mori,2.5,Lib-02_versus_Lib-20
pstS,mori,2.5,Lib-02_versus_Lib-20
rclA,mori,2.5,Lib-02_versus_Lib-20
rsd,mori,2.5,Lib-02_versus_Lib-20
rssB,mori,2.5,Lib-02_versus_Lib-20
sbp,mori,2.5,Lib-02_versus_Lib-20
serA,mori,2.5,Lib-02_versus_Lib-20
sodC,mori,2.5,Lib-02_versus_Lib-20
spy,mori,2.5,Lib-02_versus_Lib-20
sra,mori,2.5,Lib-02_versus_Lib-20
sufC,mori,2.5,Lib-02_versus_Lib-20
talA,mori,2.5,Lib-02_versus_Lib-20
thiG,mori,2.5,Lib-02_versus_Lib-20
thiM,mori,2.5,Lib-02_versus_Lib-20
tktB,mori,2.5,Lib-02_versus_Lib-20
trpC,mori,2.5,Lib-02_versus_Lib-20
wrbA,mori,2.5,Lib-02_versus_Lib-20
yahK,mori,2.5,Lib-02_versus_Lib-20
ybaY,mori,2.5,Lib-02_versus_Lib-20
ybiC,mori,2.5,Lib-02_versus_Lib-20
ybjX,mori,2.5,Lib-02_versus_Lib-20
ycaC,mori,2.5,Lib-02_versus_Lib-20
yciG,mori,2.5,Lib-02_versus_Lib-20
ydhZ,mori,2.5,Lib-02_versus_Lib-20
yeaG,mori,2.5,Lib-02_versus_Lib-20
yebF,mori,2.5,Lib-02_versus_Lib-20
ygaM,mori,2.5,Lib-02_versus_Lib-20
ygaU,mori,2.5,Lib-02_versus_Lib-20
ygdI,mori,2.5,Lib-02_versus_Lib-20
ygdR,mori,2.5,Lib-02_versus_Lib-20
yhjG,mori,2.5,Lib-02_versus_Lib-20
ymdF,mori,2.5,Lib-02_versus_Lib-20
ymgD,mori,2.5,Lib-02_versus_Lib-20
yqjD,mori,2.5,Lib-02_versus_Lib-20
aceA,mori,2.5,Lib-06_versus_Lib-20
aceB,mori,2.5,Lib-06_versus_Lib-20
acs,mori,2.5,Lib-06_versus_Lib-20
actP,mori,2.5,Lib-06_versus_Lib-20
argB,mori,2.5,Lib-06_versus_Lib-20
argD,mori,2.5,Lib-06_versus_Lib-20
argF,mori,2.5,Lib-06_versus_Lib-20
argG,mori,2.5,Lib-06_versus_Lib-20
argH,mori,2.5,Lib-06_versus_Lib-20
argT,mori,2.5,Lib-06_versus_Lib-20
aroF,mori,2.5,Lib-06_versus_Lib-20
artJ,mori,2.5,Lib-06_versus_Lib-20
asd,mori,2.5,Lib-06_versus_Lib-20
chaA,mori,2.5,Lib-06_versus_Lib-20
cpxP,mori,2.5,Lib-06_versus_Lib-20
csiD,mori,2.5,Lib-06_versus_Lib-20
cstA,mori,2.5,Lib-06_versus_Lib-20
dgoR,mori,2.5,Lib-06_versus_Lib-20
dppA,mori,2.5,Lib-06_versus_Lib-20
dppD,mori,2.5,Lib-06_versus_Lib-20
ecnB,mori,2.5,Lib-06_versus_Lib-20
fadA,mori,2.5,Lib-06_versus_Lib-20
fadB,mori,2.5,Lib-06_versus_Lib-20
fbaB,mori,2.5,Lib-06_versus_Lib-20
gabD,mori,2.5,Lib-06_versus_Lib-20
gdhA,mori,2.5,Lib-06_versus_Lib-20
glcB,mori,2.5,Lib-06_versus_Lib-20
glcE,mori,2.5,Lib-06_versus_Lib-20
glcG,mori,2.5,Lib-06_versus_Lib-20
glgB,mori,2.5,Lib-06_versus_Lib-20
gltI,mori,2.5,Lib-06_versus_Lib-20
ilvA,mori,2.5,Lib-06_versus_Lib-20
ilvB,mori,2.5,Lib-06_versus_Lib-20
ilvC,mori,2.5,Lib-06_versus_Lib-20
ilvD,mori,2.5,Lib-06_versus_Lib-20
ilvE,mori,2.5,Lib-06_versus_Lib-20
ilvG_1,mori,2.5,Lib-06_versus_Lib-20
ilvI,mori,2.5,Lib-06_versus_Lib-20
ilvM,mori,2.5,Lib-06_versus_Lib-20
ilvN,mori,2.5,Lib-06_versus_Lib-20
leuA,mori,2.5,Lib-06_versus_Lib-20
leuC,mori,2.5,Lib-06_versus_Lib-20
livJ,mori,2.5,Lib-06_versus_Lib-20
lysC,mori,2.5,Lib-06_versus_Lib-20
metA,mori,2.5,Lib-06_versus_Lib-20
metE,mori,2.5,Lib-06_versus_Lib-20
metQ,mori,2.5,Lib-06_versus_Lib-20
nadB,mori,2.5,Lib-06_versus_Lib-20
ompW,mori,2.5,Lib-06_versus_Lib-20
potF,mori,2.5,Lib-06_versus_Lib-20
purT,mori,2.5,Lib-06_versus_Lib-20
rsd,mori,2.5,Lib-06_versus_Lib-20
sad,mori,2.5,Lib-06_versus_Lib-20
serA,mori,2.5,Lib-06_versus_Lib-20
sodC,mori,2.5,Lib-06_versus_Lib-20
sra,mori,2.5,Lib-06_versus_Lib-20
sstT,mori,2.5,Lib-06_versus_Lib-20
thiG,mori,2.5,Lib-06_versus_Lib-20
thiM,mori,2.5,Lib-06_versus_Lib-20
thrB,mori,2.5,Lib-06_versus_Lib-20
trpA,mori,2.5,Lib-06_versus_Lib-20
trpB,mori,2.5,Lib-06_versus_Lib-20
trpC,mori,2.5,Lib-06_versus_Lib-20
trpD,mori,2.5,Lib-06_versus_Lib-20
tyrA,mori,2.5,Lib-06_versus_Lib-20
uspF,mori,2.5,Lib-06_versus_Lib-20
wrbA,mori,2.5,Lib-06_versus_Lib-20
ybjX,mori,2.5,Lib-06_versus_Lib-20
ycaC,mori,2.5,Lib-06_versus_Lib-20
ydcH,mori,2.5,Lib-06_versus_Lib-20
ydiH,mori,2.5,Lib-06_versus_Lib-20
yebF,mori,2.5,Lib-06_versus_Lib-20
ygaM,mori,2.5,Lib-06_versus_Lib-20
yghZ,mori,2.5,Lib-06_versus_Lib-20
yjcH,mori,2.5,Lib-06_versus_Lib-20
yjhG,mori,2.5,Lib-06_versus_Lib-20
ysgA,mori,2.5,Lib-06_versus_Lib-20
aldB,mori,2.5,Lib-14_versus_Lib-20
appA,mori,2.5,Lib-14_versus_Lib-20
argB,mori,2.5,Lib-14_versus_Lib-20
argD,mori,2.5,Lib-14_versus_Lib-20
argF,mori,2.5,Lib-14_versus_Lib-20
argG,mori,2.5,Lib-14_versus_Lib-20
argH,mori,2.5,Lib-14_versus_Lib-20
aroF,mori,2.5,Lib-14_versus_Lib-20
aroG,mori,2.5,Lib-14_versus_Lib-20
artJ,mori,2.5,Lib-14_versus_Lib-20
basR,mori,2.5,Lib-14_versus_Lib-20
chaA,mori,2.5,Lib-14_versus_Lib-20
cysC,mori,2.5,Lib-14_versus_Lib-20
cysD,mori,2.5,Lib-14_versus_Lib-20
cysH,mori,2.5,Lib-14_versus_Lib-20
cysJ,mori,2.5,Lib-14_versus_Lib-20
cysN,mori,2.5,Lib-14_versus_Lib-20
cysP,mori,2.5,Lib-14_versus_Lib-20
dppA,mori,2.5,Lib-14_versus_Lib-20
dppD,mori,2.5,Lib-14_versus_Lib-20
dps,mori,2.5,Lib-14_versus_Lib-20
ecnB,mori,2.5,Lib-14_versus_Lib-20
fbaB,mori,2.5,Lib-14_versus_Lib-20
gdhA,mori,2.5,Lib-14_versus_Lib-20
gltB,mori,2.5,Lib-14_versus_Lib-20
gltD,mori,2.5,Lib-14_versus_Lib-20
hisA,mori,2.5,Lib-14_versus_Lib-20
hisB,mori,2.5,Lib-14_versus_Lib-20
hisC,mori,2.5,Lib-14_versus_Lib-20
hisD,mori,2.5,Lib-14_versus_Lib-20
hisF,mori,2.5,Lib-14_versus_Lib-20
hisG,mori,2.5,Lib-14_versus_Lib-20
hisI,mori,2.5,Lib-14_versus_Lib-20
hisJ,mori,2.5,Lib-14_versus_Lib-20
ilvA,mori,2.5,Lib-14_versus_Lib-20
ilvB,mori,2.5,Lib-14_versus_Lib-20
ilvC,mori,2.5,Lib-14_versus_Lib-20
ilvD,mori,2.5,Lib-14_versus_Lib-20
ilvE,mori,2.5,Lib-14_versus_Lib-20
ilvG_1,mori,2.5,Lib-14_versus_Lib-20
ilvI,mori,2.5,Lib-14_versus_Lib-20
ilvM,mori,2.5,Lib-14_versus_Lib-20
ilvN,mori,2.5,Lib-14_versus_Lib-20
kdpB,mori,2.5,Lib-14_versus_Lib-20
leuA,mori,2.5,Lib-14_versus_Lib-20
leuC,mori,2.5,Lib-14_versus_Lib-20
livJ,mori,2.5,Lib-14_versus_Lib-20
lysC,mori,2.5,Lib-14_versus_Lib-20
metA,mori,2.5,Lib-14_versus_Lib-20
metB,mori,2.5,Lib-14_versus_Lib-20
metE,mori,2.5,Lib-14_versus_Lib-20
metQ,mori,2.5,Lib-14_versus_Lib-20
msyB,mori,2.5,Lib-14_versus_Lib-20
nadB,mori,2.5,Lib-14_versus_Lib-20
nlpA,mori,2.5,Lib-14_versus_Lib-20
pheA,mori,2.5,Lib-14_versus_Lib-20
pliG,mori,2.5,Lib-14_versus_Lib-20
pntA,mori,2.5,Lib-14_versus_Lib-20
pntB,mori,2.5,Lib-14_versus_Lib-20
potF,mori,2.5,Lib-14_versus_Lib-20
pstS,mori,2.5,Lib-14_versus_Lib-20
purE,mori,2.5,Lib-14_versus_Lib-20
purT,mori,2.5,Lib-14_versus_Lib-20
rsd,mori,2.5,Lib-14_versus_Lib-20
serA,mori,2.5,Lib-14_versus_Lib-20
serC,mori,2.5,Lib-14_versus_Lib-20
sra,mori,2.5,Lib-14_versus_Lib-20
thiG,mori,2.5,Lib-14_versus_Lib-20
thiM,mori,2.5,Lib-14_versus_Lib-20
thrA,mori,2.5,Lib-14_versus_Lib-20
thrB,mori,2.5,Lib-14_versus_Lib-20
thrC,mori,2.5,Lib-14_versus_Lib-20
trpA,mori,2.5,Lib-14_versus_Lib-20
trpB,mori,2.5,Lib-14_versus_Lib-20
trpC,mori,2.5,Lib-14_versus_Lib-20
trpD,mori,2.5,Lib-14_versus_Lib-20
tyrA,mori,2.5,Lib-14_versus_Lib-20
ybjX,mori,2.5,Lib-14_versus_Lib-20
ydiH,mori,2.5,Lib-14_versus_Lib-20
yebF,mori,2.5,Lib-14_versus_Lib-20
ygaM,mori,2.5,Lib-14_versus_Lib-20
ykgM,mori,2.5,Lib-14_versus_Lib-20
znuA,mori,2.5,Lib-14_versus_Lib-20
aceA,mori,2.5,Lib-19_versus_Lib-20
aceB,mori,2.5,Lib-19_versus_Lib-20
acnA,mori,2.5,Lib-19_versus_Lib-20
acs,mori,2.5,Lib-19_versus_Lib-20
agp,mori,2.5,Lib-19_versus_Lib-20
ahr,mori,2.5,Lib-19_versus_Lib-20
aldB,mori,2.5,Lib-19_versus_Lib-20
amyA,mori,2.5,Lib-19_versus_Lib-20
ansB,mori,2.5,Lib-19_versus_Lib-20
appA,mori,2.5,Lib-19_versus_Lib-20
araF,mori,2.5,Lib-19_versus_Lib-20
argB,mori,2.5,Lib-19_versus_Lib-20
argT,mori,2.5,Lib-19_versus_Lib-20
astA,mori,2.5,Lib-19_versus_Lib-20
astB,mori,2.5,Lib-19_versus_Lib-20
astC,mori,2.5,Lib-19_versus_Lib-20
astD,mori,2.5,Lib-19_versus_Lib-20
astE,mori,2.5,Lib-19_versus_Lib-20
bfr,mori,2.5,Lib-19_versus_Lib-20
cpxP,mori,2.5,Lib-19_versus_Lib-20
csiD,mori,2.5,Lib-19_versus_Lib-20
cstA,mori,2.5,Lib-19_versus_Lib-20
curA,mori,2.5,Lib-19_versus_Lib-20
cydA,mori,2.5,Lib-19_versus_Lib-20
cydB,mori,2.5,Lib-19_versus_Lib-20
dgoR,mori,2.5,Lib-19_versus_Lib-20
dkgA,mori,2.5,Lib-19_versus_Lib-20
dosC,mori,2.5,Lib-19_versus_Lib-20
dppA,mori,2.5,Lib-19_versus_Lib-20
dppD,mori,2.5,Lib-19_versus_Lib-20
dps,mori,2.5,Lib-19_versus_Lib-20
ecnB,mori,2.5,Lib-19_versus_Lib-20
elaB,mori,2.5,Lib-19_versus_Lib-20
fbaB,mori,2.5,Lib-19_versus_Lib-20
frdB,mori,2.5,Lib-19_versus_Lib-20
gabD,mori,2.5,Lib-19_versus_Lib-20
gabT,mori,2.5,Lib-19_versus_Lib-20
gldA,mori,2.5,Lib-19_versus_Lib-20
glnH,mori,2.5,Lib-19_versus_Lib-20
gltI,mori,2.5,Lib-19_versus_Lib-20
grcA,mori,2.5,Lib-19_versus_Lib-20
grxB,mori,2.5,Lib-19_versus_Lib-20
hchA,mori,2.5,Lib-19_versus_Lib-20
hdeA,mori,2.5,Lib-19_versus_Lib-20
hdhA,mori,2.5,Lib-19_versus_Lib-20
hybB,mori,2.5,Lib-19_versus_Lib-20
hybC,mori,2.5,Lib-19_versus_Lib-20
hybO,mori,2.5,Lib-19_versus_Lib-20
hypD,mori,2.5,Lib-19_versus_Lib-20
