gene,source,thresholds,comparison
ansB,radzikowski,2.0,Persisters_0.5h_Over_GlucoseGrowth
csiD,radzikowski,2.0,Persisters_0.5h_Over_GlucoseGrowth
csiE,radzikowski,2.0,Persisters_0.5h_Over_GlucoseGrowth
fadL,radzikowski,2.0,Persisters_0.5h_Over_GlucoseGrowth
glcC,radzikowski,2.0,Persisters_0.5h_Over_GlucoseGrowth
glcE,radzikowski,2.0,Persisters_0.5h_Over_GlucoseGrowth
glcF,radzikowski,2.0,Persisters_0.5h_Over_GlucoseGrowth
glgS,radzikowski,2.0,Persisters_0.5h_Over_GlucoseGrowth
gmr ,radzikowski,2.0,Persisters_0.5h_Over_GlucoseGrowth
idi ,radzikowski,2.0,Persisters_0.5h_Over_GlucoseGrowth
IPF_,radzikowski,2.0,Persisters_0.5h_Over_GlucoseGrowth
lamB,radzikowski,2.0,Persisters_0.5h_Over_GlucoseGrowth
mutY,radzikowski,2.0,Persisters_0.5h_Over_GlucoseGrowth
narZ,radzikowski,2.0,Persisters_0.5h_Over_GlucoseGrowth
raiA,radzikowski,2.0,Persisters_0.5h_Over_GlucoseGrowth
rmf ,radzikowski,2.0,Persisters_0.5h_Over_GlucoseGrowth
rpoS,radzikowski,2.0,Persisters_0.5h_Over_GlucoseGrowth
tesC,radzikowski,2.0,Persisters_0.5h_Over_GlucoseGrowth
uspB,radzikowski,2.0,Persisters_0.5h_Over_GlucoseGrowth
ybaA,radzikowski,2.0,Persisters_0.5h_Over_GlucoseGrowth
ychH,radzikowski,2.0,Persisters_0.5h_Over_GlucoseGrowth
yciG,radzikowski,2.0,Persisters_0.5h_Over_GlucoseGrowth
ydcT,radzikowski,2.0,Persisters_0.5h_Over_GlucoseGrowth
yfiL,radzikowski,2.0,Persisters_0.5h_Over_GlucoseGrowth
yjcH,radzikowski,2.0,Persisters_0.5h_Over_GlucoseGrowth
yraR,radzikowski,2.0,Persisters_0.5h_Over_GlucoseGrowth
ytfR,radzikowski,2.0,Persisters_0.5h_Over_GlucoseGrowth
ansB,radzikowski,2.0,Starved_0.5h_Over_GlucoseGrowth
basS,radzikowski,2.0,Starved_0.5h_Over_GlucoseGrowth
csiD,radzikowski,2.0,Starved_0.5h_Over_GlucoseGrowth
fadL,radzikowski,2.0,Starved_0.5h_Over_GlucoseGrowth
fdoG,radzikowski,2.0,Starved_0.5h_Over_GlucoseGrowth
glcC,radzikowski,2.0,Starved_0.5h_Over_GlucoseGrowth
glcF,radzikowski,2.0,Starved_0.5h_Over_GlucoseGrowth
glgS,radzikowski,2.0,Starved_0.5h_Over_GlucoseGrowth
idi ,radzikowski,2.0,Starved_0.5h_Over_GlucoseGrowth
IPF_,radzikowski,2.0,Starved_0.5h_Over_GlucoseGrowth
lamB,radzikowski,2.0,Starved_0.5h_Over_GlucoseGrowth
mutY,radzikowski,2.0,Starved_0.5h_Over_GlucoseGrowth
narZ,radzikowski,2.0,Starved_0.5h_Over_GlucoseGrowth
raiA,radzikowski,2.0,Starved_0.5h_Over_GlucoseGrowth
rihC,radzikowski,2.0,Starved_0.5h_Over_GlucoseGrowth
uspB,radzikowski,2.0,Starved_0.5h_Over_GlucoseGrowth
ybaA,radzikowski,2.0,Starved_0.5h_Over_GlucoseGrowth
ychH,radzikowski,2.0,Starved_0.5h_Over_GlucoseGrowth
yciG,radzikowski,2.0,Starved_0.5h_Over_GlucoseGrowth
yciY,radzikowski,2.0,Starved_0.5h_Over_GlucoseGrowth
ydcT,radzikowski,2.0,Starved_0.5h_Over_GlucoseGrowth
yfiL,radzikowski,2.0,Starved_0.5h_Over_GlucoseGrowth
yjcH,radzikowski,2.0,Starved_0.5h_Over_GlucoseGrowth
yraR,radzikowski,2.0,Starved_0.5h_Over_GlucoseGrowth
