gene,source,thresholds,comparison
gapA,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
aspC,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
pykF,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
atpD,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
pnp,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
tnaA,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
pck,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
tktA,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
serC,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
gcvP,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
talB,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
glpK,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
wrbA,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
kbl,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
serA,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
deoD,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
narG,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
gsiB,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
rplO,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
pfkA,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
astC,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
tolB,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
glgC,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
proC,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
opgD,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
aceB,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
yajL,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
ychN,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
yhhX,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
gatZ,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
argH,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
ilvE,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
fucI,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
folE,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
codA,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
ycdX,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
glf,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
opgG,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
tdcF,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
gcvT,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
bamA,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
napA,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
ycaC,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
aspS,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
thrA,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
hemB,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
ynfF,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
pykA,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
proV,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
pdxY,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
rdgB,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
manA,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
leuS,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
katG,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
pepT,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
yghA,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
purC,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
glmM,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
cysJ,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
clpP,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
acs,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
puuE,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
ompT,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
aroF,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
talA,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
fldA,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
purU,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
murA,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
tyrS,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
amyA,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
lysS,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
nuoC,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
speA,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
yidC,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
asnB,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
tgt,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
bglA,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
narL,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
yehS,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
metC,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
ptsG,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
mtn,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
lpxA,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
yqjI,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
yecD,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
yedD,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
coaD,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
fabH,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
hemY,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
lpoB,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
metF,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
carA,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
speE,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
patD; prr,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
cysS,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
dsbG,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
xylB,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
rhlB,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
speG,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
glk,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
pntB,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
patA,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
miaB,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
sbp,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
flgL,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
yajG,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
yfgM,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
sspA,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
accC,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
pmbA,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
ygfB,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
yidA,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
obgE,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
yheV,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
yhbO,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
nuoA,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
ompR; EAMY_RS33245,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
rfbB,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
ompP,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
pheA,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
rmf,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
cedA,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
qmcA,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
ddpA,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
ybeX,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
rsxC,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
cheW,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
yhgF,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
glpE,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
prmB,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
yccX,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
sdhD,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
dtd,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
mipA,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
lptC,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
rcsB; AL524_RS11100,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
exbB,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
cysD,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
trpS,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
trpB,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
ilvI,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
ftsK,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
yhiI,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
sstT,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
ypdF,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
