gene,source,thresholds,comparison
groEL,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
slyD,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
fimA,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
AAR,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
cpdB,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
pepB,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
uxaC,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
ytfQ,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
araF,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
rnk,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
rihC,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
lsrF,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
gloA,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
trpR,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
yjjA,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
aroD,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
ylbA; allE,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
fruA,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
mqo,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
ypfJ,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
yafC,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
mog,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
yciO,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
galU,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
menB,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
ubiG,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
def,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
rseA,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
metN,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
trpC,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
yjdI,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
poxB,rajacharya,2.5,acyl-ACP_reductase_overproduction_vs_control
