gene,source,comparison
yjeK,houser,two_week_starvation_versus_control
groL,houser,two_week_starvation_versus_control
ribF,houser,two_week_starvation_versus_control
kch,houser,two_week_starvation_versus_control
btuR,houser,two_week_starvation_versus_control
rbsK,houser,two_week_starvation_versus_control
sugE,houser,two_week_starvation_versus_control
tauD,houser,two_week_starvation_versus_control
rcsF,houser,two_week_starvation_versus_control
yjeP,houser,two_week_starvation_versus_control
ilvE,houser,two_week_starvation_versus_control
ilvM,houser,two_week_starvation_versus_control
tauC,houser,two_week_starvation_versus_control
tauB,houser,two_week_starvation_versus_control
ilvD,houser,two_week_starvation_versus_control
oppA,houser,two_week_starvation_versus_control
thrB,houser,two_week_starvation_versus_control
tatE,houser,two_week_starvation_versus_control
dacA,houser,two_week_starvation_versus_control
dsbG,houser,two_week_starvation_versus_control
hsdM,houser,two_week_starvation_versus_control
tauA,houser,two_week_starvation_versus_control
yaiI,houser,two_week_starvation_versus_control
atpF,houser,two_week_starvation_versus_control
atpG,houser,two_week_starvation_versus_control
atpD,houser,two_week_starvation_versus_control
atpC,houser,two_week_starvation_versus_control
glmU,houser,two_week_starvation_versus_control
recB,houser,two_week_starvation_versus_control
ynfH,houser,two_week_starvation_versus_control
RecD,houser,two_week_starvation_versus_control
oppB,houser,two_week_starvation_versus_control
glmS,houser,two_week_starvation_versus_control
argA,houser,two_week_starvation_versus_control
atpA,houser,two_week_starvation_versus_control
flgD,houser,two_week_starvation_versus_control
rfbC,houser,two_week_starvation_versus_control
yciU,houser,two_week_starvation_versus_control
mrdB,houser,two_week_starvation_versus_control
ybeB,houser,two_week_starvation_versus_control
fadR,houser,two_week_starvation_versus_control
asnC,houser,two_week_starvation_versus_control
yaiE,houser,two_week_starvation_versus_control
atpH,houser,two_week_starvation_versus_control
atpB,houser,two_week_starvation_versus_control
yjeH,houser,two_week_starvation_versus_control
atpE,houser,two_week_starvation_versus_control
oppC,houser,two_week_starvation_versus_control
rsmG,houser,two_week_starvation_versus_control
groS,houser,two_week_starvation_versus_control
oppD,houser,two_week_starvation_versus_control
nadD,houser,two_week_starvation_versus_control
yqhA,houser,two_week_starvation_versus_control
rlpA,houser,two_week_starvation_versus_control
mrdA,houser,two_week_starvation_versus_control
ygdH,houser,two_week_starvation_versus_control
ygbE,houser,two_week_starvation_versus_control
serA,houser,two_week_starvation_versus_control
phoU,houser,two_week_starvation_versus_control
miaB,houser,two_week_starvation_versus_control
yecJ,houser,two_week_starvation_versus_control
CYBB,houser,two_week_starvation_versus_control
nudB,houser,two_week_starvation_versus_control
yecR,houser,two_week_starvation_versus_control
cmoB,houser,two_week_starvation_versus_control
pitA,houser,two_week_starvation_versus_control
rfbB,houser,two_week_starvation_versus_control
cusR,houser,two_week_starvation_versus_control
yaeI,houser,two_week_starvation_versus_control
opgG,houser,two_week_starvation_versus_control
gyrB,houser,two_week_starvation_versus_control
pal,houser,two_week_starvation_versus_control
cysI,houser,two_week_starvation_versus_control
hisQ,houser,two_week_starvation_versus_control
dnaN,houser,two_week_starvation_versus_control
dnaA,houser,two_week_starvation_versus_control
rpmH,houser,two_week_starvation_versus_control
yidC,houser,two_week_starvation_versus_control
asnB,houser,two_week_starvation_versus_control
flhA,houser,two_week_starvation_versus_control
