gene,source,thresholds,comparison
pspa,jovanovic,IQR,IV_secretin_overproduction_versus_control
potd,jovanovic,IQR,IV_secretin_overproduction_versus_control
potc,jovanovic,IQR,IV_secretin_overproduction_versus_control
msyb,jovanovic,IQR,IV_secretin_overproduction_versus_control
dgoa,jovanovic,IQR,IV_secretin_overproduction_versus_control
yqie,jovanovic,IQR,IV_secretin_overproduction_versus_control
clpb,jovanovic,IQR,IV_secretin_overproduction_versus_control
yojn,jovanovic,IQR,IV_secretin_overproduction_versus_control
b1368,jovanovic,IQR,IV_secretin_overproduction_versus_control
chaa,jovanovic,IQR,IV_secretin_overproduction_versus_control
leul,jovanovic,IQR,IV_secretin_overproduction_versus_control
yrfi,jovanovic,IQR,IV_secretin_overproduction_versus_control
ycjf,jovanovic,IQR,IV_secretin_overproduction_versus_control
yrfh,jovanovic,IQR,IV_secretin_overproduction_versus_control
b1337,jovanovic,IQR,IV_secretin_overproduction_versus_control
grpe,jovanovic,IQR,IV_secretin_overproduction_versus_control
evga,jovanovic,IQR,IV_secretin_overproduction_versus_control
yeeu,jovanovic,IQR,IV_secretin_overproduction_versus_control
b1391,jovanovic,IQR,IV_secretin_overproduction_versus_control
murg,jovanovic,IQR,IV_secretin_overproduction_versus_control
b1500,jovanovic,IQR,IV_secretin_overproduction_versus_control
yeav,jovanovic,IQR,IV_secretin_overproduction_versus_control
ilvl,jovanovic,IQR,IV_secretin_overproduction_versus_control
ycjx,jovanovic,IQR,IV_secretin_overproduction_versus_control
dgot,jovanovic,IQR,IV_secretin_overproduction_versus_control
dnak,jovanovic,IQR,IV_secretin_overproduction_versus_control
oppc,jovanovic,IQR,IV_secretin_overproduction_versus_control
dppa,jovanovic,IQR,IV_secretin_overproduction_versus_control
lon,jovanovic,IQR,IV_secretin_overproduction_versus_control
ddg,jovanovic,IQR,IV_secretin_overproduction_versus_control
oppf,jovanovic,IQR,IV_secretin_overproduction_versus_control
fmt,jovanovic,IQR,IV_secretin_overproduction_versus_control
yhiv,jovanovic,IQR,IV_secretin_overproduction_versus_control
frdb,jovanovic,IQR,IV_secretin_overproduction_versus_control
ydhc,jovanovic,IQR,IV_secretin_overproduction_versus_control
nike,jovanovic,IQR,IV_secretin_overproduction_versus_control
yggu,jovanovic,IQR,IV_secretin_overproduction_versus_control
b0832,jovanovic,IQR,IV_secretin_overproduction_versus_control
pspf,jovanovic,IQR,IV_secretin_overproduction_versus_control
cspc,jovanovic,IQR,IV_secretin_overproduction_versus_control
b3975,jovanovic,IQR,IV_secretin_overproduction_versus_control
ybjt,jovanovic,IQR,IV_secretin_overproduction_versus_control
yrfg,jovanovic,IQR,IV_secretin_overproduction_versus_control
polb,jovanovic,IQR,IV_secretin_overproduction_versus_control
ybbn,jovanovic,IQR,IV_secretin_overproduction_versus_control
ftsj,jovanovic,IQR,IV_secretin_overproduction_versus_control
ygiy,jovanovic,IQR,IV_secretin_overproduction_versus_control
cite,jovanovic,IQR,IV_secretin_overproduction_versus_control
hslv,jovanovic,IQR,IV_secretin_overproduction_versus_control
cspe,jovanovic,IQR,IV_secretin_overproduction_versus_control
ybed,jovanovic,IQR,IV_secretin_overproduction_versus_control
racc,jovanovic,IQR,IV_secretin_overproduction_versus_control
ybcv,jovanovic,IQR,IV_secretin_overproduction_versus_control
mvim,jovanovic,IQR,IV_secretin_overproduction_versus_control
dinp,jovanovic,IQR,IV_secretin_overproduction_versus_control
yrha,jovanovic,IQR,IV_secretin_overproduction_versus_control
ygce,jovanovic,IQR,IV_secretin_overproduction_versus_control
b1690,jovanovic,IQR,IV_secretin_overproduction_versus_control
yfjm,jovanovic,IQR,IV_secretin_overproduction_versus_control
b2857,jovanovic,IQR,IV_secretin_overproduction_versus_control
b1369,jovanovic,IQR,IV_secretin_overproduction_versus_control
sece,jovanovic,IQR,IV_secretin_overproduction_versus_control
