gene,source,comparison
aroF,kim,42C_versus_control
aroL,kim,42C_versus_control
atoA,kim,42C_versus_control
atoD,kim,42C_versus_control
bax,kim,42C_versus_control
carA,kim,42C_versus_control
codB,kim,42C_versus_control
cspG,kim,42C_versus_control
cynS,kim,42C_versus_control
cynT,kim,42C_versus_control
efeB,kim,42C_versus_control
efeO,kim,42C_versus_control
eptB,kim,42C_versus_control
fabB,kim,42C_versus_control
fecA,kim,42C_versus_control
fklB,kim,42C_versus_control
flgA,kim,42C_versus_control
flgB,kim,42C_versus_control
flgC,kim,42C_versus_control
flgD,kim,42C_versus_control
flgE,kim,42C_versus_control
flgF,kim,42C_versus_control
flgG,kim,42C_versus_control
flgH,kim,42C_versus_control
flgI,kim,42C_versus_control
flgJ,kim,42C_versus_control
flgK,kim,42C_versus_control
flgL,kim,42C_versus_control
flgM,kim,42C_versus_control
flgN,kim,42C_versus_control
flhA,kim,42C_versus_control
flhB,kim,42C_versus_control
flhE,kim,42C_versus_control
ghxP,kim,42C_versus_control
glcD,kim,42C_versus_control
glcE,kim,42C_versus_control
idnD,kim,42C_versus_control
idnK,kim,42C_versus_control
idnO,kim,42C_versus_control
idnT,kim,42C_versus_control
lamB,kim,42C_versus_control
livJ,kim,42C_versus_control
malE,kim,42C_versus_control
malF,kim,42C_versus_control
malG,kim,42C_versus_control
malK,kim,42C_versus_control
metE,kim,42C_versus_control
micA,kim,42C_versus_control
prpB,kim,42C_versus_control
prpC,kim,42C_versus_control
prpD,kim,42C_versus_control
prpE,kim,42C_versus_control
purB,kim,42C_versus_control
purC,kim,42C_versus_control
purH,kim,42C_versus_control
purK,kim,42C_versus_control
purM,kim,42C_versus_control
purT,kim,42C_versus_control
pyrB,kim,42C_versus_control
pyrC,kim,42C_versus_control
pyrD,kim,42C_versus_control
pyrI,kim,42C_versus_control
rhaA,kim,42C_versus_control
ssuA,kim,42C_versus_control
ssuC,kim,42C_versus_control
ssuD,kim,42C_versus_control
treB,kim,42C_versus_control
treC,kim,42C_versus_control
tyrA,kim,42C_versus_control
upp,kim,42C_versus_control
xanP,kim,42C_versus_control
xylF,kim,42C_versus_control
yceA,kim,42C_versus_control
ydeM,kim,42C_versus_control
ydeN,kim,42C_versus_control
yecR,kim,42C_versus_control
ygiM,kim,42C_versus_control
ymdA,kim,42C_versus_control
yqfA,kim,42C_versus_control
