gene,source,comparison
aroA,lu,glyphosate_shock_versus_control
aroB,lu,glyphosate_shock_versus_control
aroD,lu,glyphosate_shock_versus_control
aroG,lu,glyphosate_shock_versus_control
aroH,lu,glyphosate_shock_versus_control
aroK,lu,glyphosate_shock_versus_control
asd,lu,glyphosate_shock_versus_control
aspC,lu,glyphosate_shock_versus_control
cvpA,lu,glyphosate_shock_versus_control
cysD,lu,glyphosate_shock_versus_control
cysH,lu,glyphosate_shock_versus_control
cysM,lu,glyphosate_shock_versus_control
dadA,lu,glyphosate_shock_versus_control
dosC,lu,glyphosate_shock_versus_control
dppA,lu,glyphosate_shock_versus_control
dppB,lu,glyphosate_shock_versus_control
dppC,lu,glyphosate_shock_versus_control
dppD,lu,glyphosate_shock_versus_control
dppF,lu,glyphosate_shock_versus_control
fliY,lu,glyphosate_shock_versus_control
gcvB,lu,glyphosate_shock_versus_control
gcvH,lu,glyphosate_shock_versus_control
gcvP,lu,glyphosate_shock_versus_control
gcvR,lu,glyphosate_shock_versus_control
gcvT,lu,glyphosate_shock_versus_control
gdhA,lu,glyphosate_shock_versus_control
glgS,lu,glyphosate_shock_versus_control
gltB,lu,glyphosate_shock_versus_control
gltD,lu,glyphosate_shock_versus_control
glyA,lu,glyphosate_shock_versus_control
gnsB,lu,glyphosate_shock_versus_control
gsiA,lu,glyphosate_shock_versus_control
gsiB,lu,glyphosate_shock_versus_control
gsiC,lu,glyphosate_shock_versus_control
gsiD,lu,glyphosate_shock_versus_control
hisA,lu,glyphosate_shock_versus_control
hisF,lu,glyphosate_shock_versus_control
hisH,lu,glyphosate_shock_versus_control
hisI,lu,glyphosate_shock_versus_control
hisM,lu,glyphosate_shock_versus_control
ilvC,lu,glyphosate_shock_versus_control
ilvD,lu,glyphosate_shock_versus_control
ilvE,lu,glyphosate_shock_versus_control
ilvG_1,lu,glyphosate_shock_versus_control
ilvG_2,lu,glyphosate_shock_versus_control
ilvH,lu,glyphosate_shock_versus_control
ilvI,lu,glyphosate_shock_versus_control
ilvL,lu,glyphosate_shock_versus_control
ilvM,lu,glyphosate_shock_versus_control
ilvN,lu,glyphosate_shock_versus_control
leuA,lu,glyphosate_shock_versus_control
leuC,lu,glyphosate_shock_versus_control
leuD,lu,glyphosate_shock_versus_control
leuL,lu,glyphosate_shock_versus_control
livG,lu,glyphosate_shock_versus_control
livH,lu,glyphosate_shock_versus_control
livK,lu,glyphosate_shock_versus_control
livM,lu,glyphosate_shock_versus_control
metA,lu,glyphosate_shock_versus_control
metC,lu,glyphosate_shock_versus_control
metE,lu,glyphosate_shock_versus_control
mtr,lu,glyphosate_shock_versus_control
potF,lu,glyphosate_shock_versus_control
potG,lu,glyphosate_shock_versus_control
potH,lu,glyphosate_shock_versus_control
speC,lu,glyphosate_shock_versus_control
thrA,lu,glyphosate_shock_versus_control
thrB,lu,glyphosate_shock_versus_control
thrC,lu,glyphosate_shock_versus_control
thrL,lu,glyphosate_shock_versus_control
tyrB,lu,glyphosate_shock_versus_control
ybiB,lu,glyphosate_shock_versus_control
ybiK,lu,glyphosate_shock_versus_control
ydjN,lu,glyphosate_shock_versus_control
yeaC,lu,glyphosate_shock_versus_control
yecC,lu,glyphosate_shock_versus_control
yecS,lu,glyphosate_shock_versus_control
yfbQ,lu,glyphosate_shock_versus_control
ygbE,lu,glyphosate_shock_versus_control
ygjU,lu,glyphosate_shock_versus_control
ynfN,lu,glyphosate_shock_versus_control
yoaC,lu,glyphosate_shock_versus_control
celA,lu,glyphosate_shock_versus_control
gatZ,lu,glyphosate_shock_versus_control
lpcA,lu,glyphosate_shock_versus_control
rpe,lu,glyphosate_shock_versus_control
rybA,lu,glyphosate_shock_versus_control
rygD,lu,glyphosate_shock_versus_control
ybhE,lu,glyphosate_shock_versus_control
ydcL,lu,glyphosate_shock_versus_control
yhjS,lu,glyphosate_shock_versus_control
yibO,lu,glyphosate_shock_versus_control
zwf,lu,glyphosate_shock_versus_control
damX,lu,glyphosate_shock_versus_control
fhuF,lu,glyphosate_shock_versus_control
ftsL,lu,glyphosate_shock_versus_control
minC,lu,glyphosate_shock_versus_control
minD,lu,glyphosate_shock_versus_control
dadX,lu,glyphosate_shock_versus_control
ddg,lu,glyphosate_shock_versus_control
hlpA,lu,glyphosate_shock_versus_control
mscL,lu,glyphosate_shock_versus_control
nmpC,lu,glyphosate_shock_versus_control
ompF,lu,glyphosate_shock_versus_control
ompT,lu,glyphosate_shock_versus_control
pal,lu,glyphosate_shock_versus_control
prc,lu,glyphosate_shock_versus_control
rlpB,lu,glyphosate_shock_versus_control
yabC,lu,glyphosate_shock_versus_control
yciD,lu,glyphosate_shock_versus_control
yncA,lu,glyphosate_shock_versus_control
cobT,lu,glyphosate_shock_versus_control
folE,lu,glyphosate_shock_versus_control
panC,lu,glyphosate_shock_versus_control
panD,lu,glyphosate_shock_versus_control
pdxJ,lu,glyphosate_shock_versus_control
ribC,lu,glyphosate_shock_versus_control
serA,lu,glyphosate_shock_versus_control
serC,lu,glyphosate_shock_versus_control
isrB,lu,glyphosate_shock_versus_control
acnB,lu,glyphosate_shock_versus_control
atpB,lu,glyphosate_shock_versus_control
atpE,lu,glyphosate_shock_versus_control
atpF,lu,glyphosate_shock_versus_control
atpH,lu,glyphosate_shock_versus_control
cybB,lu,glyphosate_shock_versus_control
dld,lu,glyphosate_shock_versus_control
hdeA,lu,glyphosate_shock_versus_control
hdeB,lu,glyphosate_shock_versus_control
ivbL,lu,glyphosate_shock_versus_control
leuB,lu,glyphosate_shock_versus_control
mdh,lu,glyphosate_shock_versus_control
mviM,lu,glyphosate_shock_versus_control
nuoA,lu,glyphosate_shock_versus_control
nuoB,lu,glyphosate_shock_versus_control
nuoC,lu,glyphosate_shock_versus_control
nuoE,lu,glyphosate_shock_versus_control
nuoF,lu,glyphosate_shock_versus_control
nuoG,lu,glyphosate_shock_versus_control
nuoI,lu,glyphosate_shock_versus_control
pntA,lu,glyphosate_shock_versus_control
pntB,lu,glyphosate_shock_versus_control
ryeA,lu,glyphosate_shock_versus_control
sdhA,lu,glyphosate_shock_versus_control
sdhD,lu,glyphosate_shock_versus_control
sucA,lu,glyphosate_shock_versus_control
tas,lu,glyphosate_shock_versus_control
udhA,lu,glyphosate_shock_versus_control
ybiC,lu,glyphosate_shock_versus_control
cysA,lu,glyphosate_shock_versus_control
cysC,lu,glyphosate_shock_versus_control
cysI,lu,glyphosate_shock_versus_control
cysJ,lu,glyphosate_shock_versus_control
cysN,lu,glyphosate_shock_versus_control
cysW,lu,glyphosate_shock_versus_control
ftn,lu,glyphosate_shock_versus_control
katG,lu,glyphosate_shock_versus_control
nlpA,lu,glyphosate_shock_versus_control
pstB,lu,glyphosate_shock_versus_control
sbp,lu,glyphosate_shock_versus_control
tauA,lu,glyphosate_shock_versus_control
tauB,lu,glyphosate_shock_versus_control
tauC,lu,glyphosate_shock_versus_control
yibN,lu,glyphosate_shock_versus_control
secG,lu,glyphosate_shock_versus_control
accD,lu,glyphosate_shock_versus_control
acpS,lu,glyphosate_shock_versus_control
cdh,lu,glyphosate_shock_versus_control
fabB,lu,glyphosate_shock_versus_control
kduD,lu,glyphosate_shock_versus_control
amn,lu,glyphosate_shock_versus_control
guaC,lu,glyphosate_shock_versus_control
purC,lu,glyphosate_shock_versus_control
purD,lu,glyphosate_shock_versus_control
purH,lu,glyphosate_shock_versus_control
purL,lu,glyphosate_shock_versus_control
purM,lu,glyphosate_shock_versus_control
purT,lu,glyphosate_shock_versus_control
pyrB,lu,glyphosate_shock_versus_control
upp,lu,glyphosate_shock_versus_control
ycfF,lu,glyphosate_shock_versus_control
bcp,lu,glyphosate_shock_versus_control
cyoE,lu,glyphosate_shock_versus_control
cysU,lu,glyphosate_shock_versus_control
fkpB,lu,glyphosate_shock_versus_control
ppiB,lu,glyphosate_shock_versus_control
sohB,lu,glyphosate_shock_versus_control
surA,lu,glyphosate_shock_versus_control
trxB,lu,glyphosate_shock_versus_control
yaiB,lu,glyphosate_shock_versus_control
yjiD,lu,glyphosate_shock_versus_control
yliJ,lu,glyphosate_shock_versus_control
hupA,lu,glyphosate_shock_versus_control
hupB,lu,glyphosate_shock_versus_control
pinR,lu,glyphosate_shock_versus_control
smf,lu,glyphosate_shock_versus_control
uvrC,lu,glyphosate_shock_versus_control
yabP,lu,glyphosate_shock_versus_control
yabQ,lu,glyphosate_shock_versus_control
mhpF,lu,glyphosate_shock_versus_control
ycgM,lu,glyphosate_shock_versus_control
chpR,lu,glyphosate_shock_versus_control
ycgF,lu,glyphosate_shock_versus_control
yiiT,lu,glyphosate_shock_versus_control
cbl,lu,glyphosate_shock_versus_control
cspB,lu,glyphosate_shock_versus_control
cspC,lu,glyphosate_shock_versus_control
cspE,lu,glyphosate_shock_versus_control
cspG,lu,glyphosate_shock_versus_control
cspI,lu,glyphosate_shock_versus_control
cysB,lu,glyphosate_shock_versus_control
gadX,lu,glyphosate_shock_versus_control
hha,lu,glyphosate_shock_versus_control
iciA,lu,glyphosate_shock_versus_control
iclR,lu,glyphosate_shock_versus_control
lrp,lu,glyphosate_shock_versus_control
pspF,lu,glyphosate_shock_versus_control
rnb,lu,glyphosate_shock_versus_control
sdiA,lu,glyphosate_shock_versus_control
spf,lu,glyphosate_shock_versus_control
uvrY,lu,glyphosate_shock_versus_control
ycbW,lu,glyphosate_shock_versus_control
ycgE,lu,glyphosate_shock_versus_control
ydfH,lu,glyphosate_shock_versus_control
