gene,source,thresholds,comparison
dnaK,ceroni,2.5,pLys-M1_versus_pLys
yaaU,ceroni,2.5,pLys-M1_versus_pLys
yadK,ceroni,2.5,pLys-M1_versus_pLys
mmuP,ceroni,2.5,pLys-M1_versus_pLys
insE1,ceroni,2.5,pLys-M1_versus_pLys
mhpE,ceroni,2.5,pLys-M1_versus_pLys
htpG,ceroni,2.5,pLys-M1_versus_pLys
elfA,ceroni,2.5,pLys-M1_versus_pLys
ycbV,ceroni,2.5,pLys-M1_versus_pLys
gfcA,ceroni,2.5,pLys-M1_versus_pLys
yccM,ceroni,2.5,pLys-M1_versus_pLys
yeeT,ceroni,2.5,pLys-M1_versus_pLys
wzc,ceroni,2.5,pLys-M1_versus_pLys
clpB,ceroni,2.5,pLys-M1_versus_pLys
cysC,ceroni,2.5,pLys-M1_versus_pLys
fucP,ceroni,2.5,pLys-M1_versus_pLys
agaA,ceroni,2.5,pLys-M1_versus_pLys
agaI,ceroni,2.5,pLys-M1_versus_pLys
gspC,ceroni,2.5,pLys-M1_versus_pLys
nikC,ceroni,2.5,pLys-M1_versus_pLys
arsR,ceroni,2.5,pLys-M1_versus_pLys
cspA,ceroni,2.5,pLys-M1_versus_pLys
ibpB,ceroni,2.5,pLys-M1_versus_pLys
ibpA,ceroni,2.5,pLys-M1_versus_pLys
sbp,ceroni,2.5,pLys-M1_versus_pLys
yjaA,ceroni,2.5,pLys-M1_versus_pLys
groS,ceroni,2.5,pLys-M1_versus_pLys
gadY,ceroni,2.5,pLys-M1_versus_pLys
azuC,ceroni,2.5,pLys-M1_versus_pLys
yadL,ceroni,2.5,pPD864-LacZ_versus_pPD864
rclC,ceroni,2.5,pPD864-LacZ_versus_pPD864
rclR,ceroni,2.5,pPD864-LacZ_versus_pPD864
lacA,ceroni,2.5,pPD864-LacZ_versus_pPD864
lacY,ceroni,2.5,pPD864-LacZ_versus_pPD864
lacZ,ceroni,2.5,pPD864-LacZ_versus_pPD864
ybcK,ceroni,2.5,pPD864-LacZ_versus_pPD864
glnX,ceroni,2.5,pPD864-LacZ_versus_pPD864
hyaA,ceroni,2.5,pPD864-LacZ_versus_pPD864
abgA,ceroni,2.5,pPD864-LacZ_versus_pPD864
fdnI,ceroni,2.5,pPD864-LacZ_versus_pPD864
wcaH,ceroni,2.5,pPD864-LacZ_versus_pPD864
yehL,ceroni,2.5,pPD864-LacZ_versus_pPD864
yfjQ,ceroni,2.5,pPD864-LacZ_versus_pPD864
hycC,ceroni,2.5,pPD864-LacZ_versus_pPD864
uacT,ceroni,2.5,pPD864-LacZ_versus_pPD864
qseB,ceroni,2.5,pPD864-LacZ_versus_pPD864
yiaL,ceroni,2.5,pPD864-LacZ_versus_pPD864
nrfG,ceroni,2.5,pPD864-LacZ_versus_pPD864
yjfC,ceroni,2.5,pPD864-LacZ_versus_pPD864
ulaF,ceroni,2.5,pPD864-LacZ_versus_pPD864
fecD,ceroni,2.5,pPD864-LacZ_versus_pPD864
fecC,ceroni,2.5,pPD864-LacZ_versus_pPD864
insA,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
cynT,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
fdnH,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
atoE,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
atoB,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
yhaC,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
adeQ,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
ibpB,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
ibpA,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
fxsA,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
