gene,source,thresholds,comparison
ahpC,deter,2.0,3h amp media_versus_3h fresh media
alaC,deter,2.0,3h amp media_versus_3h fresh media
appY,deter,2.0,3h amp media_versus_3h fresh media
cfp CDS,deter,2.0,3h amp media_versus_3h fresh media
clpB,deter,2.0,3h amp media_versus_3h fresh media
cspB,deter,2.0,3h amp media_versus_3h fresh media
cspG,deter,2.0,3h amp media_versus_3h fresh media
cspI,deter,2.0,3h amp media_versus_3h fresh media
dnaJ,deter,2.0,3h amp media_versus_3h fresh media
dnaK,deter,2.0,3h amp media_versus_3h fresh media
fecA,deter,2.0,3h amp media_versus_3h fresh media
fecB,deter,2.0,3h amp media_versus_3h fresh media
fecI,deter,2.0,3h amp media_versus_3h fresh media
groL,deter,2.0,3h amp media_versus_3h fresh media
groS,deter,2.0,3h amp media_versus_3h fresh media
grpE,deter,2.0,3h amp media_versus_3h fresh media
hslJ,deter,2.0,3h amp media_versus_3h fresh media
hslU,deter,2.0,3h amp media_versus_3h fresh media
hslV,deter,2.0,3h amp media_versus_3h fresh media
htpG,deter,2.0,3h amp media_versus_3h fresh media
ibpA,deter,2.0,3h amp media_versus_3h fresh media
ibpB,deter,2.0,3h amp media_versus_3h fresh media
iraM,deter,2.0,3h amp media_versus_3h fresh media
iscR,deter,2.0,3h amp media_versus_3h fresh media
lon,deter,2.0,3h amp media_versus_3h fresh media
mntH,deter,2.0,3h amp media_versus_3h fresh media
mntS,deter,2.0,3h amp media_versus_3h fresh media
osmB,deter,2.0,3h amp media_versus_3h fresh media
otsB,deter,2.0,3h amp media_versus_3h fresh media
pbl,deter,2.0,3h amp media_versus_3h fresh media
poxB,deter,2.0,3h amp media_versus_3h fresh media
tdcR,deter,2.0,3h amp media_versus_3h fresh media
ybeD,deter,2.0,3h amp media_versus_3h fresh media
ybfQ,deter,2.0,3h amp media_versus_3h fresh media
yccE,deter,2.0,3h amp media_versus_3h fresh media
ycfJ,deter,2.0,3h amp media_versus_3h fresh media
ycgX,deter,2.0,3h amp media_versus_3h fresh media
yddK,deter,2.0,3h amp media_versus_3h fresh media
yfjW,deter,2.0,3h amp media_versus_3h fresh media
ygaC,deter,2.0,3h amp media_versus_3h fresh media
ygeF,deter,2.0,3h amp media_versus_3h fresh media
ygeG,deter,2.0,3h amp media_versus_3h fresh media
ygeI,deter,2.0,3h amp media_versus_3h fresh media
ygeL,deter,2.0,3h amp media_versus_3h fresh media
ygeN,deter,2.0,3h amp media_versus_3h fresh media
yhaC,deter,2.0,3h amp media_versus_3h fresh media
yhhZ,deter,2.0,3h amp media_versus_3h fresh media
yjbL,deter,2.0,3h amp media_versus_3h fresh media
yjcF,deter,2.0,3h amp media_versus_3h fresh media
ykfM,deter,2.0,3h amp media_versus_3h fresh media
ymcE,deter,2.0,3h amp media_versus_3h fresh media
ymcF,deter,2.0,3h amp media_versus_3h fresh media
ymfE,deter,2.0,3h amp media_versus_3h fresh media
ymgK,deter,2.0,3h amp media_versus_3h fresh media
ymgL,deter,2.0,3h amp media_versus_3h fresh media
yncH,deter,2.0,3h amp media_versus_3h fresh media
ypfG,deter,2.0,3h amp media_versus_3h fresh media
ypjC,deter,2.0,3h amp media_versus_3h fresh media
yqcG,deter,2.0,3h amp media_versus_3h fresh media
yqeK,deter,2.0,3h amp media_versus_3h fresh media
ytiC,deter,2.0,3h amp media_versus_3h fresh media
ytiD,deter,2.0,3h amp media_versus_3h fresh media
zntR,deter,2.0,3h amp media_versus_3h fresh media
