gene,source,comparison
phoH,sanchez_vasquez,relA_overexpression_versus_control
yibT,sanchez_vasquez,relA_overexpression_versus_control
raiA,sanchez_vasquez,relA_overexpression_versus_control
psiE,sanchez_vasquez,relA_overexpression_versus_control
fimB,sanchez_vasquez,relA_overexpression_versus_control
csgE,sanchez_vasquez,relA_overexpression_versus_control
argC,sanchez_vasquez,relA_overexpression_versus_control
ariR,sanchez_vasquez,relA_overexpression_versus_control
csgF,sanchez_vasquez,relA_overexpression_versus_control
ycjN,sanchez_vasquez,relA_overexpression_versus_control
yegR,sanchez_vasquez,relA_overexpression_versus_control
yeiL,sanchez_vasquez,relA_overexpression_versus_control
ssuA,sanchez_vasquez,relA_overexpression_versus_control
yjhI,sanchez_vasquez,relA_overexpression_versus_control
ydfR,sanchez_vasquez,relA_overexpression_versus_control
tfaQ,sanchez_vasquez,relA_overexpression_versus_control
ygiZ,sanchez_vasquez,relA_overexpression_versus_control
kilR,sanchez_vasquez,relA_overexpression_versus_control
cspI,sanchez_vasquez,relA_overexpression_versus_control
essQ,sanchez_vasquez,relA_overexpression_versus_control
tdcR,sanchez_vasquez,relA_overexpression_versus_control
yjbL,sanchez_vasquez,relA_overexpression_versus_control
yehK,sanchez_vasquez,relA_overexpression_versus_control
eutS,sanchez_vasquez,relA_overexpression_versus_control
add,sanchez_vasquez,relA_overexpression_versus_control
rydC,sanchez_vasquez,relA_overexpression_versus_control
rydB,sanchez_vasquez,relA_overexpression_versus_control
ibsB,sanchez_vasquez,relA_overexpression_versus_control
ypfM,sanchez_vasquez,relA_overexpression_versus_control
pheU,sanchez_vasquez,relA_overexpression_versus_control
pheV,sanchez_vasquez,relA_overexpression_versus_control
proL,sanchez_vasquez,relA_overexpression_versus_control
ydgU,sanchez_vasquez,relA_overexpression_versus_control
dsrA,sanchez_vasquez,relA_overexpression_versus_control
ryjB,sanchez_vasquez,relA_overexpression_versus_control
serU,sanchez_vasquez,relA_overexpression_versus_control
ykgR,sanchez_vasquez,relA_overexpression_versus_control
yqfG,sanchez_vasquez,relA_overexpression_versus_control
ylcG,sanchez_vasquez,relA_overexpression_versus_control
ninE,sanchez_vasquez,relA_overexpression_versus_control
