gene,source,comparison
astE,vazulka,fab_production_2h_versus_control
bax,vazulka,fab_production_2h_versus_control
cfa,vazulka,fab_production_2h_versus_control
efeO,vazulka,fab_production_2h_versus_control
fbaB,vazulka,fab_production_2h_versus_control
gcd,vazulka,fab_production_2h_versus_control
glmS,vazulka,fab_production_2h_versus_control
grxB,vazulka,fab_production_2h_versus_control
nudK,vazulka,fab_production_2h_versus_control
smpA,vazulka,fab_production_2h_versus_control
stpA,vazulka,fab_production_2h_versus_control
ugpA,vazulka,fab_production_2h_versus_control
ugpC,vazulka,fab_production_2h_versus_control
ugpE,vazulka,fab_production_2h_versus_control
ugpQ,vazulka,fab_production_2h_versus_control
ydcV,vazulka,fab_production_2h_versus_control
ydcW,vazulka,fab_production_2h_versus_control
yfeY,vazulka,fab_production_2h_versus_control
yfgD,vazulka,fab_production_2h_versus_control
yoaK,vazulka,fab_production_2h_versus_control
yobF,vazulka,fab_production_2h_versus_control
ytfL,vazulka,fab_production_2h_versus_control
ytfT,vazulka,fab_production_2h_versus_control
