gene,regulator,polarity,source,is_global_regulator,is_sigma_factor,deg_source
acek,cra,+,ecocyc_28_AND_regdb_13,yes,no,bie_down
acek,ihfa,+,ecocyc_28,yes,no,bie_down
acek,rpod,+,ecocyc_28,no,yes,bie_down
acek,arca,-,ecocyc_28,yes,no,bie_down
acek,ihfb,+,ecocyc_28,yes,no,bie_down
acek,crp,-,ecocyc_28,yes,no,bie_down
acek,iclr,-,ecocyc_28_AND_regdb_13,no,no,bie_down
acek,ihf,+,regdb_13,no,no,bie_down
add,rpod,+,ecocyc_28,no,yes,sanchez_vasquez_up
add,rbsr,+,ecocyc_28_AND_regdb_13,no,no,sanchez_vasquez_up
aidb,rpos,+,ecocyc_28,no,yes,bie_down
aidb,aidb,-,ecocyc_28_AND_regdb_13,no,no,bie_down
aidb,lrp,-,ecocyc_28_AND_regdb_13,yes,no,bie_down
aidb,rpod,+,ecocyc_28,no,yes,bie_down
aidb,ada,+,ecocyc_28_AND_regdb_13,no,no,bie_down
aldb,rpos,+,ecocyc_28,no,yes,bie_down
aldb,fis,-,ecocyc_28_AND_regdb_13,yes,no,bie_down
aldb,crp,+,ecocyc_28_AND_regdb_13,yes,no,bie_down
argc,rpod,+,ecocyc_28,no,yes,sanchez_vasquez_up
argc,argr,-,ecocyc_28_AND_regdb_13,yes,no,sanchez_vasquez_up
arir,mara,+,ecocyc_28_AND_regdb_13,yes,no,sanchez_vasquez_up
arir,rpos,+,ecocyc_28,no,yes,sanchez_vasquez_up
arir,blur,-,ecocyc_28_AND_regdb_13,no,no,sanchez_vasquez_up
arir,rpod,+,ecocyc_28,no,yes,sanchez_vasquez_up
arir,cysb,+,ecocyc_28,yes,no,sanchez_vasquez_up
arrs,rpod,+,ecocyc_28,no,yes,bie_down
arrs,rpos,+,ecocyc_28,no,yes,bie_down
arti,rpod,+,ecocyc_28,no,yes,bie_down
arti,argr,-,ecocyc_28_AND_regdb_13,yes,no,bie_down
arti,lrp,±,ecocyc_28,yes,no,bie_down
arti,rpos,+,ecocyc_28,no,yes,bie_down
asr,hns,-,ecocyc_28,yes,no,bie_down
asr,rcda,+,ecocyc_28_AND_regdb_13,no,no,bie_down
asr,rpos,+,ecocyc_28,no,yes,bie_down
asr,phob,+,ecocyc_28_AND_regdb_13,yes,no,bie_down
asr,rpod,+,ecocyc_28,no,yes,bie_down
asr,rsta,+,ecocyc_28_AND_regdb_13,no,no,bie_down
aste,rpon,+,ecocyc_28,no,yes,bie_down
aste,rpos,+,ecocyc_28,no,yes,bie_down
aste,rpod,+,ecocyc_28,no,yes,bie_down
aste,glng,+,ecocyc_28,yes,no,bie_down
aste,argr,+,ecocyc_28_AND_regdb_13,yes,no,bie_down
aste,ntrc,+,regdb_13,no,no,bie_down
csge,fliz,-,ecocyc_28_AND_regdb_13,no,no,sanchez_vasquez_up
csge,rpod,+,ecocyc_28,no,yes,sanchez_vasquez_up
csge,rybb,-,ecocyc_28_AND_regdb_13,no,no,sanchez_vasquez_up
csge,mcas,-,ecocyc_28_AND_regdb_13,no,no,sanchez_vasquez_up
csge,bola,+,ecocyc_28,no,no,sanchez_vasquez_up
csge,rpos,+,ecocyc_28,no,yes,sanchez_vasquez_up
csge,ihfb,+,ecocyc_28,yes,no,sanchez_vasquez_up
csge,rcsa,-,ecocyc_28,no,no,sanchez_vasquez_up
csge,rcsb,-,ecocyc_28,yes,no,sanchez_vasquez_up
csge,crp,+,ecocyc_28,yes,no,sanchez_vasquez_up
csge,ompr,+,ecocyc_28_AND_regdb_13,yes,no,sanchez_vasquez_up
csge,omrb,-,ecocyc_28_AND_regdb_13,no,no,sanchez_vasquez_up
csge,basr,+,ecocyc_28_AND_regdb_13,no,no,sanchez_vasquez_up
csge,cpxr,-,ecocyc_28_AND_regdb_13,yes,no,sanchez_vasquez_up
csge,csgd,+,ecocyc_28_AND_regdb_13,yes,no,sanchez_vasquez_up
csge,rsta,-,ecocyc_28_AND_regdb_13,no,no,sanchez_vasquez_up
csge,omra,-,ecocyc_28_AND_regdb_13,no,no,sanchez_vasquez_up
csge,gcvb,-,ecocyc_28,yes,no,sanchez_vasquez_up
csge,cra,+,ecocyc_28_AND_regdb_13,yes,no,sanchez_vasquez_up
csge,hns,-,ecocyc_28,yes,no,sanchez_vasquez_up
csge,btsr,-,ecocyc_28_AND_regdb_13,no,no,sanchez_vasquez_up
csge,ihfa,+,ecocyc_28,yes,no,sanchez_vasquez_up
csge,rcda,+,ecocyc_28_AND_regdb_13,no,no,sanchez_vasquez_up
csge,rpra,-,ecocyc_28_AND_regdb_13,no,no,sanchez_vasquez_up
csge,mlra,+,ecocyc_28_AND_regdb_13,no,no,sanchez_vasquez_up
csge,rydc,-,ecocyc_28,no,no,sanchez_vasquez_up
csge,mqsa,-,ecocyc_28_AND_regdb_13,no,no,sanchez_vasquez_up
csge,ihf,+,regdb_13,no,no,sanchez_vasquez_up
csge,h-ns,-,regdb_13,no,no,sanchez_vasquez_up
csgf,fliz,-,ecocyc_28_AND_regdb_13,no,no,sanchez_vasquez_up
csgf,rpod,+,ecocyc_28,no,yes,sanchez_vasquez_up
csgf,rybb,-,ecocyc_28_AND_regdb_13,no,no,sanchez_vasquez_up
csgf,mcas,-,ecocyc_28_AND_regdb_13,no,no,sanchez_vasquez_up
csgf,bola,+,ecocyc_28,no,no,sanchez_vasquez_up
csgf,rpos,+,ecocyc_28,no,yes,sanchez_vasquez_up
csgf,ihfb,+,ecocyc_28,yes,no,sanchez_vasquez_up
csgf,rcsa,-,ecocyc_28,no,no,sanchez_vasquez_up
csgf,rcsb,-,ecocyc_28,yes,no,sanchez_vasquez_up
csgf,crp,+,ecocyc_28,yes,no,sanchez_vasquez_up
