tf,n_sites,mean_length,std_length,min_length,max_length
crp,658,22.101823708206688,1.5790571004749487,11,24
arca,409,15.45476772616137,0.9227691739365869,10,23
lrp,295,15.193220338983052,1.4404109871247919,12,26
gadx,76,20.44736842105263,0.5264911988401517,19,21
fadr,40,17.5,0.506369683541833,17,18
arac,37,17.54054054054054,0.6909974511367445,17,20
gadw,36,20.416666666666668,0.554204706893452,19,21
rob,34,20.5,0.5075192189225519,20,21
galr,24,16.5,0.5107539184552493,16,17
gals,24,16.5,0.5107539184552493,16,17
dcur,20,17.5,0.5129891760425771,17,18
torr,20,10.5,0.5129891760425775,10,11
gade,19,20.473684210526315,0.512989176042577,20,21
iclr,16,9.5,3.614784456460256,7,16
mlc,14,23.5,0.5188745216627708,23,24
rutr,11,17.727272727272727,1.6787441193290351,16,21
fliz,10,44.3,13.199747472331936,29,59
yiau,10,30.3,11.528226229563678,18,48
rbsr,8,20.5,0.5345224838248488,20,21
pepa,6,27.5,0.5477225575051663,27,28
glcc,3,15.333333333333334,0.5773502691896258,15,16
