regulator,group1,group2,intersection,group1_only,group2_only
acrr,1,1,1,0,0
ada,0,1,0,0,1
agar,1,0,0,1,0
aidb,0,1,0,0,1
allr,1,1,1,0,0
alls,1,1,1,0,0
arac,1,1,1,0,0
arca,1,1,1,0,0
argp,1,1,1,0,0
argr,1,1,1,0,0
arsr,1,0,0,1,0
ascg,1,1,1,0,0
asnc,1,1,1,0,0
atoc,1,1,1,0,0
baer,1,1,1,0,0
basr,1,1,1,0,0
beti,1,1,1,0,0
bira,1,1,1,0,0
blur,1,1,1,0,0
bola,1,1,1,0,0
btsr,1,1,1,0,0
cadc,1,0,0,1,0
caif,1,1,1,0,0
cbl,1,1,1,0,0
cecr,0,1,0,0,1
cpxr,1,1,1,0,0
cra,1,1,1,0,0
creb,1,1,1,0,0
crp,1,1,1,0,0
csgd,1,1,1,0,0
cspa,0,1,0,0,1
csqr,1,0,0,1,0
cuer,1,1,1,0,0
cusr,1,1,1,0,0
cynr,1,1,1,0,0
cysb,1,1,1,0,0
cytr,1,1,1,0,0
dan,1,1,1,0,0
dcur,1,1,1,0,0
deor,1,1,1,0,0
dgor,1,1,1,0,0
dica,1,1,1,0,0
dinj,1,1,1,0,0
dinj-yafq,1,1,1,0,0
dnaa,1,1,1,0,0
dpia,1,1,1,0,0
envr,0,1,0,0,1
evga,1,1,1,0,0
exur,1,0,0,1,0
fabr,1,1,1,0,0
fadr,1,1,1,0,0
fear,1,1,1,0,0
fhla,1,1,1,0,0
fimz,1,1,1,0,0
fis,1,1,1,0,0
flhdc,1,1,1,0,0
fliz,1,1,1,0,0
fnr,1,1,1,0,0
frlr,0,1,0,0,1
frmr,1,1,1,0,0
fur,1,1,1,0,0
gade,1,1,1,0,0
gadrcs,1,1,1,0,0
gadw,1,1,1,0,0
gadx,1,1,1,0,0
galr,1,1,1,0,0
gals,1,1,1,0,0
gcva,1,1,1,0,0
glar,1,1,1,0,0
glcc,1,1,1,0,0
glpr,1,1,1,0,0
glrr,1,0,0,1,0
gntr,1,1,1,0,0
h-ns,1,1,1,0,0
hcar,0,1,0,0,1
hicb,1,1,1,0,0
higa,0,1,0,0,1
higba,0,1,0,0,1
hipb,1,0,0,1,0
hns,1,1,1,0,0
hprr,1,1,1,0,0
hyfr,1,0,0,1,0
iclr,1,1,1,0,0
idnr,1,1,1,0,0
ihf,1,1,1,0,0
ilvy,1,1,1,0,0
iscr,1,1,1,0,0
kdgr,1,1,1,0,0
kdpe,1,1,1,0,0
laci,1,1,1,0,0
leuo,1,1,1,0,0
lexa,1,1,1,0,0
lldr,1,1,1,0,0
lrha,1,1,1,0,0
lrp,1,1,1,0,0
lsrr,1,1,1,0,0
mali,1,1,1,0,0
malt,1,1,1,0,0
mara,1,1,1,0,0
marr,1,0,0,1,0
maze,1,0,0,1,0
mazef,1,0,0,1,0
mcbr,1,1,1,0,0
melr,1,1,1,0,0
metj,1,1,1,0,0
metr,1,1,1,0,0
mhpr,1,1,1,0,0
mlc,0,1,0,0,1
mlra,1,1,1,0,0
mngr,1,1,1,0,0
mntr,1,1,1,0,0
mode,1,1,1,0,0
mpra,1,1,1,0,0
mqsa,1,1,1,0,0
mraz,1,1,1,0,0
murr,1,1,1,0,0
nac,1,1,1,0,0
nadr,1,1,1,0,0
nagc,1,1,1,0,0
nanr,1,1,1,0,0
narl,1,1,1,0,0
narp,1,1,1,0,0
nemr,1,0,0,1,0
nhar,1,1,1,0,0
nikr,1,1,1,0,0
norr,1,1,1,0,0
nrdr,1,1,1,0,0
nsrr,1,1,1,0,0
ntrc,1,1,1,0,0
ompr,1,1,1,0,0
oxyr,1,1,1,0,0
paax,1,0,0,1,0
pdel,1,1,1,0,0
pdhr,1,1,1,0,0
pepa,0,1,0,0,1
pgrr,1,0,0,1,0
phob,1,1,1,0,0
phop,1,1,1,0,0
plar,1,1,1,0,0
prpr,1,1,1,0,0
pspf,1,1,1,0,0
ptrr,1,1,1,0,0
purr,1,1,1,0,0
puta,0,1,0,0,1
puur,0,1,0,0,1
pyrr,1,0,0,1,0
qseb,1,1,1,0,0
racr,1,1,1,0,0
rbsr,1,1,1,0,0
rcda,1,1,1,0,0
rcsab,1,1,1,0,0
rcsb,1,1,1,0,0
rcsb-bglj,1,0,0,1,0
rhar,1,1,1,0,0
rhas,1,1,1,0,0
rob,1,1,1,0,0
rsta,1,1,1,0,0
rutr,1,1,1,0,0
sdia,1,1,1,0,0
sgrr,1,1,1,0,0
slya,1,1,1,0,0
soxr,1,1,1,0,0
soxs,1,1,1,0,0
srsr,1,1,1,0,0
stpa,1,1,1,0,0
sutr,1,1,1,0,0
tdca,1,1,1,0,0
tdcr,1,1,1,0,0
torr,1,1,1,0,0
trer,1,1,1,0,0
trpr,1,1,1,0,0
tyrr,1,1,1,0,0
uhpa,1,0,0,1,0
uidr,1,1,1,0,0
ular,1,0,0,1,0
uvry,1,1,1,0,0
uxur,1,1,1,0,0
xapr,1,0,0,1,0
xylr,1,1,1,0,0
xynr,1,0,0,1,0
ycit,1,1,1,0,0
ycjw,1,1,1,0,0
ydeo,1,1,1,0,0
ydfh,1,0,0,1,0
yfec,1,1,1,0,0
ygbi,1,0,0,1,0
yiau,1,1,1,0,0
yidz,1,1,1,0,0
yjjq,1,1,1,0,0
yqhc,1,1,1,0,0
zntr,1,1,1,0,0
zrar,1,1,1,0,0
zur,1,1,1,0,0
