regulator,group1,group2,intersection,group1_only,group2_only
acrr,1,0,0,1,0
ada,0,0,0,0,0
agar,1,0,0,1,0
aidb,0,0,0,0,0
allr,0,0,0,0,0
alls,0,0,0,0,0
arac,0,1,0,0,1
arca,1,1,1,0,0
argp,0,0,0,0,0
argr,1,1,1,0,0
arsr,0,0,0,0,0
ascg,0,0,0,0,0
asnc,0,0,0,0,0
atoc,0,0,0,0,0
baer,0,0,0,0,0
basr,0,0,0,0,0
beti,0,0,0,0,0
bira,0,0,0,0,0
blur,0,0,0,0,0
bola,1,0,0,1,0
btsr,1,1,1,0,0
cadc,0,0,0,0,0
caif,0,1,0,0,1
cbl,0,0,0,0,0
cecr,0,0,0,0,0
cpxr,1,1,1,0,0
cra,1,1,1,0,0
creb,0,1,0,0,1
crp,1,1,1,0,0
csgd,1,0,0,1,0
cspa,0,0,0,0,0
csqr,0,0,0,0,0
cuer,0,0,0,0,0
cusr,0,0,0,0,0
cynr,0,1,0,0,1
cysb,1,0,0,1,0
cytr,1,0,0,1,0
dan,0,0,0,0,0
dcur,1,0,0,1,0
deor,1,0,0,1,0
dgor,1,0,0,1,0
dica,0,1,0,0,1
dinj,1,0,0,1,0
dinj-yafq,1,0,0,1,0
dnaa,0,1,0,0,1
dpia,1,0,0,1,0
envr,0,0,0,0,0
evga,1,1,1,0,0
exur,0,0,0,0,0
fabr,0,0,0,0,0
fadr,1,0,0,1,0
fear,0,0,0,0,0
fhla,0,0,0,0,0
fimz,0,0,0,0,0
fis,1,1,1,0,0
flhdc,0,0,0,0,0
fliz,1,1,1,0,0
fnr,1,1,1,0,0
frlr,0,0,0,0,0
frmr,0,0,0,0,0
fur,1,1,1,0,0
gade,0,1,0,0,1
gadrcs,0,1,0,0,1
gadw,0,1,0,0,1
gadx,1,1,1,0,0
galr,0,0,0,0,0
gals,0,0,0,0,0
gcva,0,0,0,0,0
glar,1,1,1,0,0
glcc,0,1,0,0,1
glpr,0,0,0,0,0
glrr,0,0,0,0,0
gntr,0,1,0,0,1
h-ns,1,1,1,0,0
hcar,0,0,0,0,0
hicb,0,0,0,0,0
higa,0,0,0,0,0
higba,0,0,0,0,0
hipb,0,0,0,0,0
hns,1,1,1,0,0
hprr,0,0,0,0,0
hyfr,0,0,0,0,0
iclr,0,0,0,0,0
idnr,0,1,0,0,1
ihf,1,1,1,0,0
ilvy,0,0,0,0,0
iscr,0,0,0,0,0
kdgr,0,0,0,0,0
kdpe,0,0,0,0,0
laci,1,0,0,1,0
leuo,1,0,0,1,0
lexa,1,0,0,1,0
lldr,1,1,1,0,0
lrha,0,0,0,0,0
lrp,1,1,1,0,0
lsrr,0,0,0,0,0
mali,1,0,0,1,0
malt,0,1,0,0,1
mara,1,1,1,0,0
marr,1,0,0,1,0
maze,0,0,0,0,0
mazef,0,0,0,0,0
mcbr,1,0,0,1,0
melr,0,0,0,0,0
metj,0,1,0,0,1
metr,0,1,0,0,1
mhpr,0,0,0,0,0
mlc,0,0,0,0,0
mlra,0,0,0,0,0
mngr,0,0,0,0,0
mntr,0,0,0,0,0
mode,1,1,1,0,0
mpra,0,0,0,0,0
mqsa,0,0,0,0,0
mraz,1,0,0,1,0
murr,0,0,0,0,0
nac,1,1,1,0,0
nadr,0,0,0,0,0
nagc,0,1,0,0,1
nanr,0,0,0,0,0
narl,1,1,1,0,0
narp,1,1,1,0,0
nemr,0,0,0,0,0
nhar,0,0,0,0,0
nikr,1,0,0,1,0
norr,1,0,0,1,0
nrdr,0,0,0,0,0
nsrr,1,1,1,0,0
ntrc,1,1,1,0,0
ompr,1,1,1,0,0
oxyr,0,1,0,0,1
paax,0,0,0,0,0
pdel,0,0,0,0,0
pdhr,1,1,1,0,0
pepa,0,1,0,0,1
pgrr,1,0,0,1,0
phob,1,1,1,0,0
phop,1,1,1,0,0
plar,0,1,0,0,1
prpr,0,0,0,0,0
pspf,1,0,0,1,0
ptrr,0,1,0,0,1
purr,0,1,0,0,1
puta,0,0,0,0,0
puur,0,0,0,0,0
pyrr,0,0,0,0,0
qseb,1,0,0,1,0
racr,0,0,0,0,0
rbsr,0,0,0,0,0
rcda,0,0,0,0,0
rcsab,0,0,0,0,0
rcsb,0,1,0,0,1
rcsb-bglj,0,0,0,0,0
rhar,0,0,0,0,0
rhas,0,0,0,0,0
rob,1,0,0,1,0
rsta,0,1,0,0,1
rutr,0,1,0,0,1
sdia,0,0,0,0,0
sgrr,0,0,0,0,0
slya,1,0,0,1,0
soxr,0,0,0,0,0
soxs,1,1,1,0,0
srsr,0,1,0,0,1
stpa,0,1,0,0,1
sutr,0,0,0,0,0
tdca,0,0,0,0,0
tdcr,0,0,0,0,0
torr,0,1,0,0,1
trer,0,0,0,0,0
trpr,0,0,0,0,0
tyrr,0,0,0,0,0
uhpa,0,0,0,0,0
uidr,0,0,0,0,0
ular,0,0,0,0,0
uvry,0,0,0,0,0
uxur,0,0,0,0,0
xapr,0,0,0,0,0
xylr,0,1,0,0,1
xynr,0,0,0,0,0
ycit,1,0,0,1,0
ycjw,1,0,0,1,0
ydeo,0,1,0,0,1
ydfh,0,0,0,0,0
yfec,0,0,0,0,0
ygbi,0,0,0,0,0
yiau,0,0,0,0,0
yidz,0,1,0,0,1
yjjq,0,1,0,0,1
yqhc,0,0,0,0,0
zntr,0,0,0,0,0
zrar,1,1,1,0,0
zur,0,0,0,0,0
