regulator,group1,group2,intersection,group1_only,group2_only
acrr,1,1,1,0,0
ada,0,0,0,0,0
agar,1,0,0,1,0
aidb,0,0,0,0,0
allr,1,0,0,1,0
alls,1,0,0,1,0
arac,1,0,0,1,0
arca,1,1,1,0,0
argp,0,1,0,0,1
argr,1,1,1,0,0
arsr,1,0,0,1,0
ascg,1,0,0,1,0
asnc,0,0,0,0,0
atoc,1,0,0,1,0
baer,1,0,0,1,0
basr,1,1,1,0,0
beti,1,0,0,1,0
bira,1,0,0,1,0
blur,1,0,0,1,0
bola,1,0,0,1,0
btsr,1,1,1,0,0
cadc,1,0,0,1,0
caif,1,0,0,1,0
cbl,1,1,1,0,0
cecr,0,1,0,0,1
cpxr,1,1,1,0,0
cra,1,1,1,0,0
creb,1,0,0,1,0
crp,1,1,1,0,0
csgd,1,1,1,0,0
cspa,0,0,0,0,0
csqr,1,0,0,1,0
cuer,1,1,1,0,0
cusr,1,1,1,0,0
cynr,1,0,0,1,0
cysb,1,1,1,0,0
cytr,1,0,0,1,0
dan,1,0,0,1,0
dcur,0,0,0,0,0
deor,0,0,0,0,0
dgor,1,0,0,1,0
dica,1,0,0,1,0
dinj,0,1,0,0,1
dinj-yafq,0,1,0,0,1
dnaa,1,0,0,1,0
dpia,1,1,1,0,0
envr,0,0,0,0,0
evga,1,1,1,0,0
exur,1,0,0,1,0
fabr,0,1,0,0,1
fadr,1,1,1,0,0
fear,0,0,0,0,0
fhla,1,0,0,1,0
fimz,1,0,0,1,0
fis,1,1,1,0,0
flhdc,1,1,1,0,0
fliz,1,1,1,0,0
fnr,1,1,1,0,0
frlr,0,0,0,0,0
frmr,1,0,0,1,0
fur,1,1,1,0,0
gade,1,1,1,0,0
gadrcs,1,1,1,0,0
gadw,1,1,1,0,0
gadx,1,1,1,0,0
galr,0,0,0,0,0
gals,0,0,0,0,0
gcva,0,1,0,0,1
glar,1,1,1,0,0
glcc,0,0,0,0,0
glpr,0,0,0,0,0
glrr,1,0,0,1,0
gntr,1,0,0,1,0
h-ns,1,1,1,0,0
hcar,0,0,0,0,0
hicb,0,0,0,0,0
higa,0,0,0,0,0
higba,0,0,0,0,0
hipb,1,0,0,1,0
hns,1,1,1,0,0
hprr,1,1,1,0,0
hyfr,1,0,0,1,0
iclr,0,1,0,0,1
idnr,1,0,0,1,0
ihf,1,1,1,0,0
ilvy,0,1,0,0,1
iscr,1,0,0,1,0
kdgr,1,0,0,1,0
kdpe,1,1,1,0,0
laci,0,0,0,0,0
leuo,1,1,1,0,0
lexa,1,1,1,0,0
lldr,1,1,1,0,0
lrha,1,1,1,0,0
lrp,1,1,1,0,0
lsrr,0,0,0,0,0
mali,0,0,0,0,0
malt,1,0,0,1,0
mara,1,1,1,0,0
marr,0,0,0,0,0
maze,0,0,0,0,0
mazef,0,0,0,0,0
mcbr,1,1,1,0,0
melr,1,0,0,1,0
metj,0,1,0,0,1
metr,0,1,0,0,1
mhpr,0,1,0,0,1
mlc,0,0,0,0,0
mlra,1,1,1,0,0
mngr,0,0,0,0,0
mntr,0,1,0,0,1
mode,1,1,1,0,0
mpra,1,0,0,1,0
mqsa,1,0,0,1,0
mraz,0,1,0,0,1
murr,1,0,0,1,0
nac,1,1,1,0,0
nadr,0,0,0,0,0
nagc,1,0,0,1,0
nanr,1,0,0,1,0
narl,1,1,1,0,0
narp,1,0,0,1,0
nemr,0,0,0,0,0
nhar,1,1,1,0,0
nikr,1,0,0,1,0
norr,1,0,0,1,0
nrdr,1,0,0,1,0
nsrr,1,1,1,0,0
ntrc,1,1,1,0,0
ompr,1,1,1,0,0
oxyr,1,1,1,0,0
paax,1,0,0,1,0
pdel,1,1,1,0,0
pdhr,1,1,1,0,0
pepa,0,0,0,0,0
pgrr,0,0,0,0,0
phob,1,1,1,0,0
phop,1,1,1,0,0
plar,1,0,0,1,0
prpr,1,0,0,1,0
pspf,1,1,1,0,0
ptrr,0,0,0,0,0
purr,0,1,0,0,1
puta,0,0,0,0,0
puur,0,0,0,0,0
pyrr,0,0,0,0,0
qseb,1,1,1,0,0
racr,1,0,0,1,0
rbsr,1,1,1,0,0
rcda,1,1,1,0,0
rcsab,1,1,1,0,0
rcsb,1,1,1,0,0
rcsb-bglj,1,0,0,1,0
rhar,1,0,0,1,0
rhas,1,0,0,1,0
rob,1,1,1,0,0
rsta,1,1,1,0,0
rutr,1,1,1,0,0
sdia,1,1,1,0,0
sgrr,0,0,0,0,0
slya,1,1,1,0,0
soxr,1,0,0,1,0
soxs,1,1,1,0,0
srsr,1,0,0,1,0
stpa,1,1,1,0,0
sutr,1,0,0,1,0
tdca,1,0,0,1,0
tdcr,1,0,0,1,0
torr,1,1,1,0,0
trer,1,0,0,1,0
trpr,0,1,0,0,1
tyrr,0,1,0,0,1
uhpa,1,0,0,1,0
uidr,0,0,0,0,0
ular,0,0,0,0,0
uvry,1,0,0,1,0
uxur,1,0,0,1,0
xapr,1,0,0,1,0
xylr,1,0,0,1,0
xynr,1,0,0,1,0
ycit,0,0,0,0,0
ycjw,1,0,0,1,0
ydeo,1,1,1,0,0
ydfh,1,0,0,1,0
yfec,1,1,1,0,0
ygbi,1,0,0,1,0
yiau,1,1,1,0,0
yidz,0,0,0,0,0
yjjq,0,1,0,0,1
yqhc,1,0,0,1,0
zntr,1,1,1,0,0
zrar,1,1,1,0,0
zur,1,0,0,1,0
