regulator,group1,group2,intersection,group1_only,group2_only
acrr,1,1,1,0,0
ada,0,0,0,0,0
agar,0,0,0,0,0
aidb,0,0,0,0,0
allr,0,1,0,0,1
alls,0,0,0,0,0
arac,1,0,0,1,0
arca,0,0,0,0,0
argp,0,1,0,0,1
argr,0,1,0,0,1
arsr,0,0,0,0,0
ascg,0,0,0,0,0
asnc,0,0,0,0,0
atoc,0,0,0,0,0
baer,0,0,0,0,0
basr,0,1,0,0,1
beti,0,0,0,0,0
bira,0,1,0,0,1
blur,0,0,0,0,0
bola,0,1,0,0,1
btsr,0,1,0,0,1
cadc,0,0,0,0,0
caif,0,1,0,0,1
cbl,0,0,0,0,0
cecr,0,1,0,0,1
cpxr,0,0,0,0,0
cra,0,0,0,0,0
creb,0,0,0,0,0
crp,0,0,0,0,0
csgd,0,1,0,0,1
cspa,0,0,0,0,0
csqr,0,0,0,0,0
cuer,0,0,0,0,0
cusr,0,1,0,0,1
cynr,0,0,0,0,0
cysb,0,1,0,0,1
cytr,0,0,0,0,0
dan,0,0,0,0,0
dcur,0,0,0,0,0
deor,0,0,0,0,0
dgor,0,0,0,0,0
dica,0,0,0,0,0
dinj,0,0,0,0,0
dinj-yafq,0,0,0,0,0
dnaa,0,1,0,0,1
dpia,0,1,0,0,1
envr,0,0,0,0,0
evga,0,1,0,0,1
exur,0,0,0,0,0
fabr,0,0,0,0,0
fadr,1,0,0,1,0
fear,0,0,0,0,0
fhla,0,1,0,0,1
fimz,0,0,0,0,0
fis,0,0,0,0,0
flhdc,0,1,0,0,1
fliz,1,1,1,0,0
fnr,0,0,0,0,0
frlr,0,1,0,0,1
frmr,0,0,0,0,0
fur,0,0,0,0,0
gade,1,0,0,1,0
gadrcs,0,0,0,0,0
gadw,1,0,0,1,0
gadx,0,0,0,0,0
galr,1,0,0,1,0
gals,1,0,0,1,0
gcva,0,0,0,0,0
glar,0,0,0,0,0
glcc,1,0,0,1,0
glpr,0,0,0,0,0
glrr,0,0,0,0,0
gntr,0,0,0,0,0
h-ns,0,0,0,0,0
hcar,0,0,0,0,0
hicb,0,0,0,0,0
higa,0,0,0,0,0
higba,0,0,0,0,0
hipb,0,0,0,0,0
hns,0,0,0,0,0
hprr,0,1,0,0,1
hyfr,0,0,0,0,0
iclr,1,0,0,1,0
idnr,0,0,0,0,0
ihf,0,0,0,0,0
ilvy,0,1,0,0,1
iscr,1,1,1,0,0
kdgr,0,0,0,0,0
kdpe,0,0,0,0,0
laci,0,0,0,0,0
leuo,0,0,0,0,0
lexa,0,1,0,0,1
lldr,0,0,0,0,0
lrha,0,0,0,0,0
lrp,0,0,0,0,0
lsrr,0,1,0,0,1
mali,0,0,0,0,0
malt,0,1,0,0,1
mara,0,0,0,0,0
marr,0,0,0,0,0
maze,1,0,0,1,0
mazef,1,0,0,1,0
mcbr,1,0,0,1,0
melr,0,0,0,0,0
metj,0,0,0,0,0
metr,1,0,0,1,0
mhpr,0,0,0,0,0
mlc,0,0,0,0,0
mlra,0,1,0,0,1
mngr,0,1,0,0,1
mntr,0,0,0,0,0
mode,0,0,0,0,0
mpra,0,0,0,0,0
mqsa,0,1,0,0,1
mraz,0,1,0,0,1
murr,0,0,0,0,0
nac,0,0,0,0,0
nadr,0,0,0,0,0
nagc,1,1,1,0,0
nanr,0,0,0,0,0
narl,0,0,0,0,0
narp,1,1,1,0,0
nemr,0,0,0,0,0
nhar,0,0,0,0,0
nikr,0,0,0,0,0
norr,0,0,0,0,0
nrdr,0,1,0,0,1
nsrr,0,0,0,0,0
ntrc,0,1,0,0,1
ompr,0,0,0,0,0
oxyr,0,0,0,0,0
paax,0,0,0,0,0
pdel,0,0,0,0,0
pdhr,0,0,0,0,0
pepa,0,0,0,0,0
pgrr,1,0,0,1,0
phob,0,1,0,0,1
phop,0,0,0,0,0
plar,1,0,0,1,0
prpr,1,0,0,1,0
pspf,0,0,0,0,0
ptrr,0,1,0,0,1
purr,0,0,0,0,0
puta,0,0,0,0,0
puur,0,1,0,0,1
pyrr,0,0,0,0,0
qseb,0,1,0,0,1
racr,0,0,0,0,0
rbsr,0,0,0,0,0
rcda,0,1,0,0,1
rcsab,0,0,0,0,0
rcsb,1,1,1,0,0
rcsb-bglj,0,0,0,0,0
rhar,0,0,0,0,0
rhas,0,0,0,0,0
rob,0,0,0,0,0
rsta,0,1,0,0,1
rutr,0,0,0,0,0
sdia,0,0,0,0,0
sgrr,0,0,0,0,0
slya,1,1,1,0,0
soxr,1,1,1,0,0
soxs,0,1,0,0,1
srsr,1,0,0,1,0
stpa,0,1,0,0,1
sutr,0,0,0,0,0
tdca,0,1,0,0,1
tdcr,0,1,0,0,1
torr,1,0,0,1,0
trer,0,0,0,0,0
trpr,0,0,0,0,0
tyrr,0,1,0,0,1
uhpa,1,0,0,1,0
uidr,0,1,0,0,1
ular,0,0,0,0,0
uvry,1,1,1,0,0
uxur,0,0,0,0,0
xapr,0,0,0,0,0
xylr,1,0,0,1,0
xynr,0,0,0,0,0
ycit,0,1,0,0,1
ycjw,0,0,0,0,0
ydeo,0,0,0,0,0
ydfh,1,0,0,1,0
yfec,1,1,1,0,0
ygbi,0,0,0,0,0
yiau,0,0,0,0,0
yidz,0,0,0,0,0
yjjq,0,0,0,0,0
yqhc,0,0,0,0,0
zntr,0,0,0,0,0
zrar,0,0,0,0,0
zur,0,1,0,0,1
