gene,source,comparison
alaT,durfee,ppGpp_versus_control
alaU,durfee,ppGpp_versus_control
apt,durfee,ppGpp_versus_control
fis,durfee,ppGpp_versus_control
flgH,durfee,ppGpp_versus_control
flgI,durfee,ppGpp_versus_control
flhD,durfee,ppGpp_versus_control
fliJ,durfee,ppGpp_versus_control
fliK,durfee,ppGpp_versus_control
fliM,durfee,ppGpp_versus_control
fliO,durfee,ppGpp_versus_control
fliP,durfee,ppGpp_versus_control
fliQ,durfee,ppGpp_versus_control
hha,durfee,ppGpp_versus_control
holA,durfee,ppGpp_versus_control
lysW,durfee,ppGpp_versus_control
nmpC,durfee,ppGpp_versus_control
potA,durfee,ppGpp_versus_control
pssA,durfee,ppGpp_versus_control
purU,durfee,ppGpp_versus_control
pyrF,durfee,ppGpp_versus_control
ribE,durfee,ppGpp_versus_control
rnpA,durfee,ppGpp_versus_control
stpA,durfee,ppGpp_versus_control
ybjX,durfee,ppGpp_versus_control
yciH,durfee,ppGpp_versus_control
yeaZ,durfee,ppGpp_versus_control
