gene,source,comparison
ymgC,gummesson,isoleucine_starvation_versus_control
alaE,gummesson,isoleucine_starvation_versus_control
ariR,gummesson,isoleucine_starvation_versus_control
ydeI,gummesson,isoleucine_starvation_versus_control
yohC,gummesson,isoleucine_starvation_versus_control
yjbJ,gummesson,isoleucine_starvation_versus_control
ymgA,gummesson,isoleucine_starvation_versus_control
bssR,gummesson,isoleucine_starvation_versus_control
narU,gummesson,isoleucine_starvation_versus_control
gadE,gummesson,isoleucine_starvation_versus_control
ymgE,gummesson,isoleucine_starvation_versus_control
yjbT,gummesson,isoleucine_starvation_versus_control
ghoS,gummesson,isoleucine_starvation_versus_control
ycgZ,gummesson,isoleucine_starvation_versus_control
rmf,gummesson,isoleucine_starvation_versus_control
yjdN,gummesson,isoleucine_starvation_versus_control
psiE,gummesson,isoleucine_starvation_versus_control
narV,gummesson,isoleucine_starvation_versus_control
yhbO,gummesson,isoleucine_starvation_versus_control
ytjA,gummesson,isoleucine_starvation_versus_control
ybgS,gummesson,isoleucine_starvation_versus_control
dadA,gummesson,isoleucine_starvation_versus_control
narY,gummesson,isoleucine_starvation_versus_control
sodC,gummesson,isoleucine_starvation_versus_control
gadC,gummesson,isoleucine_starvation_versus_control
yffO,gummesson,isoleucine_starvation_versus_control
dadX,gummesson,isoleucine_starvation_versus_control
yohP,gummesson,isoleucine_starvation_versus_control
narZ,gummesson,isoleucine_starvation_versus_control
yiaG,gummesson,isoleucine_starvation_versus_control
yciG,gummesson,isoleucine_starvation_versus_control
glgS,gummesson,isoleucine_starvation_versus_control
ybaA,gummesson,isoleucine_starvation_versus_control
bdm,gummesson,isoleucine_starvation_versus_control
waaH,gummesson,isoleucine_starvation_versus_control
yaiY,gummesson,isoleucine_starvation_versus_control
yedP,gummesson,isoleucine_starvation_versus_control
phoH,gummesson,isoleucine_starvation_versus_control
yegP,gummesson,isoleucine_starvation_versus_control
narW,gummesson,isoleucine_starvation_versus_control
ompL,gummesson,isoleucine_starvation_versus_control
sfmF,gummesson,isoleucine_starvation_versus_control
ykgL,gummesson,isoleucine_starvation_versus_control
yeaR,gummesson,isoleucine_starvation_versus_control
mcbA,gummesson,isoleucine_starvation_versus_control
patA,gummesson,isoleucine_starvation_versus_control
glsA,gummesson,isoleucine_starvation_versus_control
ydeJ,gummesson,isoleucine_starvation_versus_control
csgB,gummesson,isoleucine_starvation_versus_control
hchA,gummesson,isoleucine_starvation_versus_control
yghA,gummesson,isoleucine_starvation_versus_control
yodD,gummesson,isoleucine_starvation_versus_control
paoA,gummesson,isoleucine_starvation_versus_control
csrC,gummesson,isoleucine_starvation_versus_control
osmB,gummesson,isoleucine_starvation_versus_control
yhhA,gummesson,isoleucine_starvation_versus_control
yihO,gummesson,isoleucine_starvation_versus_control
ldtE,gummesson,isoleucine_starvation_versus_control
yebV,gummesson,isoleucine_starvation_versus_control
torC,gummesson,isoleucine_starvation_versus_control
pphA,gummesson,isoleucine_starvation_versus_control
osmY,gummesson,isoleucine_starvation_versus_control
gadA,gummesson,isoleucine_starvation_versus_control
ybaT,gummesson,isoleucine_starvation_versus_control
yaaY,gummesson,isoleucine_starvation_versus_control
ygaU,gummesson,isoleucine_starvation_versus_control
uspB,gummesson,isoleucine_starvation_versus_control
yhjG,gummesson,isoleucine_starvation_versus_control
gcvB,gummesson,isoleucine_starvation_versus_control
yeaG,gummesson,isoleucine_starvation_versus_control
flxA,gummesson,isoleucine_starvation_versus_control
csgD,gummesson,isoleucine_starvation_versus_control
yahO,gummesson,isoleucine_starvation_versus_control
hyaD,gummesson,isoleucine_starvation_versus_control
dps,gummesson,isoleucine_starvation_versus_control
otsA,gummesson,isoleucine_starvation_versus_control
yjcB,gummesson,isoleucine_starvation_versus_control
ydcK,gummesson,isoleucine_starvation_versus_control
ycgB,gummesson,isoleucine_starvation_versus_control
eutH,gummesson,isoleucine_starvation_versus_control
yhcN,gummesson,isoleucine_starvation_versus_control
cfa,gummesson,isoleucine_starvation_versus_control
sra,gummesson,isoleucine_starvation_versus_control
osmC,gummesson,isoleucine_starvation_versus_control
slp,gummesson,isoleucine_starvation_versus_control
otsB,gummesson,isoleucine_starvation_versus_control
gadB,gummesson,isoleucine_starvation_versus_control
ybaY,gummesson,isoleucine_starvation_versus_control
astB,gummesson,isoleucine_starvation_versus_control
ychH,gummesson,isoleucine_starvation_versus_control
csgF,gummesson,isoleucine_starvation_versus_control
narI,gummesson,isoleucine_starvation_versus_control
yffM,gummesson,isoleucine_starvation_versus_control
phnL,gummesson,isoleucine_starvation_versus_control
sfmA,gummesson,isoleucine_starvation_versus_control
treF,gummesson,isoleucine_starvation_versus_control
yccJ,gummesson,isoleucine_starvation_versus_control
emrD,gummesson,isoleucine_starvation_versus_control
add,gummesson,isoleucine_starvation_versus_control
astC,gummesson,isoleucine_starvation_versus_control
