gene,source,comparison
ydhB,houser,two_week_starvation_versus_control
ybaA,houser,two_week_starvation_versus_control
ydcI,houser,two_week_starvation_versus_control
yjiN,houser,two_week_starvation_versus_control
poxA,houser,two_week_starvation_versus_control
yhbV,houser,two_week_starvation_versus_control
yjeM,houser,two_week_starvation_versus_control
yieL,houser,two_week_starvation_versus_control
ylaC,houser,two_week_starvation_versus_control
marR,houser,two_week_starvation_versus_control
yqhC,houser,two_week_starvation_versus_control
yjjL,houser,two_week_starvation_versus_control
dsdX,houser,two_week_starvation_versus_control
fumB,houser,two_week_starvation_versus_control
fimA,houser,two_week_starvation_versus_control
nanM,houser,two_week_starvation_versus_control
ygiT,houser,two_week_starvation_versus_control
mqsA,houser,two_week_starvation_versus_control
gntP,houser,two_week_starvation_versus_control
yfdY,houser,two_week_starvation_versus_control
uidB,houser,two_week_starvation_versus_control
sgcX,houser,two_week_starvation_versus_control
psiF,houser,two_week_starvation_versus_control
gudX,houser,two_week_starvation_versus_control
gadA,houser,two_week_starvation_versus_control
djlC,houser,two_week_starvation_versus_control
adiA,houser,two_week_starvation_versus_control
melR,houser,two_week_starvation_versus_control
yhjA,houser,two_week_starvation_versus_control
ubif,houser,two_week_starvation_versus_control
yhjC,houser,two_week_starvation_versus_control
ibpA,houser,two_week_starvation_versus_control
yidX,houser,two_week_starvation_versus_control
tsr,houser,two_week_starvation_versus_control
uspA,houser,two_week_starvation_versus_control
yhiI,houser,two_week_starvation_versus_control
lacI,houser,two_week_starvation_versus_control
yhjX,houser,two_week_starvation_versus_control
glk,houser,two_week_starvation_versus_control
yiaA,houser,two_week_starvation_versus_control
yfeK,houser,two_week_starvation_versus_control
ydhL,houser,two_week_starvation_versus_control
pdxK,houser,two_week_starvation_versus_control
prpE,houser,two_week_starvation_versus_control
mntH,houser,two_week_starvation_versus_control
uidA,houser,two_week_starvation_versus_control
sixA,houser,two_week_starvation_versus_control
xylR,houser,two_week_starvation_versus_control
fecI,houser,two_week_starvation_versus_control
yjhP,houser,two_week_starvation_versus_control
yfeC,houser,two_week_starvation_versus_control
insG,houser,two_week_starvation_versus_control
yjhB,houser,two_week_starvation_versus_control
acpH,houser,two_week_starvation_versus_control
ydjM,houser,two_week_starvation_versus_control
araC,houser,two_week_starvation_versus_control
ydiE,houser,two_week_starvation_versus_control
baeR,houser,two_week_starvation_versus_control
hicB,houser,two_week_starvation_versus_control
ydcQ,houser,two_week_starvation_versus_control
ydcR,houser,two_week_starvation_versus_control
yceF,houser,two_week_starvation_versus_control
pspD,houser,two_week_starvation_versus_control
otsB,houser,two_week_starvation_versus_control
ybiJ,houser,two_week_starvation_versus_control
araB,houser,two_week_starvation_versus_control
cobB,houser,two_week_starvation_versus_control
trkA,houser,two_week_starvation_versus_control
yehQ,houser,two_week_starvation_versus_control
spy,houser,two_week_starvation_versus_control
nlpC,houser,two_week_starvation_versus_control
aaeR,houser,two_week_starvation_versus_control
yhdV,houser,two_week_starvation_versus_control
acrF,houser,two_week_starvation_versus_control
yagV,houser,two_week_starvation_versus_control
yhcH,houser,two_week_starvation_versus_control
yegS,houser,two_week_starvation_versus_control
nanE,houser,two_week_starvation_versus_control
aaeA,houser,two_week_starvation_versus_control
aaeB,houser,two_week_starvation_versus_control
glgS,houser,two_week_starvation_versus_control
hybC,houser,two_week_starvation_versus_control
yqiK,houser,two_week_starvation_versus_control
nanT,houser,two_week_starvation_versus_control
sulA,houser,two_week_starvation_versus_control
metR,houser,two_week_starvation_versus_control
glgX,houser,two_week_starvation_versus_control
yeeJ,houser,two_week_starvation_versus_control
pgpA,houser,two_week_starvation_versus_control
yggG,houser,two_week_starvation_versus_control
yodA,houser,two_week_starvation_versus_control
zinT,houser,two_week_starvation_versus_control
ygeA,houser,two_week_starvation_versus_control
aes,houser,two_week_starvation_versus_control
araA,houser,two_week_starvation_versus_control
yafC,houser,two_week_starvation_versus_control
pspB,houser,two_week_starvation_versus_control
yeiH,houser,two_week_starvation_versus_control
ybjQ,houser,two_week_starvation_versus_control
dnaG,houser,two_week_starvation_versus_control
tyrR,houser,two_week_starvation_versus_control
ybjI,houser,two_week_starvation_versus_control
ybjK,houser,two_week_starvation_versus_control
ybaV,houser,two_week_starvation_versus_control
pspA,houser,two_week_starvation_versus_control
rpoH,houser,two_week_starvation_versus_control
yliI,houser,two_week_starvation_versus_control
yliF,houser,two_week_starvation_versus_control
ydgD,houser,two_week_starvation_versus_control
ggt,houser,two_week_starvation_versus_control
soxR,houser,two_week_starvation_versus_control
yihI,houser,two_week_starvation_versus_control
mngB,houser,two_week_starvation_versus_control
ygfA,houser,two_week_starvation_versus_control
ygaC,houser,two_week_starvation_versus_control
trkG,houser,two_week_starvation_versus_control
ascF,houser,two_week_starvation_versus_control
feaB,houser,two_week_starvation_versus_control
ybcL,houser,two_week_starvation_versus_control
ytfH,houser,two_week_starvation_versus_control
ytfJ,houser,two_week_starvation_versus_control
qorB,houser,two_week_starvation_versus_control
ygbA,houser,two_week_starvation_versus_control
allS,houser,two_week_starvation_versus_control
ybdJ,houser,two_week_starvation_versus_control
norR,houser,two_week_starvation_versus_control
tus,houser,two_week_starvation_versus_control
ylaB,houser,two_week_starvation_versus_control
yibA,houser,two_week_starvation_versus_control
efeU,houser,two_week_starvation_versus_control
fhlA,houser,two_week_starvation_versus_control
allR,houser,two_week_starvation_versus_control
cueR,houser,two_week_starvation_versus_control
csrA,houser,two_week_starvation_versus_control
rhaT,houser,two_week_starvation_versus_control
mppA,houser,two_week_starvation_versus_control
allA,houser,two_week_starvation_versus_control
cydA,houser,two_week_starvation_versus_control
yibH,houser,two_week_starvation_versus_control
ydhV,houser,two_week_starvation_versus_control
yddA,houser,two_week_starvation_versus_control
yibJ,houser,two_week_starvation_versus_control
yobB,houser,two_week_starvation_versus_control
fadA,houser,two_week_starvation_versus_control
patA,houser,two_week_starvation_versus_control
torA,houser,two_week_starvation_versus_control
rhsD,houser,two_week_starvation_versus_control
yjgH,houser,two_week_starvation_versus_control
rhsA,houser,two_week_starvation_versus_control
ycfD,houser,two_week_starvation_versus_control
ynjH,houser,two_week_starvation_versus_control
rraB,houser,two_week_starvation_versus_control
yafD,houser,two_week_starvation_versus_control
yqhG,houser,two_week_starvation_versus_control
yfcI,houser,two_week_starvation_versus_control
yfcH,houser,two_week_starvation_versus_control
yeaG,houser,two_week_starvation_versus_control
ygaV,houser,two_week_starvation_versus_control
tomB,houser,two_week_starvation_versus_control
yjaB,houser,two_week_starvation_versus_control
ydaM,houser,two_week_starvation_versus_control
uxuB,houser,two_week_starvation_versus_control
ybhJ,houser,two_week_starvation_versus_control
ydcD,houser,two_week_starvation_versus_control
idi,houser,two_week_starvation_versus_control
lrhA,houser,two_week_starvation_versus_control
yfdC,houser,two_week_starvation_versus_control
ydfJ,houser,two_week_starvation_versus_control
ydhF,houser,two_week_starvation_versus_control
yfbV,houser,two_week_starvation_versus_control
yicH,houser,two_week_starvation_versus_control
yeiA,houser,two_week_starvation_versus_control
uidC,houser,two_week_starvation_versus_control
ibpB,houser,two_week_starvation_versus_control
yidE,houser,two_week_starvation_versus_control
pinR,houser,two_week_starvation_versus_control
coaE,houser,two_week_starvation_versus_control
yjhQ,houser,two_week_starvation_versus_control
csgA,houser,two_week_starvation_versus_control
glpC,houser,two_week_starvation_versus_control
ygbK,houser,two_week_starvation_versus_control
ydeJ,houser,two_week_starvation_versus_control
yacH,houser,two_week_starvation_versus_control
caiB,houser,two_week_starvation_versus_control
symE,houser,two_week_starvation_versus_control
yfgG,houser,two_week_starvation_versus_control
ynfN,houser,two_week_starvation_versus_control
ulaF,houser,two_week_starvation_versus_control
aer,houser,two_week_starvation_versus_control
erpA,houser,two_week_starvation_versus_control
glpA,houser,two_week_starvation_versus_control
xdhD,houser,two_week_starvation_versus_control
glpT,houser,two_week_starvation_versus_control
ulaR,houser,two_week_starvation_versus_control
yjfN,houser,two_week_starvation_versus_control
pinQ,houser,two_week_starvation_versus_control
yhfX,houser,two_week_starvation_versus_control
DHAR,houser,two_week_starvation_versus_control
umuD,houser,two_week_starvation_versus_control
arnA,houser,two_week_starvation_versus_control
uxaB,houser,two_week_starvation_versus_control
yegX,houser,two_week_starvation_versus_control
sufD,houser,two_week_starvation_versus_control
yhbQ,houser,two_week_starvation_versus_control
ycaI,houser,two_week_starvation_versus_control
ymgE,houser,two_week_starvation_versus_control
ycgV,houser,two_week_starvation_versus_control
gst,houser,two_week_starvation_versus_control
yhfZ,houser,two_week_starvation_versus_control
treA,houser,two_week_starvation_versus_control
yhdJ,houser,two_week_starvation_versus_control
yjiM,houser,two_week_starvation_versus_control
dmsC,houser,two_week_starvation_versus_control
agp,houser,two_week_starvation_versus_control
agaR,houser,two_week_starvation_versus_control
yhaV,houser,two_week_starvation_versus_control
pheL,houser,two_week_starvation_versus_control
rspB,houser,two_week_starvation_versus_control
yadE,houser,two_week_starvation_versus_control
yraQ,houser,two_week_starvation_versus_control
ycaK,houser,two_week_starvation_versus_control
hcr,houser,two_week_starvation_versus_control
dkgB,houser,two_week_starvation_versus_control
cobU,houser,two_week_starvation_versus_control
ynfD,houser,two_week_starvation_versus_control
poxB,houser,two_week_starvation_versus_control
yraJ,houser,two_week_starvation_versus_control
yraH,houser,two_week_starvation_versus_control
yjfC,houser,two_week_starvation_versus_control
exuT,houser,two_week_starvation_versus_control
umuC,houser,two_week_starvation_versus_control
pphA,houser,two_week_starvation_versus_control
yebW,houser,two_week_starvation_versus_control
queC,houser,two_week_starvation_versus_control
yiiR,houser,two_week_starvation_versus_control
yafQ,houser,two_week_starvation_versus_control
yeeA,houser,two_week_starvation_versus_control
ygbJ,houser,two_week_starvation_versus_control
yebV,houser,two_week_starvation_versus_control
argO,houser,two_week_starvation_versus_control
rpoE,houser,two_week_starvation_versus_control
ydeA,houser,two_week_starvation_versus_control
