gene,source,thresholds,comparison
cheR,zhu,5,RelA_Overproduction_vs_WT
dmsA,zhu,5,RelA_Overproduction_vs_WT
flgB,zhu,5,RelA_Overproduction_vs_WT
flgE,zhu,5,RelA_Overproduction_vs_WT
flgG,zhu,5,RelA_Overproduction_vs_WT
flgI,zhu,5,RelA_Overproduction_vs_WT
flgL,zhu,5,RelA_Overproduction_vs_WT
flgN,zhu,5,RelA_Overproduction_vs_WT
flhA,zhu,5,RelA_Overproduction_vs_WT
fliD,zhu,5,RelA_Overproduction_vs_WT
fliF,zhu,5,RelA_Overproduction_vs_WT
fliH,zhu,5,RelA_Overproduction_vs_WT
flu,zhu,5,RelA_Overproduction_vs_WT
hybO,zhu,5,RelA_Overproduction_vs_WT
yceA,zhu,5,RelA_Overproduction_vs_WT
yecR,zhu,5,RelA_Overproduction_vs_WT
yeeR,zhu,5,RelA_Overproduction_vs_WT
ygiQ,zhu,5,RelA_Overproduction_vs_WT
