gene,source,thresholds,comparison
thiQ,ceroni,2.5,pLys-M1_versus_pLys
lacA,ceroni,2.5,pLys-M1_versus_pLys
ampH,ceroni,2.5,pLys-M1_versus_pLys
yaiY,ceroni,2.5,pLys-M1_versus_pLys
glnK,ceroni,2.5,pLys-M1_versus_pLys
amtB,ceroni,2.5,pLys-M1_versus_pLys
allC,ceroni,2.5,pLys-M1_versus_pLys
ybcJ,ceroni,2.5,pLys-M1_versus_pLys
fes,ceroni,2.5,pLys-M1_versus_pLys
fepC,ceroni,2.5,pLys-M1_versus_pLys
fepG,ceroni,2.5,pLys-M1_versus_pLys
fepD,ceroni,2.5,pLys-M1_versus_pLys
entS,ceroni,2.5,pLys-M1_versus_pLys
fepB,ceroni,2.5,pLys-M1_versus_pLys
entE,ceroni,2.5,pLys-M1_versus_pLys
bioA,ceroni,2.5,pLys-M1_versus_pLys
bioB,ceroni,2.5,pLys-M1_versus_pLys
moaB,ceroni,2.5,pLys-M1_versus_pLys
moaC,ceroni,2.5,pLys-M1_versus_pLys
ybhN,ceroni,2.5,pLys-M1_versus_pLys
elyC,ceroni,2.5,pLys-M1_versus_pLys
hyaA,ceroni,2.5,pLys-M1_versus_pLys
rutG,ceroni,2.5,pLys-M1_versus_pLys
rutD,ceroni,2.5,pLys-M1_versus_pLys
rutB,ceroni,2.5,pLys-M1_versus_pLys
rutA,ceroni,2.5,pLys-M1_versus_pLys
efeO,ceroni,2.5,pLys-M1_versus_pLys
efeB,ceroni,2.5,pLys-M1_versus_pLys
ymdA,ceroni,2.5,pLys-M1_versus_pLys
yceJ,ceroni,2.5,pLys-M1_versus_pLys
iraM,ceroni,2.5,pLys-M1_versus_pLys
dhaM,ceroni,2.5,pLys-M1_versus_pLys
dhaK,ceroni,2.5,pLys-M1_versus_pLys
ydaG,ceroni,2.5,pLys-M1_versus_pLys
ydaT,ceroni,2.5,pLys-M1_versus_pLys
ydcA,ceroni,2.5,pLys-M1_versus_pLys
narV,ceroni,2.5,pLys-M1_versus_pLys
ddpX,ceroni,2.5,pLys-M1_versus_pLys
lsrB,ceroni,2.5,pLys-M1_versus_pLys
stfQ,ceroni,2.5,pLys-M1_versus_pLys
mdtJ,ceroni,2.5,pLys-M1_versus_pLys
uidB,ceroni,2.5,pLys-M1_versus_pLys
sufC,ceroni,2.5,pLys-M1_versus_pLys
sufA,ceroni,2.5,pLys-M1_versus_pLys
ynjC,ceroni,2.5,pLys-M1_versus_pLys
