gene,source,thresholds,comparison
clbQ,emani,2.0,all_tags_vs_control
rbbA,emani,2.0,all_tags_vs_control
hyxB,emani,2.0,all_tags_vs_control
clbB,emani,2.0,all_tags_vs_control
hisQ,emani,2.0,all_tags_vs_control
argD,emani,2.0,all_tags_vs_control
glnA,emani,2.0,all_tags_vs_control
clbC,emani,2.0,all_tags_vs_control
xylF,emani,2.0,all_tags_vs_control
metE,emani,2.0,all_tags_vs_control
malG,emani,2.0,all_tags_vs_control
clbM,emani,2.0,all_tags_vs_control
clbK,emani,2.0,all_tags_vs_control
malF,emani,2.0,all_tags_vs_control
yagU,emani,2.0,all_tags_vs_control
hdeB,emani,2.0,all_tags_vs_control
ydeN,emani,2.0,all_tags_vs_control
carA,emani,2.0,all_tags_vs_control
clbH,emani,2.0,all_tags_vs_control
gadA,emani,2.0,all_tags_vs_control
gadE,emani,2.0,all_tags_vs_control
yhhJ,emani,2.0,all_tags_vs_control
argF,emani,2.0,all_tags_vs_control
mdtE,emani,2.0,all_tags_vs_control
clbN,emani,2.0,all_tags_vs_control
mdtF,emani,2.0,all_tags_vs_control
argB,emani,2.0,all_tags_vs_control
ompF,emani,2.0,all_tags_vs_control
cstA,emani,2.0,all_tags_vs_control
carB,emani,2.0,all_tags_vs_control
argH,emani,2.0,all_tags_vs_control
clbJ,emani,2.0,all_tags_vs_control
clbG,emani,2.0,all_tags_vs_control
uacT,emani,2.0,all_tags_vs_control
clbL,emani,2.0,all_tags_vs_control
clbF,emani,2.0,all_tags_vs_control
clbI,emani,2.0,all_tags_vs_control
gadC,emani,2.0,all_tags_vs_control
dpaL,emani,2.0,all_tags_vs_control
slp,emani,2.0,all_tags_vs_control
ompD,emani,2.0,all_tags_vs_control
xdhD,emani,2.0,all_tags_vs_control
clbE,emani,2.0,all_tags_vs_control
ygeY,emani,2.0,all_tags_vs_control
clbD,emani,2.0,all_tags_vs_control
ygfM,emani,2.0,all_tags_vs_control
malE,emani,2.0,all_tags_vs_control
ompC,emani,2.0,all_tags_vs_control
ygfK,emani,2.0,all_tags_vs_control
ssnA,emani,2.0,all_tags_vs_control
ygeW,emani,2.0,all_tags_vs_control
