gene,source,comparison
gatA,gummesson,isoleucine_starvation_versus_control
metE,gummesson,isoleucine_starvation_versus_control
xanP,gummesson,isoleucine_starvation_versus_control
pyrB,gummesson,isoleucine_starvation_versus_control
ghxP,gummesson,isoleucine_starvation_versus_control
carA,gummesson,isoleucine_starvation_versus_control
gatB,gummesson,isoleucine_starvation_versus_control
purT,gummesson,isoleucine_starvation_versus_control
bioF,gummesson,isoleucine_starvation_versus_control
ilvC,gummesson,isoleucine_starvation_versus_control
bioB,gummesson,isoleucine_starvation_versus_control
purK,gummesson,isoleucine_starvation_versus_control
purL,gummesson,isoleucine_starvation_versus_control
carB,gummesson,isoleucine_starvation_versus_control
fiu,gummesson,isoleucine_starvation_versus_control
entC,gummesson,isoleucine_starvation_versus_control
gatD,gummesson,isoleucine_starvation_versus_control
purM,gummesson,isoleucine_starvation_versus_control
bioA,gummesson,isoleucine_starvation_versus_control
entS,gummesson,isoleucine_starvation_versus_control
argI,gummesson,isoleucine_starvation_versus_control
malE,gummesson,isoleucine_starvation_versus_control
purH,gummesson,isoleucine_starvation_versus_control
yjaH,gummesson,isoleucine_starvation_versus_control
purC,gummesson,isoleucine_starvation_versus_control
entB,gummesson,isoleucine_starvation_versus_control
argD,gummesson,isoleucine_starvation_versus_control
gatZ,gummesson,isoleucine_starvation_versus_control
codB,gummesson,isoleucine_starvation_versus_control
argC,gummesson,isoleucine_starvation_versus_control
ompF,gummesson,isoleucine_starvation_versus_control
uraA,gummesson,isoleucine_starvation_versus_control
livJ,gummesson,isoleucine_starvation_versus_control
bioC,gummesson,isoleucine_starvation_versus_control
ydiY,gummesson,isoleucine_starvation_versus_control
plaP,gummesson,isoleucine_starvation_versus_control
artJ,gummesson,isoleucine_starvation_versus_control
gtrS,gummesson,isoleucine_starvation_versus_control
pyrE,gummesson,isoleucine_starvation_versus_control
entE,gummesson,isoleucine_starvation_versus_control
trpE,gummesson,isoleucine_starvation_versus_control
argF,gummesson,isoleucine_starvation_versus_control
yliF,gummesson,isoleucine_starvation_versus_control
ndk,gummesson,isoleucine_starvation_versus_control
tsx,gummesson,isoleucine_starvation_versus_control
ydeN,gummesson,isoleucine_starvation_versus_control
lamB,gummesson,isoleucine_starvation_versus_control
gtrB,gummesson,isoleucine_starvation_versus_control
lysC,gummesson,isoleucine_starvation_versus_control
gltF,gummesson,isoleucine_starvation_versus_control
bioD,gummesson,isoleucine_starvation_versus_control
cspA,gummesson,isoleucine_starvation_versus_control
purD,gummesson,isoleucine_starvation_versus_control
pyrD,gummesson,isoleucine_starvation_versus_control
pyrC,gummesson,isoleucine_starvation_versus_control
upp,gummesson,isoleucine_starvation_versus_control
uhpB,gummesson,isoleucine_starvation_versus_control
purR,gummesson,isoleucine_starvation_versus_control
cvpA,gummesson,isoleucine_starvation_versus_control
trpD,gummesson,isoleucine_starvation_versus_control
argB,gummesson,isoleucine_starvation_versus_control
malM,gummesson,isoleucine_starvation_versus_control
zinT,gummesson,isoleucine_starvation_versus_control
purF,gummesson,isoleucine_starvation_versus_control
gatY,gummesson,isoleucine_starvation_versus_control
ycaO,gummesson,isoleucine_starvation_versus_control
alaW,gummesson,isoleucine_starvation_versus_control
argA,gummesson,isoleucine_starvation_versus_control
metF,gummesson,isoleucine_starvation_versus_control
livG,gummesson,isoleucine_starvation_versus_control
pyrI,gummesson,isoleucine_starvation_versus_control
valX,gummesson,isoleucine_starvation_versus_control
fis,gummesson,isoleucine_starvation_versus_control
opgC,gummesson,isoleucine_starvation_versus_control
mglA,gummesson,isoleucine_starvation_versus_control
accC,gummesson,isoleucine_starvation_versus_control
menI,gummesson,isoleucine_starvation_versus_control
rpsF,gummesson,isoleucine_starvation_versus_control
fepG,gummesson,isoleucine_starvation_versus_control
rbsD,gummesson,isoleucine_starvation_versus_control
adeP,gummesson,isoleucine_starvation_versus_control
mglC,gummesson,isoleucine_starvation_versus_control
priB,gummesson,isoleucine_starvation_versus_control
aldA,gummesson,isoleucine_starvation_versus_control
leuQ,gummesson,isoleucine_starvation_versus_control
entF,gummesson,isoleucine_starvation_versus_control
rnpA,gummesson,isoleucine_starvation_versus_control
rpsR,gummesson,isoleucine_starvation_versus_control
purN,gummesson,isoleucine_starvation_versus_control
yliE,gummesson,isoleucine_starvation_versus_control
suhB,gummesson,isoleucine_starvation_versus_control
ilvN,gummesson,isoleucine_starvation_versus_control
glnA,gummesson,isoleucine_starvation_versus_control
dusB,gummesson,isoleucine_starvation_versus_control
livK,gummesson,isoleucine_starvation_versus_control
ykgM,gummesson,isoleucine_starvation_versus_control
rplI,gummesson,isoleucine_starvation_versus_control
aroF,gummesson,isoleucine_starvation_versus_control
fhuA,gummesson,isoleucine_starvation_versus_control
yeaD,gummesson,isoleucine_starvation_versus_control
