gene,source,comparison
alaE,kim,42C_versus_control
argR,kim,42C_versus_control
azoR,kim,42C_versus_control
brnQ,kim,42C_versus_control
bssR,kim,42C_versus_control
bssS,kim,42C_versus_control
cpxP,kim,42C_versus_control
csgA,kim,42C_versus_control
csgB,kim,42C_versus_control
csiD,kim,42C_versus_control
ecnB,kim,42C_versus_control
fucI,kim,42C_versus_control
fucK,kim,42C_versus_control
fucU,kim,42C_versus_control
glgS,kim,42C_versus_control
glpD,kim,42C_versus_control
hisL,kim,42C_versus_control
htpX,kim,42C_versus_control
istR-2,kim,42C_versus_control
ldtD,kim,42C_versus_control
ldtE,kim,42C_versus_control
marB,kim,42C_versus_control
mcbA,kim,42C_versus_control
metA,kim,42C_versus_control
metB,kim,42C_versus_control
metF,kim,42C_versus_control
metJ,kim,42C_versus_control
metK,kim,42C_versus_control
metL,kim,42C_versus_control
metN,kim,42C_versus_control
metR,kim,42C_versus_control
mocA,kim,42C_versus_control
mqo,kim,42C_versus_control
ompA,kim,42C_versus_control
ompX,kim,42C_versus_control
osmB,kim,42C_versus_control
osmY,kim,42C_versus_control
pspA,kim,42C_versus_control
pspB,kim,42C_versus_control
pspC,kim,42C_versus_control
pspD,kim,42C_versus_control
pspG,kim,42C_versus_control
rpoH,kim,42C_versus_control
sdaA,kim,42C_versus_control
slyB,kim,42C_versus_control
soxR,kim,42C_versus_control
spy,kim,42C_versus_control
tqsA,kim,42C_versus_control
uspB,kim,42C_versus_control
yafQ,kim,42C_versus_control
ybaY,kim,42C_versus_control
ybdH,kim,42C_versus_control
ybdL,kim,42C_versus_control
ybfA,kim,42C_versus_control
ybiJ,kim,42C_versus_control
ybjX,kim,42C_versus_control
yciG,kim,42C_versus_control
yhaK,kim,42C_versus_control
yhcN,kim,42C_versus_control
yiaG,kim,42C_versus_control
yibI,kim,42C_versus_control
yibT,kim,42C_versus_control
yiiX,kim,42C_versus_control
yjbJ,kim,42C_versus_control
yjbT,kim,42C_versus_control
yjfY,kim,42C_versus_control
yncJ,kim,42C_versus_control
yneM,kim,42C_versus_control
ypdK,kim,42C_versus_control
yqaE,kim,42C_versus_control
ytjA,kim,42C_versus_control
zraP,kim,42C_versus_control
