gene,source,comparison
adiA ,lu,glyphosate_shock_versus_control
afuC ,lu,glyphosate_shock_versus_control
ansB ,lu,glyphosate_shock_versus_control
argK ,lu,glyphosate_shock_versus_control
cadA ,lu,glyphosate_shock_versus_control
cadB ,lu,glyphosate_shock_versus_control
ddpF ,lu,glyphosate_shock_versus_control
ddpX ,lu,glyphosate_shock_versus_control
edd ,lu,glyphosate_shock_versus_control
elaD ,lu,glyphosate_shock_versus_control
idnD ,lu,glyphosate_shock_versus_control
nikA ,lu,glyphosate_shock_versus_control
nikB ,lu,glyphosate_shock_versus_control
nikD ,lu,glyphosate_shock_versus_control
oxc ,lu,glyphosate_shock_versus_control
pheP ,lu,glyphosate_shock_versus_control
proV ,lu,glyphosate_shock_versus_control
proW ,lu,glyphosate_shock_versus_control
proX ,lu,glyphosate_shock_versus_control
rspB ,lu,glyphosate_shock_versus_control
speF ,lu,glyphosate_shock_versus_control
tdcA ,lu,glyphosate_shock_versus_control
tdcB ,lu,glyphosate_shock_versus_control
tdcC ,lu,glyphosate_shock_versus_control
tdcF ,lu,glyphosate_shock_versus_control
tdcR ,lu,glyphosate_shock_versus_control
tnaA ,lu,glyphosate_shock_versus_control
tnaB ,lu,glyphosate_shock_versus_control
tnaC ,lu,glyphosate_shock_versus_control
wcaB ,lu,glyphosate_shock_versus_control
wcaD ,lu,glyphosate_shock_versus_control
wcaF ,lu,glyphosate_shock_versus_control
wzc ,lu,glyphosate_shock_versus_control
yagE ,lu,glyphosate_shock_versus_control
yahN ,lu,glyphosate_shock_versus_control
ydeN ,lu,glyphosate_shock_versus_control
ydjJ ,lu,glyphosate_shock_versus_control
yedS_3 ,lu,glyphosate_shock_versus_control
yfbL ,lu,glyphosate_shock_versus_control
yfcC ,lu,glyphosate_shock_versus_control
yfiK ,lu,glyphosate_shock_versus_control
ygeW ,lu,glyphosate_shock_versus_control
ygeX ,lu,glyphosate_shock_versus_control
ygeY ,lu,glyphosate_shock_versus_control
ygfT ,lu,glyphosate_shock_versus_control
yhdX ,lu,glyphosate_shock_versus_control
yhdY ,lu,glyphosate_shock_versus_control
yhfX ,lu,glyphosate_shock_versus_control
yhiP ,lu,glyphosate_shock_versus_control
yjdL ,lu,glyphosate_shock_versus_control
yjiM ,lu,glyphosate_shock_versus_control
yqeA ,lu,glyphosate_shock_versus_control
agaB ,lu,glyphosate_shock_versus_control
agaI ,lu,glyphosate_shock_versus_control
agaV ,lu,glyphosate_shock_versus_control
agaW ,lu,glyphosate_shock_versus_control
agaY ,lu,glyphosate_shock_versus_control
agaZ ,lu,glyphosate_shock_versus_control
alsA ,lu,glyphosate_shock_versus_control
alsC ,lu,glyphosate_shock_versus_control
alsE ,lu,glyphosate_shock_versus_control
araA ,lu,glyphosate_shock_versus_control
araF ,lu,glyphosate_shock_versus_control
arnF ,lu,glyphosate_shock_versus_control
bglB ,lu,glyphosate_shock_versus_control
bglF ,lu,glyphosate_shock_versus_control
citE ,lu,glyphosate_shock_versus_control
cmtA ,lu,glyphosate_shock_versus_control
cmtB ,lu,glyphosate_shock_versus_control
dgoT ,lu,glyphosate_shock_versus_control
ebgA ,lu,glyphosate_shock_versus_control
ebgC ,lu,glyphosate_shock_versus_control
emrB ,lu,glyphosate_shock_versus_control
frvA ,lu,glyphosate_shock_versus_control
frvB ,lu,glyphosate_shock_versus_control
frvX ,lu,glyphosate_shock_versus_control
frwB ,lu,glyphosate_shock_versus_control
frwC ,lu,glyphosate_shock_versus_control
fryB ,lu,glyphosate_shock_versus_control
fryC ,lu,glyphosate_shock_versus_control
fucA ,lu,glyphosate_shock_versus_control
fucI ,lu,glyphosate_shock_versus_control
fucK ,lu,glyphosate_shock_versus_control
fucP ,lu,glyphosate_shock_versus_control
garL ,lu,glyphosate_shock_versus_control
glvB ,lu,glyphosate_shock_versus_control
glvC ,lu,glyphosate_shock_versus_control
glvG ,lu,glyphosate_shock_versus_control
gntP ,lu,glyphosate_shock_versus_control
gntU ,lu,glyphosate_shock_versus_control
gudP ,lu,glyphosate_shock_versus_control
hcaT ,lu,glyphosate_shock_versus_control
hrsA ,lu,glyphosate_shock_versus_control
hycA ,lu,glyphosate_shock_versus_control
hyi ,lu,glyphosate_shock_versus_control
idnT ,lu,glyphosate_shock_versus_control
kdgT ,lu,glyphosate_shock_versus_control
