gene,source,thresholds,comparison
adeD,mori,2.5,Lib-17_versus_Lib-20
aspA,mori,2.5,Lib-17_versus_Lib-20
cspA,mori,2.5,Lib-17_versus_Lib-20
dadA,mori,2.5,Lib-17_versus_Lib-20
dctA,mori,2.5,Lib-17_versus_Lib-20
dsdA,mori,2.5,Lib-17_versus_Lib-20
eco,mori,2.5,Lib-17_versus_Lib-20
fadL,mori,2.5,Lib-17_versus_Lib-20
glpD,mori,2.5,Lib-17_versus_Lib-20
glpK,mori,2.5,Lib-17_versus_Lib-20
kbl,mori,2.5,Lib-17_versus_Lib-20
lldD,mori,2.5,Lib-17_versus_Lib-20
mglA,mori,2.5,Lib-17_versus_Lib-20
mglB,mori,2.5,Lib-17_versus_Lib-20
modC,mori,2.5,Lib-17_versus_Lib-20
nanE,mori,2.5,Lib-17_versus_Lib-20
pck,mori,2.5,Lib-17_versus_Lib-20
sdaA,mori,2.5,Lib-17_versus_Lib-20
sdaC,mori,2.5,Lib-17_versus_Lib-20
tdcG,mori,2.5,Lib-17_versus_Lib-20
tdh,mori,2.5,Lib-17_versus_Lib-20
ydeN,mori,2.5,Lib-17_versus_Lib-20
ydfK,mori,2.5,Lib-17_versus_Lib-20
yiaD,mori,2.5,Lib-17_versus_Lib-20
ynaE,mori,2.5,Lib-17_versus_Lib-20
atpE,mori,2.5,Lib-02_versus_Lib-20
cheR,mori,2.5,Lib-02_versus_Lib-20
cspA,mori,2.5,Lib-02_versus_Lib-20
dinI,mori,2.5,Lib-02_versus_Lib-20
dsdA,mori,2.5,Lib-02_versus_Lib-20
fecA,mori,2.5,Lib-02_versus_Lib-20
glpD,mori,2.5,Lib-02_versus_Lib-20
glpK,mori,2.5,Lib-02_versus_Lib-20
kbl,mori,2.5,Lib-02_versus_Lib-20
lysU,mori,2.5,Lib-02_versus_Lib-20
mglA,mori,2.5,Lib-02_versus_Lib-20
mglB,mori,2.5,Lib-02_versus_Lib-20
mglC,mori,2.5,Lib-02_versus_Lib-20
nanA,mori,2.5,Lib-02_versus_Lib-20
nanE,mori,2.5,Lib-02_versus_Lib-20
nanK,mori,2.5,Lib-02_versus_Lib-20
narP,mori,2.5,Lib-02_versus_Lib-20
rbsA,mori,2.5,Lib-02_versus_Lib-20
rbsB,mori,2.5,Lib-02_versus_Lib-20
rbsC,mori,2.5,Lib-02_versus_Lib-20
rbsD,mori,2.5,Lib-02_versus_Lib-20
rbsK,mori,2.5,Lib-02_versus_Lib-20
sdaB,mori,2.5,Lib-02_versus_Lib-20
sdaC,mori,2.5,Lib-02_versus_Lib-20
srlB,mori,2.5,Lib-02_versus_Lib-20
tdcG,mori,2.5,Lib-02_versus_Lib-20
tnaA,mori,2.5,Lib-02_versus_Lib-20
yeeD,mori,2.5,Lib-02_versus_Lib-20
ykgE,mori,2.5,Lib-02_versus_Lib-20
atpE,mori,2.5,Lib-06_versus_Lib-20
brnQ,mori,2.5,Lib-06_versus_Lib-20
cspA,mori,2.5,Lib-06_versus_Lib-20
deaD,mori,2.5,Lib-06_versus_Lib-20
dsdA,mori,2.5,Lib-06_versus_Lib-20
eco,mori,2.5,Lib-06_versus_Lib-20
fdoG,mori,2.5,Lib-06_versus_Lib-20
fis,mori,2.5,Lib-06_versus_Lib-20
fruK,mori,2.5,Lib-06_versus_Lib-20
glpD,mori,2.5,Lib-06_versus_Lib-20
glpK,mori,2.5,Lib-06_versus_Lib-20
glpQ,mori,2.5,Lib-06_versus_Lib-20
kbl,mori,2.5,Lib-06_versus_Lib-20
lldR,mori,2.5,Lib-06_versus_Lib-20
lysU,mori,2.5,Lib-06_versus_Lib-20
macB,mori,2.5,Lib-06_versus_Lib-20
menC,mori,2.5,Lib-06_versus_Lib-20
nanA,mori,2.5,Lib-06_versus_Lib-20
nanE,mori,2.5,Lib-06_versus_Lib-20
nanK,mori,2.5,Lib-06_versus_Lib-20
nanT,mori,2.5,Lib-06_versus_Lib-20
sdaA,mori,2.5,Lib-06_versus_Lib-20
sdaB,mori,2.5,Lib-06_versus_Lib-20
sdaC,mori,2.5,Lib-06_versus_Lib-20
tdcG,mori,2.5,Lib-06_versus_Lib-20
tdh,mori,2.5,Lib-06_versus_Lib-20
treB,mori,2.5,Lib-06_versus_Lib-20
yajI,mori,2.5,Lib-06_versus_Lib-20
yhcH,mori,2.5,Lib-06_versus_Lib-20
yiaD,mori,2.5,Lib-06_versus_Lib-20
aer,mori,2.5,Lib-14_versus_Lib-20
aspA,mori,2.5,Lib-14_versus_Lib-20
cdd,mori,2.5,Lib-14_versus_Lib-20
cheA,mori,2.5,Lib-14_versus_Lib-20
cheR,mori,2.5,Lib-14_versus_Lib-20
cheZ,mori,2.5,Lib-14_versus_Lib-20
cspA,mori,2.5,Lib-14_versus_Lib-20
cytR,mori,2.5,Lib-14_versus_Lib-20
dadA,mori,2.5,Lib-14_versus_Lib-20
dctA,mori,2.5,Lib-14_versus_Lib-20
dsdA,mori,2.5,Lib-14_versus_Lib-20
eco,mori,2.5,Lib-14_versus_Lib-20
fdoG,mori,2.5,Lib-14_versus_Lib-20
flgE,mori,2.5,Lib-14_versus_Lib-20
flgG,mori,2.5,Lib-14_versus_Lib-20
flgH,mori,2.5,Lib-14_versus_Lib-20
flgK,mori,2.5,Lib-14_versus_Lib-20
flgL,mori,2.5,Lib-14_versus_Lib-20
flgN,mori,2.5,Lib-14_versus_Lib-20
fliA,mori,2.5,Lib-14_versus_Lib-20
fliC,mori,2.5,Lib-14_versus_Lib-20
fliF,mori,2.5,Lib-14_versus_Lib-20
fliG,mori,2.5,Lib-14_versus_Lib-20
fliL,mori,2.5,Lib-14_versus_Lib-20
fliN,mori,2.5,Lib-14_versus_Lib-20
glpK,mori,2.5,Lib-14_versus_Lib-20
glpQ,mori,2.5,Lib-14_versus_Lib-20
ibpB,mori,2.5,Lib-14_versus_Lib-20
kbl,mori,2.5,Lib-14_versus_Lib-20
lldD,mori,2.5,Lib-14_versus_Lib-20
lysU,mori,2.5,Lib-14_versus_Lib-20
malE,mori,2.5,Lib-14_versus_Lib-20
mglA,mori,2.5,Lib-14_versus_Lib-20
mglB,mori,2.5,Lib-14_versus_Lib-20
mglC,mori,2.5,Lib-14_versus_Lib-20
nanA,mori,2.5,Lib-14_versus_Lib-20
rbsB,mori,2.5,Lib-14_versus_Lib-20
rbsK,mori,2.5,Lib-14_versus_Lib-20
sdaA,mori,2.5,Lib-14_versus_Lib-20
sdaC,mori,2.5,Lib-14_versus_Lib-20
tap,mori,2.5,Lib-14_versus_Lib-20
tdcG,mori,2.5,Lib-14_versus_Lib-20
tdh,mori,2.5,Lib-14_versus_Lib-20
treB,mori,2.5,Lib-14_versus_Lib-20
trg,mori,2.5,Lib-14_versus_Lib-20
tsr,mori,2.5,Lib-14_versus_Lib-20
ydeN,mori,2.5,Lib-14_versus_Lib-20
yehU,mori,2.5,Lib-14_versus_Lib-20
yiaD,mori,2.5,Lib-14_versus_Lib-20
yjhC,mori,2.5,Lib-14_versus_Lib-20
ykgG,mori,2.5,Lib-14_versus_Lib-20
atpE,mori,2.5,Lib-19_versus_Lib-20
cheA,mori,2.5,Lib-19_versus_Lib-20
cheR,mori,2.5,Lib-19_versus_Lib-20
cspA,mori,2.5,Lib-19_versus_Lib-20
deaD,mori,2.5,Lib-19_versus_Lib-20
fliL,mori,2.5,Lib-19_versus_Lib-20
glpA,mori,2.5,Lib-19_versus_Lib-20
glpD,mori,2.5,Lib-19_versus_Lib-20
ibaG,mori,2.5,Lib-19_versus_Lib-20
ilvH,mori,2.5,Lib-19_versus_Lib-20
motA,mori,2.5,Lib-19_versus_Lib-20
motB,mori,2.5,Lib-19_versus_Lib-20
nanA,mori,2.5,Lib-19_versus_Lib-20
nanT,mori,2.5,Lib-19_versus_Lib-20
nuoH,mori,2.5,Lib-19_versus_Lib-20
ompC,mori,2.5,Lib-19_versus_Lib-20
ompN,mori,2.5,Lib-19_versus_Lib-20
recJ,mori,2.5,Lib-19_versus_Lib-20
rlmN,mori,2.5,Lib-19_versus_Lib-20
rplY,mori,2.5,Lib-19_versus_Lib-20
sdaB,mori,2.5,Lib-19_versus_Lib-20
sdaC,mori,2.5,Lib-19_versus_Lib-20
treC,mori,2.5,Lib-19_versus_Lib-20
trmD,mori,2.5,Lib-19_versus_Lib-20
trmL,mori,2.5,Lib-19_versus_Lib-20
ybhA,mori,2.5,Lib-19_versus_Lib-20
ybjN,mori,2.5,Lib-19_versus_Lib-20
yebG,mori,2.5,Lib-19_versus_Lib-20
yedS_1,mori,2.5,Lib-19_versus_Lib-20
yeeD,mori,2.5,Lib-19_versus_Lib-20
aspA,mori,2.5,Lib-28_versus_Lib-20
dsdA,mori,2.5,Lib-28_versus_Lib-20
eco,mori,2.5,Lib-28_versus_Lib-20
fecA,mori,2.5,Lib-28_versus_Lib-20
glpD,mori,2.5,Lib-28_versus_Lib-20
glpK,mori,2.5,Lib-28_versus_Lib-20
kbl,mori,2.5,Lib-28_versus_Lib-20
lldD,mori,2.5,Lib-28_versus_Lib-20
lldR,mori,2.5,Lib-28_versus_Lib-20
lysU,mori,2.5,Lib-28_versus_Lib-20
nanA,mori,2.5,Lib-28_versus_Lib-20
rpoH,mori,2.5,Lib-28_versus_Lib-20
sdaA,mori,2.5,Lib-28_versus_Lib-20
sdaB,mori,2.5,Lib-28_versus_Lib-20
sdaC,mori,2.5,Lib-28_versus_Lib-20
tdcG,mori,2.5,Lib-28_versus_Lib-20
tdh,mori,2.5,Lib-28_versus_Lib-20
trmL,mori,2.5,Lib-28_versus_Lib-20
ydeN,mori,2.5,Lib-28_versus_Lib-20
ydfK,mori,2.5,Lib-28_versus_Lib-20
yiaD,mori,2.5,Lib-28_versus_Lib-20
ykgG,mori,2.5,Lib-28_versus_Lib-20
ynaE,mori,2.5,Lib-28_versus_Lib-20
