gene,source,thresholds,comparison
araG,radzikowski,2.0,Persisters_0.5h_Over_GlucoseGrowth
cfa ,radzikowski,2.0,Persisters_0.5h_Over_GlucoseGrowth
deaD,radzikowski,2.0,Persisters_0.5h_Over_GlucoseGrowth
eptA,radzikowski,2.0,Persisters_0.5h_Over_GlucoseGrowth
fimC,radzikowski,2.0,Persisters_0.5h_Over_GlucoseGrowth
kefC,radzikowski,2.0,Persisters_0.5h_Over_GlucoseGrowth
puuB,radzikowski,2.0,Persisters_0.5h_Over_GlucoseGrowth
yeeF,radzikowski,2.0,Persisters_0.5h_Over_GlucoseGrowth
yfcR,radzikowski,2.0,Persisters_0.5h_Over_GlucoseGrowth
ylaC,radzikowski,2.0,Persisters_0.5h_Over_GlucoseGrowth
bhsA,radzikowski,2.0,Starved_0.5h_Over_GlucoseGrowth
cfa ,radzikowski,2.0,Starved_0.5h_Over_GlucoseGrowth
deaD,radzikowski,2.0,Starved_0.5h_Over_GlucoseGrowth
eptA,radzikowski,2.0,Starved_0.5h_Over_GlucoseGrowth
fimC,radzikowski,2.0,Starved_0.5h_Over_GlucoseGrowth
fliC,radzikowski,2.0,Starved_0.5h_Over_GlucoseGrowth
glsA,radzikowski,2.0,Starved_0.5h_Over_GlucoseGrowth
puuB,radzikowski,2.0,Starved_0.5h_Over_GlucoseGrowth
ubiC,radzikowski,2.0,Starved_0.5h_Over_GlucoseGrowth
ybjX,radzikowski,2.0,Starved_0.5h_Over_GlucoseGrowth
yfcR,radzikowski,2.0,Starved_0.5h_Over_GlucoseGrowth
ylaC,radzikowski,2.0,Starved_0.5h_Over_GlucoseGrowth
