gene,source,thresholds,comparison
aldA,wu,2.5,Clim_MOPS_Over_Rich_MOPS
argD,wu,2.5,Clim_MOPS_Over_Rich_MOPS
argE,wu,2.5,Clim_MOPS_Over_Rich_MOPS
argF,wu,2.5,Clim_MOPS_Over_Rich_MOPS
argG,wu,2.5,Clim_MOPS_Over_Rich_MOPS
argH,wu,2.5,Clim_MOPS_Over_Rich_MOPS
artJ,wu,2.5,Clim_MOPS_Over_Rich_MOPS
basR,wu,2.5,Clim_MOPS_Over_Rich_MOPS
cysI,wu,2.5,Clim_MOPS_Over_Rich_MOPS
cysJ,wu,2.5,Clim_MOPS_Over_Rich_MOPS
cysK,wu,2.5,Clim_MOPS_Over_Rich_MOPS
cysM,wu,2.5,Clim_MOPS_Over_Rich_MOPS
cysP,wu,2.5,Clim_MOPS_Over_Rich_MOPS
gdhA,wu,2.5,Clim_MOPS_Over_Rich_MOPS
glnA,wu,2.5,Clim_MOPS_Over_Rich_MOPS
gltB,wu,2.5,Clim_MOPS_Over_Rich_MOPS
gltD,wu,2.5,Clim_MOPS_Over_Rich_MOPS
gltI,wu,2.5,Clim_MOPS_Over_Rich_MOPS
hisG,wu,2.5,Clim_MOPS_Over_Rich_MOPS
hisJ,wu,2.5,Clim_MOPS_Over_Rich_MOPS
ilvB,wu,2.5,Clim_MOPS_Over_Rich_MOPS
ilvC,wu,2.5,Clim_MOPS_Over_Rich_MOPS
ilvH,wu,2.5,Clim_MOPS_Over_Rich_MOPS
leuA,wu,2.5,Clim_MOPS_Over_Rich_MOPS
leuB,wu,2.5,Clim_MOPS_Over_Rich_MOPS
leuC,wu,2.5,Clim_MOPS_Over_Rich_MOPS
leuD,wu,2.5,Clim_MOPS_Over_Rich_MOPS
livJ,wu,2.5,Clim_MOPS_Over_Rich_MOPS
livK,wu,2.5,Clim_MOPS_Over_Rich_MOPS
lysC,wu,2.5,Clim_MOPS_Over_Rich_MOPS
metA,wu,2.5,Clim_MOPS_Over_Rich_MOPS
metE,wu,2.5,Clim_MOPS_Over_Rich_MOPS
metF,wu,2.5,Clim_MOPS_Over_Rich_MOPS
