gene,source,comparison
clpB,zhang,sigma32-I54N_expression_versus_control
htpG,zhang,sigma32-I54N_expression_versus_control
ibpA,zhang,sigma32-I54N_expression_versus_control
dnaK,zhang,sigma32-I54N_expression_versus_control
hslU,zhang,sigma32-I54N_expression_versus_control
hslO,zhang,sigma32-I54N_expression_versus_control
prlC,zhang,sigma32-I54N_expression_versus_control
dnaJ,zhang,sigma32-I54N_expression_versus_control
ybbN,zhang,sigma32-I54N_expression_versus_control
ldhA,zhang,sigma32-I54N_expression_versus_control
grpE,zhang,sigma32-I54N_expression_versus_control
ybeZ,zhang,sigma32-I54N_expression_versus_control
rlmE,zhang,sigma32-I54N_expression_versus_control
groL,zhang,sigma32-I54N_expression_versus_control
mfd,zhang,sigma32-I54N_expression_versus_control
ycjF,zhang,sigma32-I54N_expression_versus_control
lon,zhang,sigma32-I54N_expression_versus_control
groS,zhang,sigma32-I54N_expression_versus_control
ybeD,zhang,sigma32-I54N_expression_versus_control
hslV,zhang,sigma32-I54N_expression_versus_control
nfuA,zhang,sigma32-I54N_expression_versus_control
yciM,zhang,sigma32-I54N_expression_versus_control
rapA,zhang,sigma32-I54N_expression_versus_control
hflK,zhang,sigma32-I54N_expression_versus_control
ribH,zhang,sigma32-I54N_expression_versus_control
yqiA,zhang,sigma32-I54N_expression_versus_control
hflC,zhang,sigma32-I54N_expression_versus_control
ribD,zhang,sigma32-I54N_expression_versus_control
yheO,zhang,sigma32-I54N_expression_versus_control
lnt,zhang,sigma32-I54N_expression_versus_control
gapA,zhang,sigma32-I54N_expression_versus_control
clpP,zhang,sigma32-I54N_expression_versus_control
hflX,zhang,sigma32-I54N_expression_versus_control
topA,zhang,sigma32-I54N_expression_versus_control
thiL,zhang,sigma32-I54N_expression_versus_control
phoP,zhang,sigma32-I54N_expression_versus_control
mglB,zhang,sigma32-I54N_expression_versus_control
yeaD,zhang,sigma32-I54N_expression_versus_control
dusA,zhang,sigma32-I54N_expression_versus_control
pfkB,zhang,sigma32-I54N_expression_versus_control
rsuA,zhang,sigma32-I54N_expression_versus_control
nusB,zhang,sigma32-I54N_expression_versus_control
yihX,zhang,sigma32-I54N_expression_versus_control
glnD,zhang,sigma32-I54N_expression_versus_control
clpX,zhang,sigma32-I54N_expression_versus_control
fabB,zhang,sigma32-I54N_expression_versus_control
oppD,zhang,sigma32-I54N_expression_versus_control
yniA,zhang,sigma32-I54N_expression_versus_control
seqA,zhang,sigma32-I54N_expression_versus_control
yciK,zhang,sigma32-I54N_expression_versus_control
ileS,zhang,sigma32-I54N_expression_versus_control
nuoL,zhang,sigma32-I54N_expression_versus_control
gloB,zhang,sigma32-I54N_expression_versus_control
clpA,zhang,sigma32-I54N_expression_versus_control
