baseMean_mrna,log2FoldChange_mrna,pvalue_mrna,padj_mrna,gene,dataType_mrna,growthPhase.y_mrna,investigatedEffect_mrna,testVSbase_mrna,baseMean_protein,log2FoldChange_protein,pvalue_protein,padj_protein,dataType_protein,growthPhase.y_protein,investigatedEffect_protein,testVSbase_protein,category
43.22656875,-1.758931771,0.000364414,0.006042781,betA,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose,6.161948111,-2.693892385,0.000170442,0.002627483,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose,concordant
60.52151227,-1.611227222,8.66e-05,0.00201538,betB,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose,12.58888843,-2.858017405,2.39e-06,7.53e-05,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose,concordant
16.87381815,-3.091786237,1.44e-05,0.000602604,prpR,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose,1.330096954,-1.612231578,0.041613628,0.131094706,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose,concordant
36.36164472,-1.500680133,0.051073843,0.153604582,entB,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose,20.93153611,-2.394406799,0.000709291,0.008528213,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose,concordant
2.676101993,-1.767286495,0.0034239,0.027338171,torT,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose,1.417641671,-1.600396507,0.039238844,0.127032494,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose,concordant
706.4807057,-2.157922097,0.005454989,0.035295391,ycgB,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose,1.296592979,-1.524263772,0.051769022,0.14918573,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose,concordant
1.889911745,-1.60620524,0.00782638,0.045120454,ynfE,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose,2.028928493,-1.614108094,0.041215184,0.131018205,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose,concordant
62.51038261,-1.934218523,0.000704546,0.009279951,sufB,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose,8.204803615,-3.025642751,1.64e-05,0.000391973,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose,concordant
29.3250609,-2.437801881,0.000134785,0.002879225,sufA,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose,6.419170431,-3.001370052,2.14e-05,0.000492385,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose,concordant
94.27080003,-3.126366147,5.37e-06,0.000289062,astD,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose,0.986001012,-1.528485999,0.053240212,0.151716819,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose,concordant
77.48485785,-3.149682052,2.98e-06,0.000188503,astA,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose,1.625053451,-1.884654305,0.016349314,0.07404937,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose,concordant
210.378561,-3.027299798,2.93e-06,0.000188503,astC,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose,4.902750815,-1.934219096,0.010653585,0.055190795,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose,concordant
37.69329849,-2.425390791,1.14e-05,0.000488946,yecI,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose,1.152940721,-2.063697711,0.008995491,0.050042305,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose,concordant
261.3655694,-2.726282678,1.92e-06,0.000141451,fruA,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose,9.997852853,-2.24053582,0.000280676,0.004035107,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose,concordant
43.32442434,-1.560161441,0.003645279,0.028110706,atoS,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose,0.947274419,-1.889197873,0.017123083,0.076072862,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose,concordant
59.53771364,-2.1610406,,,proV,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose,5.946635995,-2.192097516,0.005406263,0.035749039,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose,concordant
52.70570619,-2.632432427,0.001837005,0.018163705,proX,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose,9.51171606,-1.955839104,0.013583237,0.065616727,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose,concordant
9.036996888,-2.677964709,0.000224976,0.004142544,ygfJ,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose,0.668017641,-1.516723561,0.055209751,,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose,concordant
12.35882367,-2.346709992,0.000989301,0.011901288,nirB,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose,2.698650875,-1.86087646,0.019665363,0.083594128,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose,concordant
28.26040232,-2.117299944,0.002688755,0.022955282,yhhA,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose,3.266162629,-1.615712509,0.028928977,0.106516911,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose,concordant
