baseMean,log2FoldChange,pvalue,padj,gene,dataType,growthPhase.y,investigatedEffect,testVSbase
78.5061367,0.719928551,0.171998349,0.342046778,thrL,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
408.1396943,0.488649581,0.395269578,0.599885579,thrA,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
172.6877048,0.380210161,0.489705967,0.680500064,thrB,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
197.8693463,0.685541263,0.242475739,0.430233502,thrC,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
20.1889443,0.93630807,0.053227253,0.157974634,yaaX,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
6.977260812,0.167624325,0.662145219,0.808964826,yaaA,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
1.049974167,0.101172062,0.856067383,0.93108444,yaaJ,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
334.6647536,0.196417712,0.436589298,0.634064699,talB,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
27.11166958,-0.581013045,0.053712335,0.158891653,mogA,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
9.475335376,0.947445003,0.006105785,0.038323095,yaaH,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.118776045,-0.151087638,0.8547845,,yaaI,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
523.0331744,-0.772184467,0.06333483,0.178435129,dnaK,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
38.88708193,0.565461891,0.169831396,0.339945373,dnaJ,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
14.20636221,0.24520679,0.581616083,0.752888251,insL-1,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
2.572432754,-0.217922204,0.72377775,0.850851433,mokC,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
42.6411738,-0.011009355,0.971935904,0.988393542,nhaA,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
6.811274664,-0.25754382,0.502162325,0.690517191,nhaR,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.273315433,-0.743498414,0.377682437,,ECB_00020,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.142986829,0.104547214,0.901136999,,ECB_00021,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.123474506,0.061874965,0.937693643,,ECB_00022,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.662668975,-0.220802726,0.747271758,,insA-1,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
4.455900496,-0.50942613,0.308263691,0.506844493,insB-1,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.076915885,0.021091771,0.976700092,,ECB_00025,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
1.994878396,1.291346211,0.01301526,0.061886789,ECB_00026,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
337.1585472,1.303119947,0.032366945,0.113330236,rpsT,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.954748747,0.656918455,0.27870013,0.473331185,yaaY,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
45.96442018,0.26893723,0.51071796,0.696716097,ribF,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
371.8863908,1.120564378,0.026792627,0.1001715,ileS,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
88.33999513,0.709682801,0.122839332,0.272091843,lspA,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
12.39761963,1.570312625,0.003718862,0.028495485,fkpB,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
57.51749624,1.0513496,0.040846309,0.131095124,ispH,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
11.28159103,-0.088784965,0.85504285,0.930593982,rihC,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
29.21110972,0.318163061,0.491003018,0.681682219,dapB,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
86.92173361,1.622285947,0.018000208,0.075891064,carA,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
