baseMean,log2FoldChange,pvalue,padj,gene,dataType,growthPhase.y,investigatedEffect,testVSbase
0.034517064,-0.034021264,0.945953048,,thrL,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
216.6972406,0.007019088,0.986606173,0.992033476,thrA,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
46.82534363,0.371604461,0.439395598,0.574559701,thrB,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
218.1942341,-0.213896563,0.667845636,0.764318865,thrC,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.092883688,-0.077920985,0.905705093,,yaaX,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
27.71009351,0.403710986,0.348699116,0.488436113,yaaA,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.225682432,-0.238980622,0.752658104,,yaaJ,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
166.2537036,0.561320945,0.211593234,0.355600556,talB,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
9.284675461,0.749326894,0.095764773,0.21572364,mogA,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.011277163,0.003976237,0.993678154,,yaaH,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.375689218,-0.839718016,0.271187193,,yaaI,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
558.0933427,-0.035863179,0.941385915,0.962063321,dnaK,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
57.24747808,0.616369938,0.186780397,0.328502431,dnaJ,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
1.292220268,-1.04032095,0.188019874,0.329775776,insL-1,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.062274903,-0.09359347,0.86713693,,mokC,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.210480633,0.235987306,0.754502824,,nhaA,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.909356944,-1.4115235,0.074080997,,nhaR,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.217480542,-0.489121375,0.502085129,,cirA,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.370868378,-0.682687794,0.375543381,,yehB,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.751009905,-0.725958419,0.35916574,,yjcF,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
3.790050377,2.852728815,5.68e-05,0.001097412,insA-1,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.559405366,-0.863264927,0.259106678,,insB-1,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.37616239,-0.851078002,0.258474511,,talA,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.418276947,-0.902682589,0.237342067,,elfG,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
95.38468427,-0.321098202,0.528230725,0.649714293,rpsT,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.083122769,-0.117086606,0.850057283,,yaaY,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
17.85255501,1.26927235,0.001454391,0.014335453,ribF,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
195.6684508,0.537215174,0.187424337,0.329241381,ileS,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.131333388,-0.263924334,0.698771134,,lspA,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
7.515747038,1.180897712,0.008576481,0.048402711,fkpB,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
16.73121735,1.184169231,0.001468884,0.014346849,ispH,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
3.820790713,3.366829403,5.91e-07,2.19e-05,rihC,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
