gene,source,comparison
bolA,durfee,ppGpp_versus_control
crcB,durfee,ppGpp_versus_control
crp,durfee,ppGpp_versus_control
dsrB,durfee,ppGpp_versus_control
flxA,durfee,ppGpp_versus_control
greB,durfee,ppGpp_versus_control
ilvG_1,durfee,ppGpp_versus_control
ilvL,durfee,ppGpp_versus_control
leuL,durfee,ppGpp_versus_control
lexA,durfee,ppGpp_versus_control
lrp,durfee,ppGpp_versus_control
modA,durfee,ppGpp_versus_control
nlpC,durfee,ppGpp_versus_control
nrdH,durfee,ppGpp_versus_control
pheM,durfee,ppGpp_versus_control
phoB,durfee,ppGpp_versus_control
pspB,durfee,ppGpp_versus_control
pstS,durfee,ppGpp_versus_control
rmf,durfee,ppGpp_versus_control
rpoE,durfee,ppGpp_versus_control
rpoH,durfee,ppGpp_versus_control
rsd,durfee,ppGpp_versus_control
ruvA,durfee,ppGpp_versus_control
smf_2,durfee,ppGpp_versus_control
smg,durfee,ppGpp_versus_control
smpA,durfee,ppGpp_versus_control
thrL,durfee,ppGpp_versus_control
trxC,durfee,ppGpp_versus_control
ubiA,durfee,ppGpp_versus_control
uspA,durfee,ppGpp_versus_control
yacC,durfee,ppGpp_versus_control
yaiB,durfee,ppGpp_versus_control
yaiE,durfee,ppGpp_versus_control
yajD,durfee,ppGpp_versus_control
ycbG,durfee,ppGpp_versus_control
ycdN_1,durfee,ppGpp_versus_control
ycfR,durfee,ppGpp_versus_control
ycgL,durfee,ppGpp_versus_control
ycgM,durfee,ppGpp_versus_control
yciI,durfee,ppGpp_versus_control
ycjL,durfee,ppGpp_versus_control
yddM,durfee,ppGpp_versus_control
ydgC,durfee,ppGpp_versus_control
ydgT,durfee,ppGpp_versus_control
yebR,durfee,ppGpp_versus_control
yecA,durfee,ppGpp_versus_control
yedR,durfee,ppGpp_versus_control
yejG,durfee,ppGpp_versus_control
yfdY,durfee,ppGpp_versus_control
yfeD,durfee,ppGpp_versus_control
yffB,durfee,ppGpp_versus_control
yfiA,durfee,ppGpp_versus_control
yfiD,durfee,ppGpp_versus_control
ygdR,durfee,ppGpp_versus_control
ygiN,durfee,ppGpp_versus_control
ygiU,durfee,ppGpp_versus_control
ygjM,durfee,ppGpp_versus_control
ygjN,durfee,ppGpp_versus_control
yhbT,durfee,ppGpp_versus_control
yhcB,durfee,ppGpp_versus_control
yhcN,durfee,ppGpp_versus_control
yhhM,durfee,ppGpp_versus_control
yhjR,durfee,ppGpp_versus_control
yibL,durfee,ppGpp_versus_control
yicG,durfee,ppGpp_versus_control
yidB,durfee,ppGpp_versus_control
yidQ,durfee,ppGpp_versus_control
yihD,durfee,ppGpp_versus_control
yihX,durfee,ppGpp_versus_control
yiiF,durfee,ppGpp_versus_control
yjbD,durfee,ppGpp_versus_control
yjcB,durfee,ppGpp_versus_control
yjdA,durfee,ppGpp_versus_control
yjeB,durfee,ppGpp_versus_control
yjeI,durfee,ppGpp_versus_control
yjiX,durfee,ppGpp_versus_control
yjjX,durfee,ppGpp_versus_control
yljA,durfee,ppGpp_versus_control
ynaJ,durfee,ppGpp_versus_control
ynjH,durfee,ppGpp_versus_control
yrbL,durfee,ppGpp_versus_control
ytfK,durfee,ppGpp_versus_control
zntR,durfee,ppGpp_versus_control
