gene,Acetate,Glucose,log2FC,avg_exp,color
rpoC,2179.98789343629,2778.5193591408797,-0.34985366871560686,2479.253626288585,gray
rpoB,2661.253271862183,3957.4344641181833,-0.5722821386061412,3309.343867990183,gray
acnB,22843.96744881628,7595.542045520425,1.5884616302022394,15219.754747168352,gray
purL,1437.6603757671162,2456.2659852354395,-0.7723279742077889,1946.9631805012777,gray
gltB,1362.6109975256081,2858.9306324572303,-1.068548014921502,2110.7708149914192,gray
aceE,2445.225832105002,5814.613174453896,-1.2493737140023953,4129.919503279449,gray
adhE,4510.32457317426,4851.082598113899,-0.1050530236139906,4680.70358564408,gray
tufA,149277.6651913,252452.05642391465,-0.7580071528810031,200864.86080760733,gray
metE,17413.39929814274,51584.19460938904,-1.5666763506142765,34498.79695376589,gray
groL,19539.781001251136,22739.32226050871,-0.21876456952784196,21139.551630879923,gray
carB,1514.3920736272366,4444.757141119931,-1.552738033353597,2979.5746073735836,gray
pflB,5645.299206008772,4615.031304956793,0.2906525733524976,5130.165255482782,gray
dnaK,14174.328114966569,18605.29615636357,-0.3924087658616209,16389.81213566507,gray
infB,1911.671446758982,3047.251983890236,-0.6723930952816417,2479.461715324609,gray
ilvC,15604.002791800878,33337.861029277265,-1.0951962023558242,24470.93191053907,gray
ppc,1349.0020503807636,3632.6712336487444,-1.4284662952534042,2490.836642014754,gray
alaS,1133.1975395856898,1948.2932556683472,-0.7812792171388097,1540.7453976270185,gray
fusA,21359.54190048143,39026.81589808246,-0.8695544803766868,30193.178899281942,gray
glyS,1959.040054761849,2913.6331607079255,-0.5724311783868465,2436.3366077348874,gray
maeB,1503.5234806304384,468.82157081091276,1.6791217644275083,986.1725257206756,gray
rpsA,10729.249078662617,23797.14056424924,-1.149165289485028,17263.194821455927,gray
leuS,1202.2062337515779,1846.3615474418868,-0.618582297365867,1524.2838905967324,gray
thrA,2108.4874205567867,5703.25698215395,-1.4351464936146296,3905.8722013553684,gray
sucA,4194.847720719163,1705.8885494024767,1.2975934580958572,2950.3681350608194,gray
ileS,1348.0873065519966,2166.2191183474993,-0.6838613098828024,1757.153212449748,gray
aldA,17217.310810202343,3501.3707949367817,2.2975398804768457,10359.340802569563,gray
secA,450.91150038682235,706.3231282917708,-0.6463291641707656,578.6173143392966,gray
aspS,1504.6905707262154,2271.7579951047537,-0.5940187559446528,1888.2242829154845,gray
pheT,2817.753886850856,5023.441084835614,-0.8339056031341112,3920.5974858432346,gray
valS,827.8702680622952,1719.4514437355033,-1.053568956685476,1273.6608558988992,gray
dppA,8170.3142756767475,4938.558854931213,0.726185937873332,6554.43656530398,gray
aceF,3566.5039331861476,9057.41226226973,-1.3443431798732295,6311.958097727939,gray
katG,2683.4759640396287,2199.2959015439747,0.28694293331782283,2441.3859327918017,gray
gyrA,478.923210842003,750.4364624937701,-0.6468475338599458,614.6798366678865,gray
icd,30054.241687818965,33670.22675568666,-0.16389966286982194,31862.234221752813,gray
atpD,16016.190068999036,24155.614371722724,-0.5927971956467921,20085.90222036088,gray
pepN,1215.08301644225,1296.1823182077926,-0.09313954542039582,1255.6326673250214,gray
pykF,4455.114049016437,8901.891897585605,-0.9984878809323323,6678.5029733010215,gray
aceA,242737.13120187094,28173.349674668905,3.106946540746465,135455.24043826992,red
fumA,4783.208862298841,1351.507667156152,1.822643601583417,3067.3582647274966,gray
putA,117.17262444835255,128.36532744613513,-0.1305551339822566,122.76897594724383,gray
katE,2060.767184468317,1180.4716178077892,0.8032964600006132,1620.619401138053,gray
htpG,1330.4047122589157,2095.5358113701263,-0.6550582938448208,1712.970261814521,gray
tsf,8016.552494032157,19871.96587695245,-1.3095733993470926,13944.259185492303,gray
ptsI,2651.260661083914,10158.241161920663,-1.9374981710261903,6404.750911502289,gray
argG,2392.8382904336986,8324.927581156446,-1.7982853119504831,5358.882935795073,gray
glpK,527.089384853642,495.97234002135696,0.08761658405298789,511.5308624374994,gray
pta,877.2001036634276,1148.4473556134978,-0.3883187826418588,1012.8237296384627,gray
tig,11077.198073403502,24928.52477952569,-1.1701321430262563,18002.861426464595,gray
bamA,1167.2916891763095,2028.8397494977548,-0.7969653158594205,1598.065719337032,gray
pnp,2342.9971161857206,3171.3055132023023,-0.436560923626395,2757.1513146940115,gray
pgi,2918.384296594077,4600.986034879098,-0.6565924713833269,3759.685165736588,gray
sdhA,6360.058853596976,2082.5566156030472,1.6102186323269905,4221.307734600012,gray
lon,677.8034885458127,1139.1568398895495,-0.7481664106696204,908.480164217681,gray
acs,6590.128105917588,994.7747093259725,2.7266341317095026,3792.45140762178,red
ppsA,2608.570573452231,1157.6859873375513,1.1713227808043225,1883.1282803948911,gray
guaA,1392.0048392961928,3870.4724397018504,-1.474682102041994,2631.2386394990217,gray
mukB,151.83605759538295,198.69700212006114,-0.3858277260167924,175.26652985772205,gray
yjjK,1596.5172957300333,2571.2249506215244,-0.6871852664371474,2083.871123175779,gray
