gene,source,thresholds,comparison
gpmI,schmidt,2.5,Acetate_vs_Glucose
ydcP,schmidt,2.5,Acetate_vs_Glucose
yiaD,schmidt,2.5,Acetate_vs_Glucose
malS,schmidt,2.5,Acetate_vs_Glucose
proV,schmidt,2.5,Acetate_vs_Glucose
glnL,schmidt,2.5,Acetate_vs_Glucose
yceA,schmidt,2.5,Acetate_vs_Glucose
puuE,schmidt,2.5,Acetate_vs_Glucose
sapD,schmidt,2.5,Acetate_vs_Glucose
rhlE,schmidt,2.5,Acetate_vs_Glucose
fumB,schmidt,2.5,Acetate_vs_Glucose
yhfZ,schmidt,2.5,Acetate_vs_Glucose
phnP,schmidt,2.5,Acetate_vs_Glucose
flgE,schmidt,2.5,Acetate_vs_Glucose
dbpA,schmidt,2.5,Acetate_vs_Glucose
kduI,schmidt,2.5,Acetate_vs_Glucose
treF,schmidt,2.5,Acetate_vs_Glucose
pyrE,schmidt,2.5,Acetate_vs_Glucose
ybfE,schmidt,2.5,Acetate_vs_Glucose
yebO,schmidt,2.5,Acetate_vs_Glucose
ycdB,schmidt,2.5,Acetate_vs_Glucose
yjiX,schmidt,2.5,Acetate_vs_Glucose
iap,schmidt,2.5,Acetate_vs_Glucose
selU,schmidt,2.5,Acetate_vs_Glucose
dam,schmidt,2.5,Acetate_vs_Glucose
nsrR,schmidt,2.5,Acetate_vs_Glucose
yqhC,schmidt,2.5,Acetate_vs_Glucose
rluF,schmidt,2.5,Acetate_vs_Glucose
hemE,schmidt,2.5,Acetate_vs_Glucose
hyi,schmidt,2.5,Acetate_vs_Glucose
shiA,schmidt,2.5,Acetate_vs_Glucose
glnK,schmidt,2.5,Acetate_vs_Glucose
fimH,schmidt,2.5,Acetate_vs_Glucose
hybE,schmidt,2.5,Acetate_vs_Glucose
yeiU,schmidt,2.5,Acetate_vs_Glucose
ycfJ,schmidt,2.5,Acetate_vs_Glucose
yjjG,schmidt,2.5,Acetate_vs_Glucose
zinT,schmidt,2.5,Acetate_vs_Glucose
amtB,schmidt,2.5,Acetate_vs_Glucose
priB,schmidt,2.5,Acetate_vs_Glucose
cbl,schmidt,2.5,Acetate_vs_Glucose
aegA,schmidt,2.5,Acetate_vs_Glucose
tdcE,schmidt,2.5,Acetate_vs_Glucose
dinI,schmidt,2.5,Acetate_vs_Glucose
rmlA,schmidt,2.5,Acetate_vs_Glucose
aroF,schmidt,2.5,Xylose_vs_Glucose
yqaB,schmidt,2.5,Xylose_vs_Glucose
rhlE,schmidt,2.5,Xylose_vs_Glucose
trmH,schmidt,2.5,Xylose_vs_Glucose
mog,schmidt,2.5,Xylose_vs_Glucose
hycA,schmidt,2.5,Xylose_vs_Glucose
ycfS,schmidt,2.5,Xylose_vs_Glucose
yddH,schmidt,2.5,Xylose_vs_Glucose
holD,schmidt,2.5,Xylose_vs_Glucose
ftsL,schmidt,2.5,Xylose_vs_Glucose
borD,schmidt,2.5,Xylose_vs_Glucose
creB,schmidt,2.5,Xylose_vs_Glucose
zinT,schmidt,2.5,Xylose_vs_Glucose
amtB,schmidt,2.5,Xylose_vs_Glucose
lgt,schmidt,2.5,Xylose_vs_Glucose
rfaL,schmidt,2.5,Xylose_vs_Glucose
acrR,schmidt,2.5,Xylose_vs_Glucose
arnA,schmidt,2.5,Xylose_vs_Glucose
pheP,schmidt,2.5,Xylose_vs_Glucose
syd,schmidt,2.5,Xylose_vs_Glucose
ybjN,schmidt,2.5,Xylose_vs_Glucose
yfeY,schmidt,2.5,Xylose_vs_Glucose
uidR,schmidt,2.5,Chemostat_slow_vs_fast
tadA,schmidt,2.5,Chemostat_slow_vs_fast
ogt,schmidt,2.5,Chemostat_slow_vs_fast
mngR,schmidt,2.5,Chemostat_slow_vs_fast
moeB,schmidt,2.5,Chemostat_slow_vs_fast
hybA,schmidt,2.5,Chemostat_slow_vs_fast
ygiD,schmidt,2.5,Chemostat_slow_vs_fast
yieH,schmidt,2.5,Chemostat_slow_vs_fast
fhuD,schmidt,2.5,Chemostat_slow_vs_fast
ydcN,schmidt,2.5,Chemostat_slow_vs_fast
truC,schmidt,2.5,Chemostat_slow_vs_fast
nudG,schmidt,2.5,Chemostat_slow_vs_fast
yajI,schmidt,2.5,Chemostat_slow_vs_fast
yebO,schmidt,2.5,Chemostat_slow_vs_fast
ybdF,schmidt,2.5,Chemostat_slow_vs_fast
rssA,schmidt,2.5,Chemostat_slow_vs_fast
hybE,schmidt,2.5,Chemostat_slow_vs_fast
ilvG,schmidt,2.5,Chemostat_slow_vs_fast
yjdI,schmidt,2.5,Chemostat_slow_vs_fast
yfiC,schmidt,2.5,Chemostat_slow_vs_fast
frlB,schmidt,2.5,Chemostat_slow_vs_fast
feoC,schmidt,2.5,Chemostat_slow_vs_fast
cobU,schmidt,2.5,Chemostat_slow_vs_fast
smtA,schmidt,2.5,Chemostat_slow_vs_fast
tdcE,schmidt,2.5,Chemostat_slow_vs_fast
cusR,schmidt,2.5,Osmotic_stress_glucose_vs_Glucose
mepS,schmidt,2.5,Osmotic_stress_glucose_vs_Glucose
cusF,schmidt,2.5,Osmotic_stress_glucose_vs_Glucose
malS,schmidt,2.5,Osmotic_stress_glucose_vs_Glucose
yqaB,schmidt,2.5,Osmotic_stress_glucose_vs_Glucose
ogt,schmidt,2.5,Osmotic_stress_glucose_vs_Glucose
rhlE,schmidt,2.5,Osmotic_stress_glucose_vs_Glucose
trmH,schmidt,2.5,Osmotic_stress_glucose_vs_Glucose
caiD,schmidt,2.5,Osmotic_stress_glucose_vs_Glucose
bioC,schmidt,2.5,Osmotic_stress_glucose_vs_Glucose
moeB,schmidt,2.5,Osmotic_stress_glucose_vs_Glucose
yhfZ,schmidt,2.5,Osmotic_stress_glucose_vs_Glucose
yedW,schmidt,2.5,Osmotic_stress_glucose_vs_Glucose
phnP,schmidt,2.5,Osmotic_stress_glucose_vs_Glucose
flgE,schmidt,2.5,Osmotic_stress_glucose_vs_Glucose
lsrR,schmidt,2.5,Osmotic_stress_glucose_vs_Glucose
dpiA,schmidt,2.5,Osmotic_stress_glucose_vs_Glucose
nudG,schmidt,2.5,Osmotic_stress_glucose_vs_Glucose
epmB,schmidt,2.5,Osmotic_stress_glucose_vs_Glucose
nuoH,schmidt,2.5,Osmotic_stress_glucose_vs_Glucose
xdhB,schmidt,2.5,Osmotic_stress_glucose_vs_Glucose
hycA,schmidt,2.5,Osmotic_stress_glucose_vs_Glucose
rffC,schmidt,2.5,Osmotic_stress_glucose_vs_Glucose
ycdB,schmidt,2.5,Osmotic_stress_glucose_vs_Glucose
ycfS,schmidt,2.5,Osmotic_stress_glucose_vs_Glucose
iap,schmidt,2.5,Osmotic_stress_glucose_vs_Glucose
maa,schmidt,2.5,Osmotic_stress_glucose_vs_Glucose
rssA,schmidt,2.5,Osmotic_stress_glucose_vs_Glucose
nrdH,schmidt,2.5,Osmotic_stress_glucose_vs_Glucose
rnhB,schmidt,2.5,Osmotic_stress_glucose_vs_Glucose
recF,schmidt,2.5,Osmotic_stress_glucose_vs_Glucose
nsrR,schmidt,2.5,Osmotic_stress_glucose_vs_Glucose
yqhC,schmidt,2.5,Osmotic_stress_glucose_vs_Glucose
hemE,schmidt,2.5,Osmotic_stress_glucose_vs_Glucose
hisQ,schmidt,2.5,Osmotic_stress_glucose_vs_Glucose
yjhH,schmidt,2.5,Osmotic_stress_glucose_vs_Glucose
ftsL,schmidt,2.5,Osmotic_stress_glucose_vs_Glucose
creB,schmidt,2.5,Osmotic_stress_glucose_vs_Glucose
hspQ,schmidt,2.5,Osmotic_stress_glucose_vs_Glucose
yodC,schmidt,2.5,Osmotic_stress_glucose_vs_Glucose
zinT,schmidt,2.5,Osmotic_stress_glucose_vs_Glucose
lgt,schmidt,2.5,Osmotic_stress_glucose_vs_Glucose
mltB,schmidt,2.5,Osmotic_stress_glucose_vs_Glucose
csgG,schmidt,2.5,Osmotic_stress_glucose_vs_Glucose
sbcD,schmidt,2.5,Osmotic_stress_glucose_vs_Glucose
acrR,schmidt,2.5,Osmotic_stress_glucose_vs_Glucose
ilvY,schmidt,2.5,Osmotic_stress_glucose_vs_Glucose
yihL,schmidt,2.5,Osmotic_stress_glucose_vs_Glucose
hemA,schmidt,2.5,Osmotic_stress_glucose_vs_Glucose
sgcB,schmidt,2.5,Osmotic_stress_glucose_vs_Glucose
pheP,schmidt,2.5,Osmotic_stress_glucose_vs_Glucose
dppB,schmidt,2.5,Osmotic_stress_glucose_vs_Glucose
aegA,schmidt,2.5,Osmotic_stress_glucose_vs_Glucose
nuoM,schmidt,2.5,Osmotic_stress_glucose_vs_Glucose
tdcE,schmidt,2.5,Osmotic_stress_glucose_vs_Glucose
ydeP,schmidt,2.5,Osmotic_stress_glucose_vs_Glucose
flxA,schmidt,2.5,Osmotic_stress_glucose_vs_Glucose
nudI,schmidt,2.5,Osmotic_stress_glucose_vs_Glucose
syd,schmidt,2.5,Osmotic_stress_glucose_vs_Glucose
yhaV,schmidt,2.5,Osmotic_stress_glucose_vs_Glucose
ygfJ,schmidt,2.5,Osmotic_stress_glucose_vs_Glucose
