gene,ratio,log2_fc
plaP ,0.19073466834999148,-2.390361
ptsG ,0.2517366191270983,-1.990013
uidC ,0.2857520988122496,-1.807164
yccF ,0.3001099382058851,-1.736437
yihQ ,0.3251204028612238,-1.620954
manX ,0.3356314933923269,-1.57505
manZ ,0.34217280313437043,-1.547203
frc ,0.342827560506515,-1.544445
yneF ,0.3436950550404003,-1.540799
brnQ ,0.3531529370361267,-1.501635
gpmI ,0.3685782897561638,-1.439957
ygdQ ,0.37258099738222855,-1.424374
guaC ,0.38239034442077885,-1.386882
ppc ,0.3856302151255433,-1.37471
yfdI ,0.404781988143189,-1.304783
ybdR ,0.4142607382989028,-1.271389
ompX ,0.41880193119337883,-1.25566
gsk ,0.4203730247672676,-1.250258
waaA ,0.4255849385851098,-1.232481
yigP ,0.4281238165264209,-1.2239
proV ,0.429820143114118,-1.218195
yohF ,0.43011042356715745,-1.217221
fruA ,0.432350421229496,-1.209727
marA ,0.432668801187383,-1.208665
yejG ,0.434322921950806,-1.20316
tatE ,0.435132897899093,-1.200472
yeiR ,0.435150693320308,-1.200413
carA ,0.4354478938896542,-1.199428
yggW ,0.436488938904893,-1.195983
ddpD ,0.4381977555584775,-1.190346
dcuS ,0.4426658547980349,-1.17571
pykF ,0.44466846488378264,-1.169198
glnA ,0.44628152847237884,-1.163974
exbD ,0.44918759774642564,-1.15461
gltD ,0.4688385160138377,-1.092837
carB ,0.46903061504828264,-1.092246
ptsI ,0.4732964479747012,-1.079184
gltB ,0.47544949404044606,-1.072636
thrB ,0.4768435804409329,-1.068412
phoR ,0.47844500222965836,-1.063575
yagE ,0.48204976578448916,-1.052746
rhlE ,0.4850629859238522,-1.043756
hisH ,0.48712806198013814,-1.037627
livH ,0.48939592708705904,-1.030926
pntA ,0.4905258256914956,-1.027599
manB ,0.49390415135621846,-1.017697
serA ,0.49495079038204737,-1.014643
fimB ,0.49941532589014576,-1.001688
lysA ,0.5006076004670456,-0.9982479
argG ,0.5040501899769508,-0.9883607
pyrD ,0.5097113910072121,-0.9722475
metE ,0.5117171178537944,-0.9665816
codA ,0.5133785416190745,-0.9619051
ndh ,0.5146736759780667,-0.9582701
rpsC ,0.5148479752261941,-0.9577816
entA ,0.5151272981630679,-0.9569991
fepA ,0.5212080964402418,-0.9400686
yeaD ,0.5215372847680824,-0.9391577
upp ,0.5218664639688294,-0.9382474
purT ,0.5221473145479087,-0.9374712
rplN ,0.5243009263629486,-0.931533
araD ,0.5249187003787191,-0.9298341
yebO ,0.5252866775199417,-0.9288231
hypF ,0.526387924974371,-0.9258017
thrC ,0.5282910961724915,-0.920595
epmB ,0.5302330489473442,-0.9153015
rplB ,0.5317503931660337,-0.9111789
cysC ,0.5334450602525673,-0.9065884
rpmI ,0.5336003433682358,-0.9061685
fiu ,0.5338789973451247,-0.9054153
arnT ,0.5342267048030949,-0.904476
trpC ,0.5345127993518022,-0.9037036
rpsL ,0.5351967276285855,-0.9018588
pyrH ,0.5389925361106311,-0.8916628
rplC ,0.542982309296303,-0.8810229
ydjN ,0.5445286264259388,-0.8769202
hisG ,0.5471583800520662,-0.8699696
rnb ,0.5478627040055171,-0.8681137
ascF ,0.5495302863654865,-0.8637291
purF ,0.5506210615659489,-0.8608683
speD ,0.5516958372672883,-0.858055
purU ,0.5549301140240844,-0.849622
typA ,0.5565869546022841,-0.845321
arnA ,0.5577708716930098,-0.8422555
deaD ,0.5585650846068638,-0.8402027
purD ,0.5586240533773713,-0.8400504
