gene,ratio,log2FC_mrna,Acetate,Glucose,log2FC_protein,avg_exp,category
ptsg,0.2517366191270983,-1.990013,559.2065005947762,2775.1355964921654,-2.309047406526439,1667.1710485434708,concordant
yccf,0.3001099382058851,-1.736437,83.21014572050844,267.70070353446346,-1.6739341325578625,175.45542462748594,concordant
gpmi,0.3685782897561638,-1.439957,459.9443527906673,2655.6613680864302,-2.526949848260855,1557.8028604385488,concordant
ppc,0.3856302151255433,-1.37471,1349.0020503807636,3632.671233648744,-1.4284662952534042,2490.836642014754,concordant
yfdi,0.404781988143189,-1.304783,40.54543384469659,113.6589014690016,-1.4645865341571795,77.1021676568491,concordant
ompx,0.4188019311933788,-1.25566,6151.689752526864,22442.546831721964,-1.867011536040728,14297.118292124414,concordant
gsk,0.4203730247672676,-1.250258,17.49227491917793,45.66947289944802,-1.3355564571502612,31.580873909312977,concordant
prov,0.429820143114118,-1.218195,2.4356660464923383,28.78308903331197,-3.115831679078922,15.609377539902155,concordant
tate,0.435132897899093,-1.200472,8.777513907241879,44.65485386007391,-2.2232286623999222,26.716183883657894,concordant
yeir,0.435150693320308,-1.200413,21.12374973067153,54.51581461169289,-1.3273028787746677,37.81978217118221,concordant
