gene,source,comparison
alx,vazulka,fab_production_2h_versus_control
ampH,vazulka,fab_production_2h_versus_control
bglA,vazulka,fab_production_2h_versus_control
borD,vazulka,fab_production_2h_versus_control
chaA,vazulka,fab_production_2h_versus_control
clpB,vazulka,fab_production_2h_versus_control
cynX,vazulka,fab_production_2h_versus_control
dacC,vazulka,fab_production_2h_versus_control
flgB,vazulka,fab_production_2h_versus_control
fxsA,vazulka,fab_production_2h_versus_control
gmr,vazulka,fab_production_2h_versus_control
hemL,vazulka,fab_production_2h_versus_control
hslU,vazulka,fab_production_2h_versus_control
hslV,vazulka,fab_production_2h_versus_control
htpX,vazulka,fab_production_2h_versus_control
ibpB,vazulka,fab_production_2h_versus_control
maeA,vazulka,fab_production_2h_versus_control
matA,vazulka,fab_production_2h_versus_control
matB,vazulka,fab_production_2h_versus_control
mdoB,vazulka,fab_production_2h_versus_control
mgrB,vazulka,fab_production_2h_versus_control
mgtA,vazulka,fab_production_2h_versus_control
mlaD,vazulka,fab_production_2h_versus_control
mlaE,vazulka,fab_production_2h_versus_control
mlaF,vazulka,fab_production_2h_versus_control
mtr,vazulka,fab_production_2h_versus_control
mzrA,vazulka,fab_production_2h_versus_control
ompA,vazulka,fab_production_2h_versus_control
ompX,vazulka,fab_production_2h_versus_control
phoP,vazulka,fab_production_2h_versus_control
phoQ,vazulka,fab_production_2h_versus_control
pmrD,vazulka,fab_production_2h_versus_control
pspA,vazulka,fab_production_2h_versus_control
pspB,vazulka,fab_production_2h_versus_control
pspC,vazulka,fab_production_2h_versus_control
pspD,vazulka,fab_production_2h_versus_control
pstA,vazulka,fab_production_2h_versus_control
pstC,vazulka,fab_production_2h_versus_control
pstS,vazulka,fab_production_2h_versus_control
rbsA,vazulka,fab_production_2h_versus_control
rbsC,vazulka,fab_production_2h_versus_control
rbsD_2,vazulka,fab_production_2h_versus_control
rstA,vazulka,fab_production_2h_versus_control
rstB,vazulka,fab_production_2h_versus_control
secA,vazulka,fab_production_2h_versus_control
slyB,vazulka,fab_production_2h_versus_control
speG,vazulka,fab_production_2h_versus_control
tadA,vazulka,fab_production_2h_versus_control
tatC,vazulka,fab_production_2h_versus_control
tatD,vazulka,fab_production_2h_versus_control
tqsA,vazulka,fab_production_2h_versus_control
tus,vazulka,fab_production_2h_versus_control
ybbN,vazulka,fab_production_2h_versus_control
ybeD,vazulka,fab_production_2h_versus_control
ybjX,vazulka,fab_production_2h_versus_control
yccA,vazulka,fab_production_2h_versus_control
yceI,vazulka,fab_production_2h_versus_control
ycfS,vazulka,fab_production_2h_versus_control
ycjF,vazulka,fab_production_2h_versus_control
ycjX,vazulka,fab_production_2h_versus_control
ydeH,vazulka,fab_production_2h_versus_control
yebE,vazulka,fab_production_2h_versus_control
yebO,vazulka,fab_production_2h_versus_control
yebZ,vazulka,fab_production_2h_versus_control
yfdE,vazulka,fab_production_2h_versus_control
yfdX,vazulka,fab_production_2h_versus_control
yfhB,vazulka,fab_production_2h_versus_control
yfiD,vazulka,fab_production_2h_versus_control
yneM,vazulka,fab_production_2h_versus_control
ynfB,vazulka,fab_production_2h_versus_control
yobA,vazulka,fab_production_2h_versus_control
yqjA,vazulka,fab_production_2h_versus_control
yrbL,vazulka,fab_production_2h_versus_control
