gene,source,thresholds,comparison
acnB,schmidt,1.5,Acetate_vs_Glucose
maeB,schmidt,1.5,Acetate_vs_Glucose
aldA,schmidt,1.5,Acetate_vs_Glucose
aceA,schmidt,1.5,Acetate_vs_Glucose
fumA,schmidt,1.5,Acetate_vs_Glucose
sdhA,schmidt,1.5,Acetate_vs_Glucose
acs,schmidt,1.5,Acetate_vs_Glucose
aceB,schmidt,1.5,Acetate_vs_Glucose
tnaA,schmidt,1.5,Acetate_vs_Glucose
aldB,schmidt,1.5,Acetate_vs_Glucose
glcB,schmidt,1.5,Acetate_vs_Glucose
gltA,schmidt,1.5,Acetate_vs_Glucose
mglB,schmidt,1.5,Acetate_vs_Glucose
fadB,schmidt,1.5,Acetate_vs_Glucose
gatY,schmidt,1.5,Acetate_vs_Glucose
sucC,schmidt,1.5,Acetate_vs_Glucose
sucD,schmidt,1.5,Acetate_vs_Glucose
fadE,schmidt,1.5,Acetate_vs_Glucose
gatZ,schmidt,1.5,Acetate_vs_Glucose
sdhB,schmidt,1.5,Acetate_vs_Glucose
pckA,schmidt,1.5,Acetate_vs_Glucose
sthA,schmidt,1.5,Acetate_vs_Glucose
aspA,schmidt,1.5,Acetate_vs_Glucose
mglA,schmidt,1.5,Acetate_vs_Glucose
ydcS,schmidt,1.5,Acetate_vs_Glucose
gpr,schmidt,1.5,Acetate_vs_Glucose
araF,schmidt,1.5,Acetate_vs_Glucose
gatC,schmidt,1.5,Acetate_vs_Glucose
fadL,schmidt,1.5,Acetate_vs_Glucose
ytfQ,schmidt,1.5,Acetate_vs_Glucose
ydeN,schmidt,1.5,Acetate_vs_Glucose
fadI,schmidt,1.5,Acetate_vs_Glucose
fadJ,schmidt,1.5,Acetate_vs_Glucose
lsrF,schmidt,1.5,Acetate_vs_Glucose
dadA,schmidt,1.5,Acetate_vs_Glucose
fadH,schmidt,1.5,Acetate_vs_Glucose
csiD,schmidt,1.5,Acetate_vs_Glucose
ucpA,schmidt,1.5,Acetate_vs_Glucose
gatD,schmidt,1.5,Acetate_vs_Glucose
frdA,schmidt,1.5,Acetate_vs_Glucose
cstA,schmidt,1.5,Acetate_vs_Glucose
actP,schmidt,1.5,Acetate_vs_Glucose
tdh,schmidt,1.5,Acetate_vs_Glucose
gatB,schmidt,1.5,Acetate_vs_Glucose
gatA,schmidt,1.5,Acetate_vs_Glucose
rihC,schmidt,1.5,Acetate_vs_Glucose
fucO,schmidt,1.5,Acetate_vs_Glucose
dadX,schmidt,1.5,Acetate_vs_Glucose
slp,schmidt,1.5,Acetate_vs_Glucose
fdoH,schmidt,1.5,Acetate_vs_Glucose
glcG,schmidt,1.5,Acetate_vs_Glucose
mhpR,schmidt,1.5,Acetate_vs_Glucose
rbsD,schmidt,1.5,Acetate_vs_Glucose
dctA,schmidt,1.5,Acetate_vs_Glucose
fucI,schmidt,1.5,Acetate_vs_Glucose
hdeB,schmidt,1.5,Acetate_vs_Glucose
glsA,schmidt,1.5,Acetate_vs_Glucose
aceK,schmidt,1.5,Acetate_vs_Glucose
hdeD,schmidt,1.5,Acetate_vs_Glucose
psuG,schmidt,1.5,Acetate_vs_Glucose
pspE,schmidt,1.5,Acetate_vs_Glucose
