gene,source,thresholds,comparison
plaP ,treitz,1.0,Acetate_over_Glucose
ptsG ,treitz,1.0,Acetate_over_Glucose
uidC ,treitz,1.0,Acetate_over_Glucose
yccF ,treitz,1.0,Acetate_over_Glucose
yihQ ,treitz,1.0,Acetate_over_Glucose
manX ,treitz,1.0,Acetate_over_Glucose
manZ ,treitz,1.0,Acetate_over_Glucose
frc ,treitz,1.0,Acetate_over_Glucose
yneF ,treitz,1.0,Acetate_over_Glucose
brnQ ,treitz,1.0,Acetate_over_Glucose
gpmI ,treitz,1.0,Acetate_over_Glucose
ygdQ ,treitz,1.0,Acetate_over_Glucose
guaC ,treitz,1.0,Acetate_over_Glucose
ppc ,treitz,1.0,Acetate_over_Glucose
yfdI ,treitz,1.0,Acetate_over_Glucose
ybdR ,treitz,1.0,Acetate_over_Glucose
ompX ,treitz,1.0,Acetate_over_Glucose
gsk ,treitz,1.0,Acetate_over_Glucose
waaA ,treitz,1.0,Acetate_over_Glucose
yigP ,treitz,1.0,Acetate_over_Glucose
proV ,treitz,1.0,Acetate_over_Glucose
yohF ,treitz,1.0,Acetate_over_Glucose
fruA ,treitz,1.0,Acetate_over_Glucose
marA ,treitz,1.0,Acetate_over_Glucose
yejG ,treitz,1.0,Acetate_over_Glucose
tatE ,treitz,1.0,Acetate_over_Glucose
yeiR ,treitz,1.0,Acetate_over_Glucose
carA ,treitz,1.0,Acetate_over_Glucose
yggW ,treitz,1.0,Acetate_over_Glucose
ddpD ,treitz,1.0,Acetate_over_Glucose
dcuS ,treitz,1.0,Acetate_over_Glucose
pykF ,treitz,1.0,Acetate_over_Glucose
glnA ,treitz,1.0,Acetate_over_Glucose
exbD ,treitz,1.0,Acetate_over_Glucose
gltD ,treitz,1.0,Acetate_over_Glucose
carB ,treitz,1.0,Acetate_over_Glucose
ptsI ,treitz,1.0,Acetate_over_Glucose
gltB ,treitz,1.0,Acetate_over_Glucose
thrB ,treitz,1.0,Acetate_over_Glucose
phoR ,treitz,1.0,Acetate_over_Glucose
yagE ,treitz,1.0,Acetate_over_Glucose
rhlE ,treitz,1.0,Acetate_over_Glucose
hisH ,treitz,1.0,Acetate_over_Glucose
livH ,treitz,1.0,Acetate_over_Glucose
pntA ,treitz,1.0,Acetate_over_Glucose
manB ,treitz,1.0,Acetate_over_Glucose
serA ,treitz,1.0,Acetate_over_Glucose
fimB ,treitz,1.0,Acetate_over_Glucose
