gene,ratio,log2FC_treitz,Acetate,Glucose,log2FC_schmidt,avg_exp,category
ptsg,0.2517366191270983,-1.990013,559.2065005947762,2775.1355964921654,-2.309047406526439,1667.1710485434708,Concordant
yccf,0.3001099382058851,-1.736437,83.21014572050844,267.70070353446346,-1.6739341325578625,175.45542462748594,Concordant
gpmi,0.3685782897561638,-1.439957,459.9443527906673,2655.6613680864302,-2.526949848260855,1557.8028604385488,Concordant
ppc,0.3856302151255433,-1.37471,1349.0020503807636,3632.671233648744,-1.4284662952534042,2490.836642014754,Concordant
yfdi,0.404781988143189,-1.304783,40.54543384469659,113.6589014690016,-1.4645865341571795,77.1021676568491,Concordant
ompx,0.4188019311933788,-1.25566,6151.689752526864,22442.546831721964,-1.867011536040728,14297.118292124414,Concordant
gsk,0.4203730247672676,-1.250258,17.49227491917793,45.66947289944802,-1.3355564571502612,31.580873909312977,Concordant
prov,0.429820143114118,-1.218195,2.4356660464923383,28.78308903331197,-3.115831679078922,15.609377539902155,Concordant
tate,0.435132897899093,-1.200472,8.777513907241879,44.65485386007391,-2.2232286623999222,26.716183883657894,Concordant
yeir,0.435150693320308,-1.200413,21.12374973067153,54.51581461169289,-1.3273028787746677,37.81978217118221,Concordant
cara,0.4354478938896542,-1.199428,2961.2826144967903,9256.16937630136,-1.6438618323545526,6108.725995399076,Concordant
glna,0.4462815284723788,-1.163974,4983.247260380103,17828.402351537818,-1.838810799079088,11405.82480595896,Concordant
exbd,0.4491875977464256,-1.15461,141.68285714056768,368.19045640214733,-1.3715532493739042,254.9366567713575,Concordant
gltd,0.4688385160138377,-1.092837,1293.0504395669204,2965.2446399090454,-1.1967437365588918,2129.1475397379827,Concordant
carb,0.4690306150482826,-1.092246,1514.3920736272366,4444.757141119931,-1.552738033353597,2979.5746073735836,Concordant
ptsi,0.4732964479747012,-1.079184,2651.260661083914,10158.241161920663,-1.9374981710261905,6404.750911502289,Concordant
gltb,0.475449494040446,-1.072636,1362.610997525608,2858.9306324572303,-1.068548014921502,2110.7708149914192,Concordant
rhle,0.4850629859238522,-1.043756,2.4400685822923514,24.54075191968935,-2.8922917662550693,13.49041025099085,Concordant
hish,0.4871280619801381,-1.037627,441.64595729627183,1575.2050191278836,-1.8322300498324111,1008.4254882120777,Concordant
pnta,0.4905258256914956,-1.027599,597.6727054647899,1938.49648103573,-1.6958427564253178,1268.0845932502598,Concordant
sera,0.4949507903820473,-1.014643,4662.439604350697,11353.30330041645,-1.2837728465896152,8007.871452383573,Concordant
