gene,ratio,log2FC_mrna,Acetate,Glucose,log2FC_protein,avg_exp,category
ptsg,0.2517366191270983,-1.990013,559.2065005947762,2775.1355964921654,-2.309047406526439,1667.1710485434708,concordant
yccf,0.3001099382058851,-1.736437,83.21014572050844,267.70070353446346,-1.6739341325578625,175.45542462748594,concordant
manx,0.3356314933923269,-1.57505,1954.3847549393372,2290.5380809743324,-0.2288637506865924,2122.461417956835,RNA specific
manz,0.3421728031343704,-1.547203,242.06982602157944,341.19815665665334,-0.4934611758473393,291.6339913391164,RNA specific
gpmi,0.3685782897561638,-1.439957,459.9443527906673,2655.6613680864302,-2.526949848260855,1557.8028604385488,concordant
guac,0.3823903444207788,-1.386882,650.0534944598375,1144.6804521517845,-0.815356716577682,897.3669733058109,RNA specific
ppc,0.3856302151255433,-1.37471,1349.0020503807636,3632.671233648744,-1.4284662952534042,2490.836642014754,concordant
yfdi,0.404781988143189,-1.304783,40.54543384469659,113.6589014690016,-1.4645865341571795,77.1021676568491,concordant
ybdr,0.4142607382989028,-1.271389,10.52689092,18.85772461,-0.7846968857885743,14.692307765,RNA specific
ompx,0.4188019311933788,-1.25566,6151.689752526864,22442.546831721964,-1.867011536040728,14297.118292124414,concordant
gsk,0.4203730247672676,-1.250258,17.49227491917793,45.66947289944802,-1.3355564571502612,31.580873909312977,concordant
waaa,0.4255849385851098,-1.232481,19.222380847695018,30.77494618308005,-0.6519368212605992,24.998663515387538,RNA specific
yigp,0.4281238165264209,-1.2239,38.8394009056194,40.77553010359608,-0.0684621825374147,39.807465504607734,RNA specific
prov,0.429820143114118,-1.218195,2.4356660464923383,28.78308903331197,-3.115831679078922,15.609377539902155,concordant
yohf,0.4301104235671574,-1.217221,76.33414291006876,71.61972277468819,0.0907440798607739,73.97693284237847,RNA specific
frua,0.432350421229496,-1.209727,120.4488687628874,172.3994355031072,-0.513750149880928,146.4241521329973,RNA specific
yejg,0.434322921950806,-1.20316,52.82849093,94.88227516,-0.8328941623612618,73.855383045,RNA specific
tate,0.435132897899093,-1.200472,8.777513907241879,44.65485386007391,-2.2232286623999222,26.716183883657894,concordant
yeir,0.435150693320308,-1.200413,21.12374973067153,54.51581461169289,-1.3273028787746677,37.81978217118221,concordant
cara,0.4354478938896542,-1.199428,2961.2826144967903,9256.16937630136,-1.6438618323545526,6108.725995399076,concordant
yggw,0.436488938904893,-1.195983,0.640683430493746,1.4519011280174792,-0.5796039060580481,1.0462922792556126,RNA specific
pykf,0.4446684648837826,-1.169198,4455.114049016437,8901.891897585605,-0.9984878809323324,6678.5029733010215,RNA specific
glna,0.4462815284723788,-1.163974,4983.247260380103,17828.402351537818,-1.838810799079088,11405.82480595896,concordant
exbd,0.4491875977464256,-1.15461,141.68285714056768,368.19045640214733,-1.3715532493739042,254.9366567713575,concordant
gltd,0.4688385160138377,-1.092837,1293.0504395669204,2965.2446399090454,-1.1967437365588918,2129.1475397379827,concordant
carb,0.4690306150482826,-1.092246,1514.3920736272366,4444.757141119931,-1.552738033353597,2979.5746073735836,concordant
ptsi,0.4732964479747012,-1.079184,2651.260661083914,10158.241161920663,-1.9374981710261905,6404.750911502289,concordant
gltb,0.475449494040446,-1.072636,1362.610997525608,2858.9306324572303,-1.068548014921502,2110.7708149914192,concordant
thrb,0.4768435804409329,-1.068412,380.35308200116134,594.0873920292678,-0.6419741927906397,487.2202370152146,RNA specific
yage,0.4820497657844891,-1.052746,96.86109146105596,41.86839830197653,1.1908208589356324,69.36474488151623,unchanged
rhle,0.4850629859238522,-1.043756,2.4400685822923514,24.54075191968935,-2.8922917662550693,13.49041025099085,concordant
hish,0.4871280619801381,-1.037627,441.64595729627183,1575.2050191278836,-1.8322300498324111,1008.4254882120777,concordant
pnta,0.4905258256914956,-1.027599,597.6727054647899,1938.49648103573,-1.6958427564253178,1268.0845932502598,concordant
sera,0.4949507903820473,-1.014643,4662.439604350697,11353.30330041645,-1.2837728465896152,8007.871452383573,concordant
lysa,0.5006076004670456,-0.9982479,369.3218109956767,725.5276665028726,-0.9722382143714992,547.4247387492746,unchanged
argg,0.5040501899769508,-0.9883607,2392.8382904336986,8324.927581156446,-1.7982853119504831,5358.882935795073,Protein specific
pyrd,0.5097113910072121,-0.9722475,614.5722704748844,1544.9171004298955,-1.3284628075026923,1079.74468545239,Protein specific
mete,0.5117171178537944,-0.9665816,17413.39929814274,51584.19460938904,-1.5666763506142765,34498.79695376589,Protein specific
coda,0.5133785416190745,-0.9619051,1421.578929520783,3065.3272735609708,-1.108002985766854,2243.453101540877,Protein specific
ndh,0.5146736759780667,-0.9582701,235.6461011024477,662.4789623823136,-1.4873195683498732,449.06253174238066,Protein specific
rpsc,0.5148479752261941,-0.9577816,7221.709763354494,15952.190710992572,-1.143232894901983,11586.950237173533,Protein specific
enta,0.5151272981630679,-0.9569991,52.2125231219542,141.63198585035553,-1.4224598317731427,96.92225448615488,Protein specific
fepa,0.5212080964402418,-0.9400686,130.6567984587243,373.8662102932119,-1.509593768967986,252.26150437596812,Protein specific
yead,0.5215372847680824,-0.9391577,1490.6642880396344,2161.7512433648876,-0.5359448569507332,1826.207765702261,unchanged
upp,0.5218664639688294,-0.9382474,11467.020793772715,23304.990439744783,-1.02308439912186,17386.00561675875,Protein specific
purt,0.5221473145479087,-0.9374712,732.8604448674835,2378.611052071421,-1.697148140935198,1555.735748469452,Protein specific
rpln,0.5243009263629486,-0.931533,3744.4343152446304,7097.951842204472,-0.9224730056627504,5421.193078724551,unchanged
yebo,0.5252866775199417,-0.9288231,33.91998721385923,440.69710347560914,-3.660932435794434,237.30854534473417,Protein specific
thrc,0.5282910961724915,-0.920595,5601.079419397736,14608.550523740056,-1.3828774515568083,10104.814971568896,Protein specific
epmb,0.5302330489473442,-0.9153015,16.110602538516165,52.98330772337252,-1.657622813606921,34.54695513094434,Protein specific
rplb,0.5317503931660337,-0.9111789,6847.208934327743,14190.92380395889,-1.0512715457879764,10519.066369143316,Protein specific
cysc,0.5334450602525673,-0.9065884,471.86473099947926,834.2847328537472,-0.8208405278031972,653.0747319266133,unchanged
rpmi,0.5336003433682358,-0.9061685,47.276869598253995,85.66876167429571,-0.8441799605948992,66.47281563627485,unchanged
fiu,0.5338789973451247,-0.9054153,98.30564732982997,202.0711523276925,-1.0320376406882374,150.18839982876122,Protein specific
trpc,0.5345127993518022,-0.9037036,333.77412225833706,803.8201803008503,-1.2654784670063162,568.7971512795937,Protein specific
rpsl,0.5351967276285855,-0.9018588,2053.5252076540264,2321.808756056463,-0.1770653460244879,2187.666981855245,unchanged
pyrh,0.5389925361106311,-0.8916628,441.15535086099607,709.5644057257201,-0.6844120734019619,575.3598782933581,unchanged
rplc,0.542982309296303,-0.8810229,8088.71599946079,16502.446028566203,-1.0286063393072895,12295.581014013496,Protein specific
ydjn,0.5445286264259388,-0.8769202,728.8669085004387,2229.571958506966,-1.6117083732531938,1479.2194335037025,Protein specific
hisg,0.5471583800520662,-0.8699696,1005.490586260381,4025.338592335302,-2.0001348211174665,2515.4145892978413,Protein specific
rnb,0.5478627040055171,-0.8681137,612.5497109871551,1260.4402467831396,-1.0398197251640493,936.4949788851474,Protein specific
purf,0.5506210615659489,-0.8608683,280.1079440063506,770.6546859808224,-1.4568311642670864,525.3813149935864,Protein specific
sped,0.5516958372672883,-0.858055,450.81650098137015,1780.208803765466,-1.9790477814644072,1115.512652373418,Protein specific
puru,0.5549301140240844,-0.849622,1139.257893858395,2304.368473938284,-1.015637201525852,1721.8131838983395,Protein specific
typa,0.5565869546022841,-0.845321,798.0870369711481,3013.027920224906,-1.915268225386157,1905.557478598027,Protein specific
arna,0.5577708716930098,-0.8422555,3.460404809119862,6.431658330592416,-0.7365095260317469,4.946031569856139,unchanged
dead,0.5585650846068638,-0.8402027,155.14724941111686,559.6774632497394,-1.8442639250198336,357.4123563304281,Protein specific
purd,0.5586240533773713,-0.8400504,801.5425392088208,2115.146549952321,-1.3987897719630542,1458.344544580571,Protein specific
purm,0.5605763557093831,-0.8350172,1192.5004215413055,2544.3730936882703,-1.092678062039548,1868.436757614788,Protein specific
acee,0.562155749302273,-0.8309582,2445.225832105002,5814.613174453896,-1.2493737140023953,4129.919503279449,Protein specific
argd,0.5624013255957885,-0.8303281,1548.9336310637227,3919.169667663857,-1.3387096566382477,2734.0516493637897,Protein specific
argc,0.5633335497388107,-0.8279387,833.1526075099507,1717.7084868500342,-1.042941614778634,1275.4305471799926,Protein specific
rplw,0.5642141683706482,-0.8256852,820.0837630489848,1877.1945330275712,-1.1937451856335954,1348.639148038278,Protein specific
rluc,0.5695327069206388,-0.8121494,59.19330743467638,152.12774013527113,-1.34706066494034,105.66052378497376,Protein specific
dapd,0.5699247299472975,-0.8111567,4576.723224427762,10995.94286047332,-1.2644003683799028,7786.333042450541,Protein specific
yida,0.5706428147362478,-0.8093401,164.95291958005214,510.52937884206705,-1.6240430904332115,337.74114921105956,Protein specific
rplo,0.5707286532541145,-0.8091231,3390.434649847498,6986.008750627745,-1.042779253589366,5188.221700237622,Protein specific
ybjx,0.5727527557258529,-0.8040156,1.4246076593722117,2.669574134313484,-0.5978613286020251,2.047090896842848,unchanged
hha,0.5731135058664365,-0.8031072,49.77752005195067,198.27361634378363,-1.9724888698999443,124.02556819786714,Protein specific
purb,0.5737790507760864,-0.8014328,713.5733941682131,1933.0574314696596,-1.4364765320793769,1323.3154128189362,Protein specific
yiaj,0.5739100327240533,-0.8011035,68.98551305654468,90.8439521427386,-0.3921284077690767,79.91473259964164,unchanged
argf,0.5742897827796533,-0.8001492,39.69894093303884,149.36880750050878,-1.885442167136043,94.5338742167738,Protein specific
adhe,0.5783244492849596,-0.790049,4510.32457317426,4851.082598113899,-0.1050530236139906,4680.70358564408,unchanged
amid,0.5799422698789106,-0.7860188,50.14438335411446,54.406072627662745,-0.1154682947414507,52.2752279908886,unchanged
asnb,0.5803553362640093,-0.7849916,971.9745946353448,1153.983472576103,-0.2473981669461338,1062.979033605724,unchanged
argh,0.5818970752905869,-0.7811641,1218.7147195708635,2883.0539393958857,-1.2415543933242308,2050.8843294833746,Protein specific
hisi,0.5820995470127056,-0.7806622,435.87714167865346,1903.2761206545545,-2.1239431569999727,1169.576631166604,Protein specific
mqo,0.5829090881393182,-0.7786572,46.730269991399915,146.36234980638207,-1.6263915693256834,96.546309898891,Protein specific
pata,0.5835370646788411,-0.7771038,35.103139976864355,34.18909873968211,0.0369957528512685,34.64611935827323,unchanged
thra,0.584755122554479,-0.7740955,2108.4874205567867,5703.25698215395,-1.4351464936146296,3905.872201355368,Protein specific
yifk,0.5848588940304229,-0.7738395,3.6656162482742713,6.720821342061192,-0.7266866807048924,5.1932187951677315,unchanged
rpsq,0.5862487310521809,-0.7704152,5657.923067534775,4180.218885682582,0.4366039542105095,4919.070976608678,unchanged
cysd,0.5867083786209428,-0.7692845,588.898928140124,1300.3292712088482,-1.141446355914633,944.6140996744862,Protein specific
malq,0.5869462912038248,-0.7686996,29.268082576829404,64.56170222668487,-1.1150560264934626,46.914892401757136,Protein specific
tdk,0.5883335442584271,-0.7652938,40.98289514251144,91.81955405707784,-1.1446271078490176,66.40122459979465,Protein specific
rpsn,0.589010884750055,-0.7636338,4660.336042015459,10078.640374680455,-1.1126287391486454,7369.488208347958,Protein specific
spec,0.5891537561796215,-0.7632839,34.10646525518368,85.66469694391233,-1.3037076843832356,59.885581099548006,Protein specific
serc,0.5892009248333311,-0.7631684,8002.202322962199,18150.11663009296,-1.1814090169432596,13076.15947652758,Protein specific
