gene,ratio,log2FC_treitz,dataset,Acetate,Glucose,log2FC_schmidt,avg_exp
plap,0.1907346683499914,-2.390361,Treitz,,,,
uidc,0.2857520988122496,-1.807164,Treitz,,,,
yihq,0.3251204028612238,-1.620954,Treitz,,,,
frc,0.342827560506515,-1.544445,Treitz,,,,
ynef,0.3436950550404003,-1.540799,Treitz,,,,
brnq,0.3531529370361267,-1.501635,Treitz,,,,
ygdq,0.3725809973822285,-1.424374,Treitz,,,,
mara,0.432668801187383,-1.208665,Treitz,,,,
ddpd,0.4381977555584775,-1.190346,Treitz,,,,
dcus,0.4426658547980349,-1.17571,Treitz,,,,
phor,0.4784450022296583,-1.063575,Treitz,,,,
livh,0.489395927087059,-1.030926,Treitz,,,,
manb,0.4939041513562184,-1.017697,Treitz,,,,
fimb,0.4994153258901457,-1.001688,Treitz,,,,
arad,0.5249187003787191,-0.9298341,Treitz,,,,
hypf,0.526387924974371,-0.9258017,Treitz,,,,
arnt,0.5342267048030949,-0.904476,Treitz,,,,
ascf,0.5495302863654865,-0.8637291,Treitz,,,,
ftsw,0.5748979932604537,-0.7986221,Treitz,,,,
inta,0.5799646206950153,-0.7859632,Treitz,,,,
kdpb,0.580201447531362,-0.7853742,Treitz,,,,
yjcd,0.5926594269068995,-0.7547248,Treitz,,,,
maly,0.6009299783825742,-0.7347312,Treitz,,,,
frvx,0.6044554843634714,-0.726292,Treitz,,,,
yegi,0.608445690627267,-0.7167996,Treitz,,,,
trpd,0.6102452645606243,-0.7125389,Treitz,,,,
frya,0.6205021868498947,-0.6884918,Treitz,,,,
galp,0.6222830262093344,-0.6843572,Treitz,,,,
yabp,0.6234754246516153,-0.6815954,Treitz,,,,
fdhf,0.6237631368667034,-0.6809298,Treitz,,,,
ygex,0.6240511548746633,-0.6802638,Treitz,,,,
yafd,0.6323368055436244,-0.6612349,Treitz,,,,
lysp,0.6324787438124736,-0.6609111,Treitz,,,,
ychm,0.636283360872466,-0.6522587,Treitz,,,,
yagm,0.6491352022591649,-0.6234091,Treitz,,,,
yfjl,0.6528877600304244,-0.6150931,Treitz,,,,
rnfc,0.6541012152862865,-0.6124142,Treitz,,,,
ybht,0.6566883652924441,-0.6067192,Treitz,,,,
ylie,0.6681454475248039,-0.5817659,Treitz,,,,
engd,0.678839208592678,-0.5588582,Treitz,,,,
gsp,0.6964667094878432,-0.5218737,Treitz,,,,
tyrp,0.6970202619148423,-0.5207275,Treitz,,,,
ybhj,0.7089397849817652,-0.496265,Treitz,,,,
ydba,0.7129535049880034,-0.4881201,Treitz,,,,
yjhb,0.714679791556823,-0.4846311,Treitz,,,,
xapb,0.7165006905284969,-0.48096,Treitz,,,,
ypjf,0.7220110889937855,-0.4699071,Treitz,,,,
ygcq,0.725253521187617,-0.4634427,Treitz,,,,
rhsd,0.7275720361804654,-0.458838,Treitz,,,,
hole,0.7322534040825835,-0.4495851,Treitz,,,,
yeax,0.7371803394424522,-0.4399105,Treitz,,,,
yqha,0.7450846260422845,-0.4245238,Treitz,,,,
panf,0.760316602685701,-0.3953278,Treitz,,,,
yfjn,0.7697346513147565,-0.3775669,Treitz,,,,
insh6,0.7736450973425792,-0.3702562,Treitz,,,,
yadl,0.7755033938064075,-0.366795,Treitz,,,,
hlye,0.7803485141299649,-0.3578095,Treitz,,,,
yeer,0.7806286405389088,-0.3572917,Treitz,,,,
ynej,0.8018681271723003,-0.3185631,Treitz,,,,
ispu,0.8085804906841284,-0.3065367,Treitz,,,,
yhjh,0.8107087391484036,-0.3027444,Treitz,,,,
yqhg,0.8135242182319117,-0.2977428,Treitz,,,,
arpb,0.8158477766460672,-0.2936281,Treitz,,,,
mrdb,0.8170181878257162,-0.2915599,Treitz,,,,
phnd,0.8219830786533943,-0.2828194,Treitz,,,,
yejf,0.8225124377138874,-0.2818906,Treitz,,,,
yegu,0.830783345356758,-0.2674558,Treitz,,,,
kefa,0.8308489954357362,-0.2673418,Treitz,,,,
yafs,0.8328676142205447,-0.2638409,Treitz,,,,
rfaz,0.8376932769033025,-0.255506,Treitz,,,,
xanp,0.844835404460526,-0.2432578,Treitz,,,,
yedi,0.8458834497055449,-0.2414692,Treitz,,,,
yfas,0.8473828290229968,-0.2389142,Treitz,,,,
rnfe,0.8478929881023087,-0.2380459,Treitz,,,,
yehh,0.8510472279181235,-0.2326889,Treitz,,,,
sgbu,0.8536375829789018,-0.2283044,Treitz,,,,
lpxh,0.8550965910305404,-0.2258407,Treitz,,,,
spef,0.8552382599268971,-0.2256017,Treitz,,,,
wcal,0.8594157965370864,-0.2185718,Treitz,,,,
yggm,0.8623645032256293,-0.2136303,Treitz,,,,
yihg,0.8625593304964964,-0.2133044,Treitz,,,,
biod1,0.8647079149943372,-0.2097152,Treitz,,,,
flhc,0.8655834379177735,-0.2082552,Treitz,,,,
ydji,0.8662566334550024,-0.2071336,Treitz,,,,
ves,0.8766052959843893,-0.1900007,Treitz,,,,
rmla1,0.8992126896099765,-0.1532657,Treitz,,,,
yfad,0.906999399061794,-0.1408265,Treitz,,,,
yejo,0.9081324920041152,-0.1390253,Treitz,,,,
nuoj,0.920490986624266,-0.1195245,Treitz,,,,
yggg,0.9224906539810231,-0.1163938,Treitz,,,,
ubia,0.9226402908162168,-0.1161598,Treitz,,,,
yjch,0.9228647276131214,-0.1158089,Treitz,,,,
ycgr,0.924449168947073,-0.1133341,Treitz,,,,
chbc,0.9245348451140716,-0.1132004,Treitz,,,,
arpa,0.9251950805469048,-0.1121705,Treitz,,,,
cysz,0.9289334185303736,-0.1063529,Treitz,,,,
mcrb,0.9334748444986096,-0.09931695,Treitz,,,,
yjdj,0.93544476850213,-0.09627562,Treitz,,,,
xdhd,0.9374523783536828,-0.09318269,Treitz,,,,
hybo,0.9392002906338034,-0.09049524,Treitz,,,,
yjgj,0.9411131215146132,-0.08755995,Treitz,,,,
ptsa,0.9430819461998954,-0.08454496,Treitz,,,,
yeis,0.9469760736146476,-0.07860012,Treitz,,,,
coabc,0.949285702807756,-0.07508574,Treitz,,,,
yjee,0.9515898442925887,-0.07158822,Treitz,,,,
araa,0.9523609753568966,-0.07041959,Treitz,,,,
frld,0.9553144487003462,-0.06595241,Treitz,,,,
gcp,0.9572061159898804,-0.06309848,Treitz,,,,
ynib,0.9672158086443874,-0.04809027,Treitz,,,,
tmca,0.9681832900893208,-0.0466479,Treitz,,,,
abgr,0.9705746738099928,-0.04308888,Treitz,,,,
ydaw,0.9740734176395088,-0.03789758,Treitz,,,,
yjda,0.9763831817836898,-0.03448065,Treitz,,,,
dsbd,0.979814855245545,-0.02941893,Treitz,,,,
yfdx,0.98412687710736,-0.02308377,Treitz,,,,
yhih,0.9860537120850572,-0.02026186,Treitz,,,,
cher,0.987904705842125,-0.01755621,Treitz,,,,
ydbh,0.9950035789228214,-0.00722638,Treitz,,,,
euta,0.9963721362538313,-0.005243418,Treitz,,,,
rnfg,0.9983900469405405,-0.002324543,Treitz,,,,
yjgl,0.9985221429904404,-0.002133674,Treitz,,,,
kup,1.0001168811487722,0.000168614,Treitz,,,,
yaha,1.009859172912188,0.01415412,Treitz,,,,
pgsa,1.0107931972984645,0.01548786,Treitz,,,,
adrb,1.0113141857172707,0.01623127,Treitz,,,,
higa,1.0213595367669044,0.03049081,Treitz,,,,
yjin,1.0251687663097673,0.03586143,Treitz,,,,
phoe,1.0272622680839252,0.03880456,Treitz,,,,
rtcb,1.0293840188199317,0.04178129,Treitz,,,,
yhfk,1.0329882471522165,0.04682384,Treitz,,,,
bett,1.0412097020283158,0.05826066,Treitz,,,,
pbpc,1.0423111902909712,0.05978607,Treitz,,,,
yfhl,1.0443364539792972,0.06258658,Treitz,,,,
yfgc,1.0457290605056404,0.06450911,Treitz,,,,
ygfk,1.0483176041221076,0.06807587,Treitz,,,,
ycfq,1.0499505119922152,0.07032133,Treitz,,,,
ybhh,1.0517220074789562,0.07275342,Treitz,,,,
glsa2,1.0548167822989212,0.07699243,Treitz,,,,
nupg,1.0549123689904751,0.07712316,Treitz,,,,
rlue,1.05945432364327,0.08332139,Treitz,,,,
rfab,1.0642808871005636,0.08987896,Treitz,,,,
ybck,1.066543604547806,0.09294295,Treitz,,,,
flgd,1.0716210978143412,0.09979489,Treitz,,,,
flhe,1.0730338587989667,0.1016956,Treitz,,,,
csrd,1.074514536273792,0.103685,Treitz,,,,
tap,1.0795713531907116,0.1104586,Treitz,,,,
flgc,1.0825829711569517,0.1144776,Treitz,,,,
oxc,1.089085032678463,0.1231166,Treitz,,,,
frwc,1.0912951170896954,0.1260413,Treitz,,,,
flit,1.0913894477546495,0.126166,Treitz,,,,
ycjv,1.0941341989495943,0.1297897,Treitz,,,,
ygdk,1.1056790735094388,0.1449327,Treitz,,,,
rhsb,1.1082690030222044,0.1483081,Treitz,,,,
insj,1.1151143038792344,0.1571916,Treitz,,,,
yjgb,1.1169446538029189,0.1595577,Treitz,,,,
aes,1.1185776425401086,0.1616654,Treitz,,,,
flil,1.1223703480871698,0.1665488,Treitz,,,,
yjil,1.1264753154345346,0.1718157,Treitz,,,,
flha,1.126884926405783,0.1723402,Treitz,,,,
gltj,1.1352675189731418,0.1830323,Treitz,,,,
rimn,1.135950445229387,0.1838999,Treitz,,,,
flis,1.143503990223318,0.1934614,Treitz,,,,
frlc,1.1441304873927771,0.1942516,Treitz,,,,
ygad,1.1445122464292865,0.1947329,Treitz,,,,
yejh,1.1488263141996018,0.2001607,Treitz,,,,
yciq,1.1611160722379272,0.2155122,Treitz,,,,
phnk,1.1661340989487,0.2217337,Treitz,,,,
fliz,1.166302157160263,0.2219416,Treitz,,,,
yjep,1.1679431076664382,0.22397,Treitz,,,,
flgi,1.1695363480961325,0.2259367,Treitz,,,,
sapb,1.1712825978938202,0.2280892,Treitz,,,,
yohd,1.1733787743875017,0.2306688,Treitz,,,,
yhjb,1.174081290043157,0.2315323,Treitz,,,,
fabr,1.1782356413845785,0.2366281,Treitz,,,,
eute,1.180286746631536,0.2391374,Treitz,,,,
yfjk,1.180351379283141,0.2392164,Treitz,,,,
tfae,1.1849081247810351,0.2447752,Treitz,,,,
ydik,1.19216349283386,0.2535821,Treitz,,,,
fimd,1.1925035822037249,0.2539936,Treitz,,,,
scpc,1.1968659680330311,0.2592616,Treitz,,,,
yahf,1.1995386973477724,0.2624797,Treitz,,,,
rece,1.2019608452726658,0.2653899,Treitz,,,,
ynfh,1.2304164529075372,0.2991467,Treitz,,,,
chbf,1.2317846029443336,0.30075,Treitz,,,,
fima,1.2344898716810817,0.303915,Treitz,,,,
yidj,1.236801179302119,0.3066136,Treitz,,,,
gspo,1.238747975842882,0.3088827,Treitz,,,,
yhdh,1.2422382535429914,0.3129419,Treitz,,,,
ybbl,1.2493781462107818,0.3212102,Treitz,,,,
polb,1.2539484152681952,0.326478,Treitz,,,,
flio,1.256948726074812,0.3299258,Treitz,,,,
ydbd,1.259902943382647,0.3333126,Treitz,,,,
flgf,1.2605960087088288,0.334106,Treitz,,,,
flih,1.2617023480616154,0.3353716,Treitz,,,,
cada,1.267850026746659,0.3423841,Treitz,,,,
flii,1.2742929676217725,0.349697,Treitz,,,,
stfr,1.2744828853770325,0.349912,Treitz,,,,
seta,1.2893484421926216,0.3666422,Treitz,,,,
cptb,1.2947073192457434,0.372626,Treitz,,,,
flhd,1.2984387853177946,0.376778,Treitz,,,,
envz,1.2995224883593286,0.3779816,Treitz,,,,
ycbf,1.3096818567657476,0.3892164,Treitz,,,,
acre,1.3098793186473043,0.3894339,Treitz,,,,
motb,1.3161844660321649,0.3963617,Treitz,,,,
flgl,1.3180082492286485,0.3983594,Treitz,,,,
ulad,1.3234068021835432,0.4042566,Treitz,,,,
alld,1.3316411887339978,0.4132054,Treitz,,,,
