gene,source,thresholds,comparison
yfeK ,treitz,1.0,Acetate_over_Glucose
yjhG ,treitz,1.0,Acetate_over_Glucose
sthA ,treitz,1.0,Acetate_over_Glucose
cusC ,treitz,1.0,Acetate_over_Glucose
ybjI ,treitz,1.0,Acetate_over_Glucose
yoaE ,treitz,1.0,Acetate_over_Glucose
yihX ,treitz,1.0,Acetate_over_Glucose
hchA ,treitz,1.0,Acetate_over_Glucose
hdeB ,treitz,1.0,Acetate_over_Glucose
trg ,treitz,1.0,Acetate_over_Glucose
phoA ,treitz,1.0,Acetate_over_Glucose
cydB ,treitz,1.0,Acetate_over_Glucose
visC ,treitz,1.0,Acetate_over_Glucose
rbsD ,treitz,1.0,Acetate_over_Glucose
atoE ,treitz,1.0,Acetate_over_Glucose
uxuB ,treitz,1.0,Acetate_over_Glucose
yedF ,treitz,1.0,Acetate_over_Glucose
fumA ,treitz,1.0,Acetate_over_Glucose
cpxP ,treitz,1.0,Acetate_over_Glucose
mdtC ,treitz,1.0,Acetate_over_Glucose
yegP ,treitz,1.0,Acetate_over_Glucose
yidQ ,treitz,1.0,Acetate_over_Glucose
ompW ,treitz,1.0,Acetate_over_Glucose
gltI ,treitz,1.0,Acetate_over_Glucose
gatY ,treitz,1.0,Acetate_over_Glucose
yiaN ,treitz,1.0,Acetate_over_Glucose
gatA ,treitz,1.0,Acetate_over_Glucose
eutM ,treitz,1.0,Acetate_over_Glucose
ulaA ,treitz,1.0,Acetate_over_Glucose
rbsA ,treitz,1.0,Acetate_over_Glucose
yjgX ,treitz,1.0,Acetate_over_Glucose
gatD ,treitz,1.0,Acetate_over_Glucose
mglA ,treitz,1.0,Acetate_over_Glucose
csiE ,treitz,1.0,Acetate_over_Glucose
cpdB ,treitz,1.0,Acetate_over_Glucose
mtfA ,treitz,1.0,Acetate_over_Glucose
ygiS ,treitz,1.0,Acetate_over_Glucose
dtpA ,treitz,1.0,Acetate_over_Glucose
bfr ,treitz,1.0,Acetate_over_Glucose
yegE ,treitz,1.0,Acetate_over_Glucose
eutC ,treitz,1.0,Acetate_over_Glucose
gltA ,treitz,1.0,Acetate_over_Glucose
msyB ,treitz,1.0,Acetate_over_Glucose
fadJ ,treitz,1.0,Acetate_over_Glucose
ydcS ,treitz,1.0,Acetate_over_Glucose
sseA ,treitz,1.0,Acetate_over_Glucose
yhaM ,treitz,1.0,Acetate_over_Glucose
cspD ,treitz,1.0,Acetate_over_Glucose
ydeI ,treitz,1.0,Acetate_over_Glucose
ugpB ,treitz,1.0,Acetate_over_Glucose
rtn ,treitz,1.0,Acetate_over_Glucose
sra ,treitz,1.0,Acetate_over_Glucose
ilvN ,treitz,1.0,Acetate_over_Glucose
glpK ,treitz,1.0,Acetate_over_Glucose
yedE ,treitz,1.0,Acetate_over_Glucose
msrB ,treitz,1.0,Acetate_over_Glucose
yfeR ,treitz,1.0,Acetate_over_Glucose
yihM ,treitz,1.0,Acetate_over_Glucose
mhpC ,treitz,1.0,Acetate_over_Glucose
raiA ,treitz,1.0,Acetate_over_Glucose
