gene,source,thresholds,comparison
yadC,bie,5,KANvsH2O
htrE,bie,5,KANvsH2O
yadV,bie,5,KANvsH2O
rrsH,bie,5,KANvsH2O
--,bie,5,KANvsH2O
thrW,bie,5,KANvsH2O
ykfI,bie,5,KANvsH2O
yafW,bie,5,KANvsH2O
insA,bie,5,KANvsH2O
ecpR,bie,5,KANvsH2O
rclR,bie,5,KANvsH2O
yahA,bie,5,KANvsH2O
yahC,bie,5,KANvsH2O
yahM,bie,5,KANvsH2O
insC1,bie,5,KANvsH2O
sfmC,bie,5,KANvsH2O
sfmD,bie,5,KANvsH2O
sfmH,bie,5,KANvsH2O
ybcN,bie,5,KANvsH2O
ninE,bie,5,KANvsH2O
ybcO,bie,5,KANvsH2O
rusA,bie,5,KANvsH2O
rzpD,bie,5,KANvsH2O
ybcV,bie,5,KANvsH2O
nohD,bie,5,KANvsH2O
fepE,bie,5,KANvsH2O
citE,bie,5,KANvsH2O
citD,bie,5,KANvsH2O
citC,bie,5,KANvsH2O
ybeR,bie,5,KANvsH2O
djlB,bie,5,KANvsH2O
ybeT,bie,5,KANvsH2O
glnX,bie,5,KANvsH2O
ybgO,bie,5,KANvsH2O
ybgQ,bie,5,KANvsH2O
ybhH,bie,5,KANvsH2O
ybhI,bie,5,KANvsH2O
gfcC,bie,5,KANvsH2O
gfcB,bie,5,KANvsH2O
gfcA,bie,5,KANvsH2O
insE1,bie,5,KANvsH2O
ycdU,bie,5,KANvsH2O
ymfR,bie,5,KANvsH2O
tfaP,bie,5,KANvsH2O
pinE,bie,5,KANvsH2O
ymgG,bie,5,KANvsH2O
pspA,bie,5,KANvsH2O
pspB,bie,5,KANvsH2O
pspC,bie,5,KANvsH2O
ycjM,bie,5,KANvsH2O
ycjN,bie,5,KANvsH2O
ompG,bie,5,KANvsH2O
insH1,bie,5,KANvsH2O
ydaQ,bie,5,KANvsH2O
ralR,bie,5,KANvsH2O
kilR,bie,5,KANvsH2O
sieB,bie,5,KANvsH2O
ynaK,bie,5,KANvsH2O
pinR,bie,5,KANvsH2O
ynbE,bie,5,KANvsH2O
ynbA,bie,5,KANvsH2O
ynbB,bie,5,KANvsH2O
ydcC,bie,5,KANvsH2O
yddA,bie,5,KANvsH2O
safA,bie,5,KANvsH2O
ydeQ,bie,5,KANvsH2O
ydeR,bie,5,KANvsH2O
ydeS,bie,5,KANvsH2O
marR,bie,5,KANvsH2O
marB,bie,5,KANvsH2O
rzpQ,bie,5,KANvsH2O
ydfU,bie,5,KANvsH2O
ydfB,bie,5,KANvsH2O
dicB,bie,5,KANvsH2O
ydfD,bie,5,KANvsH2O
mdtI,bie,5,KANvsH2O
valV,bie,5,KANvsH2O
valW,bie,5,KANvsH2O
ydiN,bie,5,KANvsH2O
yeaR,bie,5,KANvsH2O
torY,bie,5,KANvsH2O
fliQ,bie,5,KANvsH2O
rcsA,bie,5,KANvsH2O
hisL,bie,5,KANvsH2O
wcaF,bie,5,KANvsH2O
yehA,bie,5,KANvsH2O
yehL,bie,5,KANvsH2O
yfcV,bie,5,KANvsH2O
argW,bie,5,KANvsH2O
yfdN,bie,5,KANvsH2O
yfdR,bie,5,KANvsH2O
yfdS,bie,5,KANvsH2O
emrY,bie,5,KANvsH2O
yfdV,bie,5,KANvsH2O
yfdX,bie,5,KANvsH2O
ypdI,bie,5,KANvsH2O
alaX,bie,5,KANvsH2O
yfhR,bie,5,KANvsH2O
gltW,bie,5,KANvsH2O
rrsG,bie,5,KANvsH2O
yfjY,bie,5,KANvsH2O
yfjZ,bie,5,KANvsH2O
ygaV,bie,5,KANvsH2O
stpA,bie,5,KANvsH2O
proW,bie,5,KANvsH2O
metV,bie,5,KANvsH2O
yqeK,bie,5,KANvsH2O
yghT,bie,5,KANvsH2O
yqiH,bie,5,KANvsH2O
agaB,bie,5,KANvsH2O
agaC,bie,5,KANvsH2O
yraI,bie,5,KANvsH2O
acrS,bie,5,KANvsH2O
acrE,bie,5,KANvsH2O
rrsD,bie,5,KANvsH2O
gspA,bie,5,KANvsH2O
gspJ,bie,5,KANvsH2O
insJ,bie,5,KANvsH2O
insK,bie,5,KANvsH2O
yiaM,bie,5,KANvsH2O
setC,bie,5,KANvsH2O
ibpB,bie,5,KANvsH2O
bglH,bie,5,KANvsH2O
trpT,bie,5,KANvsH2O
ilvM,bie,5,KANvsH2O
proM,bie,5,KANvsH2O
yjaA,bie,5,KANvsH2O
yjbF,bie,5,KANvsH2O
yjbG,bie,5,KANvsH2O
phnG,bie,5,KANvsH2O
yjeJ,bie,5,KANvsH2O
yjfI,bie,5,KANvsH2O
yjfK,bie,5,KANvsH2O
yjfL,bie,5,KANvsH2O
yjfM,bie,5,KANvsH2O
leuX,bie,5,KANvsH2O
insD1,bie,5,KANvsH2O
yjhF,bie,5,KANvsH2O
yjjQ,bie,5,KANvsH2O
leuQ,bie,5,KANvsH2O
rybB,bie,5,KANvsH2O
ldrC,bie,5,KANvsH2O
micC,bie,5,KANvsH2O
isrC,bie,5,KANvsH2O
