gene,regulator,polarity,source,is_global_regulator,is_sigma_factor,deg_source
acca,accd,-,ecocyc_28,no,no,houser_down
acca,rpod,+,ecocyc_28,no,yes,houser_down
acca,fadr,+,ecocyc_28_AND_regdb_13,no,no,houser_down
acca,acca,-,ecocyc_28,no,no,houser_down
accb,accb,-,ecocyc_28,no,no,houser_down
accb,fadr,+,ecocyc_28_AND_regdb_13,no,no,houser_down
accb,rpod,+,ecocyc_28,no,yes,houser_down
accc,accb,-,ecocyc_28,no,no,gummesson_down-houser_down-rajacharya_downregulated
accc,fadr,+,ecocyc_28_AND_regdb_13,no,no,gummesson_down-houser_down-rajacharya_downregulated
accc,rpod,+,ecocyc_28,no,yes,gummesson_down-houser_down-rajacharya_downregulated
accd,accd,-,ecocyc_28,no,no,houser_down-lu_down
accd,rpod,+,ecocyc_28,no,yes,houser_down-lu_down
accd,fadr,+,ecocyc_28_AND_regdb_13,no,no,houser_down-lu_down
accd,acca,-,ecocyc_28,no,no,houser_down-lu_down
aceb,rpod,+,ecocyc_28,no,yes,rajacharya_downregulated
aceb,flhd,+,ecocyc_28,yes,no,rajacharya_downregulated
aceb,ihfa,+,ecocyc_28,yes,no,rajacharya_downregulated
aceb,flhc,+,ecocyc_28,yes,no,rajacharya_downregulated
aceb,crp,-,ecocyc_28,yes,no,rajacharya_downregulated
aceb,arca,-,ecocyc_28,yes,no,rajacharya_downregulated
aceb,nac,-,ecocyc_28_AND_regdb_13,yes,no,rajacharya_downregulated
aceb,cra,+,ecocyc_28_AND_regdb_13,yes,no,rajacharya_downregulated
aceb,iclr,-,ecocyc_28_AND_regdb_13,no,no,rajacharya_downregulated
aceb,lrp,+,ecocyc_28_AND_regdb_13,yes,no,rajacharya_downregulated
aceb,ihfb,+,ecocyc_28,yes,no,rajacharya_downregulated
aceb,flhdc,+,regdb_13,no,no,rajacharya_downregulated
aceb,ihf,+,regdb_13,no,no,rajacharya_downregulated
acee,rpod,+,ecocyc_28,no,yes,houser_down
acee,rpos,+,ecocyc_28,no,yes,houser_down
acee,crp,+,ecocyc_28,yes,no,houser_down
acee,btsr,-,ecocyc_28_AND_regdb_13,no,no,houser_down
acee,arca,-,ecocyc_28,yes,no,houser_down
acee,cra,-,ecocyc_28_AND_regdb_13,yes,no,houser_down
acee,fnr,±,ecocyc_28_AND_regdb_13,yes,no,houser_down
acee,pdhr,-,ecocyc_28_AND_regdb_13,yes,no,houser_down
acee,nsrr,-,ecocyc_28,yes,no,houser_down
acef,rpod,+,ecocyc_28,no,yes,houser_down
acef,rpos,+,ecocyc_28,no,yes,houser_down
acef,crp,+,ecocyc_28,yes,no,houser_down
acef,btsr,-,ecocyc_28_AND_regdb_13,no,no,houser_down
acef,arca,-,ecocyc_28,yes,no,houser_down
acef,cra,-,ecocyc_28_AND_regdb_13,yes,no,houser_down
acef,fnr,±,ecocyc_28_AND_regdb_13,yes,no,houser_down
acef,pdhr,-,ecocyc_28_AND_regdb_13,yes,no,houser_down
acef,nsrr,-,ecocyc_28,yes,no,houser_down
acek,rpod,+,ecocyc_28,no,yes,bie_down
acek,ihfa,+,ecocyc_28,yes,no,bie_down
acek,crp,-,ecocyc_28,yes,no,bie_down
acek,arca,-,ecocyc_28,yes,no,bie_down
acek,cra,+,ecocyc_28_AND_regdb_13,yes,no,bie_down
acek,iclr,-,ecocyc_28_AND_regdb_13,no,no,bie_down
acek,ihfb,+,ecocyc_28,yes,no,bie_down
acek,ihf,+,regdb_13,no,no,bie_down
acka,rpoh,+,ecocyc_28,no,yes,houser_down
acka,sdhx,-,ecocyc_28_AND_regdb_13,no,no,houser_down
acka,nac,+,ecocyc_28_AND_regdb_13,yes,no,houser_down
acka,arca,+,ecocyc_28,yes,no,houser_down
acka,creb,+,ecocyc_28,no,no,houser_down
acka,fnr,+,ecocyc_28,yes,no,houser_down
acnb,rpod,+,ecocyc_28,no,yes,houser_down-lu_down
acnb,crp,+,ecocyc_28,yes,no,houser_down-lu_down
acnb,acnb,+,ecocyc_28,no,no,houser_down-lu_down
acnb,cra,±,ecocyc_28,yes,no,houser_down-lu_down
acnb,arca,-,ecocyc_28_AND_regdb_13,yes,no,houser_down-lu_down
