gene,regulator,polarity,source,is_global_regulator,is_sigma_factor,deg_source
aaea,aaer,+,ecocyc_28,no,no,houser_up
aaea,crp,+,ecocyc_28_AND_regdb_13,yes,no,houser_up
aaeb,aaer,+,ecocyc_28,no,no,houser_up
aaeb,crp,+,ecocyc_28_AND_regdb_13,yes,no,houser_up
aaer,crp,-,ecocyc_28_AND_regdb_13,yes,no,houser_up
abga,nac,-,ecocyc_28_AND_regdb_13,yes,no,ceroni_up
acea,rpod,+,ecocyc_28,no,yes,mori_up-schmidt_up
acea,ihfa,+,ecocyc_28,yes,no,mori_up-schmidt_up
acea,crp,-,ecocyc_28,yes,no,mori_up-schmidt_up
acea,arca,-,ecocyc_28,yes,no,mori_up-schmidt_up
acea,cra,+,ecocyc_28_AND_regdb_13,yes,no,mori_up-schmidt_up
acea,iclr,-,ecocyc_28_AND_regdb_13,no,no,mori_up-schmidt_up
acea,ihfb,+,ecocyc_28,yes,no,mori_up-schmidt_up
acea,ihf,+,regdb_13,no,no,mori_up-schmidt_up
aceb,rpod,+,ecocyc_28,no,yes,mori_up
aceb,flhd,+,ecocyc_28,yes,no,mori_up
aceb,ihfa,+,ecocyc_28,yes,no,mori_up
aceb,flhc,+,ecocyc_28,yes,no,mori_up
aceb,crp,-,ecocyc_28,yes,no,mori_up
aceb,arca,-,ecocyc_28,yes,no,mori_up
aceb,nac,-,ecocyc_28_AND_regdb_13,yes,no,mori_up
aceb,cra,+,ecocyc_28_AND_regdb_13,yes,no,mori_up
aceb,iclr,-,ecocyc_28_AND_regdb_13,no,no,mori_up
aceb,lrp,+,ecocyc_28_AND_regdb_13,yes,no,mori_up
aceb,ihfb,+,ecocyc_28,yes,no,mori_up
aceb,flhdc,+,regdb_13,no,no,mori_up
aceb,ihf,+,regdb_13,no,no,mori_up
acek,rpod,+,ecocyc_28,no,yes,schmidt_up
acek,ihfa,+,ecocyc_28,yes,no,schmidt_up
acek,crp,-,ecocyc_28,yes,no,schmidt_up
acek,arca,-,ecocyc_28,yes,no,schmidt_up
acek,cra,+,ecocyc_28_AND_regdb_13,yes,no,schmidt_up
acek,iclr,-,ecocyc_28_AND_regdb_13,no,no,schmidt_up
acek,ihfb,+,ecocyc_28,yes,no,schmidt_up
acek,ihf,+,regdb_13,no,no,schmidt_up
acna,soxs,+,ecocyc_28_AND_regdb_13,yes,no,mori_up
acna,rob,+,ecocyc_28,yes,no,mori_up
acna,rpod,+,ecocyc_28,no,yes,mori_up
acna,rpos,+,ecocyc_28,no,yes,mori_up
acna,crp,+,ecocyc_28,yes,no,mori_up
acna,csra,-,ecocyc_28,no,no,mori_up
acna,fur,+,ecocyc_28,yes,no,mori_up
acna,arca,-,ecocyc_28,yes,no,mori_up
acna,cra,+,ecocyc_28,yes,no,mori_up
acna,mara,+,ecocyc_28_AND_regdb_13,yes,no,mori_up
acna,fnr,-,ecocyc_28,yes,no,mori_up
acre,rpod,+,ecocyc_28,no,yes,bie_up-lu_up
acre,nac,-,ecocyc_28_AND_regdb_13,yes,no,bie_up-lu_up
acre,hns,-,ecocyc_28,yes,no,bie_up-lu_up
acre,fnr,+,ecocyc_28,yes,no,bie_up-lu_up
acre,zrar,+,ecocyc_28_AND_regdb_13,no,no,bie_up-lu_up
acrf,fnr,+,ecocyc_28,yes,no,houser_up
acrf,hns,-,ecocyc_28,yes,no,houser_up
acrf,rpod,+,ecocyc_28,no,yes,houser_up
acs,rpod,+,ecocyc_28,no,yes,mori_up-schmidt_up-wu_up
acs,rpos,+,ecocyc_28,no,yes,mori_up-schmidt_up-wu_up
acs,ihfb,-,ecocyc_28,yes,no,mori_up-schmidt_up-wu_up
acs,crp,+,ecocyc_28_AND_regdb_13,yes,no,mori_up-schmidt_up-wu_up
acs,ihfa,-,ecocyc_28,yes,no,mori_up-schmidt_up-wu_up
acs,rob,-,ecocyc_28,yes,no,mori_up-schmidt_up-wu_up
acs,gcvb,-,ecocyc_28,yes,no,mori_up-schmidt_up-wu_up
acs,fis,-,ecocyc_28_AND_regdb_13,yes,no,mori_up-schmidt_up-wu_up
acs,cpxr,-,ecocyc_28_AND_regdb_13,yes,no,mori_up-schmidt_up-wu_up
acs,ihf,-,regdb_13,no,no,mori_up-schmidt_up-wu_up
actp,rpon,+,ecocyc_28,no,yes,mori_up-schmidt_up
actp,rpod,+,ecocyc_28,no,yes,mori_up-schmidt_up
actp,rpos,+,ecocyc_28,no,yes,mori_up-schmidt_up
actp,ihfb,-,ecocyc_28,yes,no,mori_up-schmidt_up
actp,crp,+,ecocyc_28_AND_regdb_13,yes,no,mori_up-schmidt_up
actp,ihfa,-,ecocyc_28,yes,no,mori_up-schmidt_up
actp,fur,-,ecocyc_28,yes,no,mori_up-schmidt_up
actp,rob,-,ecocyc_28,yes,no,mori_up-schmidt_up
actp,fis,-,ecocyc_28_AND_regdb_13,yes,no,mori_up-schmidt_up
actp,ihf,-,regdb_13,no,no,mori_up-schmidt_up
add,rbsr,+,ecocyc_28_AND_regdb_13,no,no,gummesson_up-sanchez_vasquez_up
add,rpod,+,ecocyc_28,no,yes,gummesson_up-sanchez_vasquez_up
adia,torr,+,ecocyc_28,no,no,houser_up-lu_up
adia,rpod,+,ecocyc_28,no,yes,houser_up-lu_up
adia,ihfa,+,ecocyc_28,yes,no,houser_up-lu_up
adia,ydeo,-,ecocyc_28,no,no,houser_up-lu_up
adia,adiy,+,ecocyc_28_AND_regdb_13,no,no,houser_up-lu_up
adia,hns,-,ecocyc_28,yes,no,houser_up-lu_up
adia,ihfb,+,ecocyc_28,yes,no,houser_up-lu_up
adia,ihf,+,regdb_13,no,no,houser_up-lu_up
adiy,sgrs,-,ecocyc_28_AND_regdb_13,no,no,lu_up
adiy,hns,-,ecocyc_28,yes,no,lu_up
adiy,h-ns,-,regdb_13,no,no,lu_up
aer,crp,+,ecocyc_28_AND_regdb_13,yes,no,houser_up
aer,lrp,-,ecocyc_28,yes,no,houser_up
aer,flia,+,ecocyc_28,no,yes,houser_up
aer,fnr,+,ecocyc_28_AND_regdb_13,yes,no,houser_up
agaa,agar,-,regdb_13,no,no,ceroni_up
agaa,crp,+,regdb_13,yes,no,ceroni_up
agab,agar,-,ecocyc_28_AND_regdb_13,no,no,bie_up-emani_up-lu_up
agab,rpod,+,ecocyc_28,no,yes,bie_up-emani_up-lu_up
agac,agar,-,ecocyc_28_AND_regdb_13,no,no,bie_up
agac,rpod,+,ecocyc_28,no,yes,bie_up
agai,agar,-,ecocyc_28_AND_regdb_13,no,no,ceroni_up-lu_up
agai,rpod,+,ecocyc_28,no,yes,ceroni_up-lu_up
agar,agar,-,ecocyc_28_AND_regdb_13,no,no,houser_up
agar,rpod,+,ecocyc_28,no,yes,houser_up
agas,agar,-,ecocyc_28_AND_regdb_13,no,no,emani_up-lu_up
agas,rpod,+,ecocyc_28,no,yes,emani_up-lu_up
agav,agar,-,ecocyc_28_AND_regdb_13,no,no,lu_up
agav,crp,+,ecocyc_28_AND_regdb_13,yes,no,lu_up
agav,rpod,+,ecocyc_28,no,yes,lu_up
agaw,agar,-,regdb_13,no,no,lu_up
agaw,crp,+,regdb_13,yes,no,lu_up
agp,crp,+,ecocyc_28,yes,no,houser_up-mori_up
agp,phob,-,ecocyc_28,yes,no,houser_up-mori_up
ahpc,nac,+,ecocyc_28_AND_regdb_13,yes,no,deter_up
ahpc,oxyr,+,ecocyc_28_AND_regdb_13,yes,no,deter_up
ahpc,metj,-,ecocyc_28,no,no,deter_up
ahpc,rpod,+,ecocyc_28,no,yes,deter_up
alac,nac,-,ecocyc_28_AND_regdb_13,yes,no,deter_up
alac,rpod,+,ecocyc_28,no,yes,deter_up
alac,sgrr,+,ecocyc_28_AND_regdb_13,no,no,deter_up
alae,glar,+,ecocyc_28_AND_regdb_13,yes,no,gummesson_up-kim_up
alae,rpod,+,ecocyc_28,no,yes,gummesson_up-kim_up
alae,lrp,±,ecocyc_28_AND_regdb_13,yes,no,gummesson_up-kim_up
alax,fis,+,ecocyc_28,yes,no,bie_up
alax,rpod,+,ecocyc_28,no,yes,bie_up
alda,fnr,-,ecocyc_28,yes,no,wu_up
alda,soxs,+,ecocyc_28,yes,no,wu_up
alda,rob,+,ecocyc_28,yes,no,wu_up
alda,rpod,+,ecocyc_28,no,yes,wu_up
alda,crp,+,ecocyc_28,yes,no,wu_up
alda,arca,-,ecocyc_28_AND_regdb_13,yes,no,wu_up
alda,mara,+,ecocyc_28,yes,no,wu_up
alda,dnaa,-,ecocyc_28_AND_regdb_13,no,no,wu_up
aldb,crp,+,ecocyc_28_AND_regdb_13,yes,no,lu_up-mori_up
aldb,fis,-,ecocyc_28_AND_regdb_13,yes,no,lu_up-mori_up
aldb,rpos,+,ecocyc_28,no,yes,lu_up-mori_up
alla,allr,-,ecocyc_28_AND_regdb_13,no,no,houser_up-lu_up
allb,allr,-,ecocyc_28_AND_regdb_13,no,no,lu_up
allb,rpod,+,ecocyc_28,no,yes,lu_up
allc,alls,+,ecocyc_28,no,no,lu_up
allc,rpod,+,ecocyc_28,no,yes,lu_up
alld,alls,+,ecocyc_28,no,no,lu_up
alld,rpod,+,ecocyc_28,no,yes,lu_up
allr,nac,+,ecocyc_28_AND_regdb_13,yes,no,houser_up
alls,allr,-,ecocyc_28_AND_regdb_13,no,no,houser_up-lu_up
alsa,rpod,+,ecocyc_28,no,yes,lu_up
alsa,alsr,-,ecocyc_28,no,no,lu_up
alsc,rpod,+,ecocyc_28,no,yes,lu_up
alsc,alsr,-,ecocyc_28,no,no,lu_up
alse,rpod,+,ecocyc_28,no,yes,lu_up
alse,alsr,-,ecocyc_28,no,no,lu_up
ampc,bola,±,ecocyc_28,no,no,lu_up
ampc,rpod,+,ecocyc_28,no,yes,lu_up
amph,cpxr,+,ecocyc_28_AND_regdb_13,yes,no,emani_up
amya,rpod,+,ecocyc_28,no,yes,mori_up
ansb,rpod,+,ecocyc_28,no,yes,lu_up-mori_up-radzikowski_up
ansb,crp,+,ecocyc_28_AND_regdb_13,yes,no,lu_up-mori_up-radzikowski_up
ansb,fur,+,ecocyc_28,yes,no,lu_up-mori_up-radzikowski_up
ansb,nac,-,ecocyc_28_AND_regdb_13,yes,no,lu_up-mori_up-radzikowski_up
