gene,regulator,polarity,source,is_global_regulator,is_sigma_factor,deg_source
ahpc,nac,+,ecocyc_28_AND_regdb_13,yes,no,deter_up
ahpc,oxyr,+,ecocyc_28_AND_regdb_13,yes,no,deter_up
ahpc,metj,-,ecocyc_28,no,no,deter_up
ahpc,rpod,+,ecocyc_28,no,yes,deter_up
alac,nac,-,ecocyc_28_AND_regdb_13,yes,no,deter_up
alac,rpod,+,ecocyc_28,no,yes,deter_up
alac,sgrr,+,ecocyc_28_AND_regdb_13,no,no,deter_up
appy,rpos,+,ecocyc_28,no,yes,deter_up
appy,rpod,+,ecocyc_28,no,yes,deter_up
appy,arca,+,ecocyc_28,yes,no,deter_up
appy,hns,-,ecocyc_28,yes,no,deter_up
appy,dpia,-,ecocyc_28,no,no,deter_up
appy,h-ns,-,regdb_13,no,no,deter_up
clpb,rpoh,+,ecocyc_28,no,yes,deter_up
clpb,rpod,+,ecocyc_28,no,yes,deter_up
cspb,zrar,+,ecocyc_28_AND_regdb_13,no,no,deter_up
cspb,rpod,+,ecocyc_28,no,yes,deter_up
cspi,fis,-,ecocyc_28,yes,no,deter_up
cspi,basr,+,ecocyc_28_AND_regdb_13,no,no,deter_up
dnaj,rpoh,+,ecocyc_28,no,yes,deter_up
dnak,rpoh,+,ecocyc_28,no,yes,deter_up
feca,crp,+,ecocyc_28,yes,no,deter_up
feca,fur,-,ecocyc_28_AND_regdb_13,yes,no,deter_up
feca,pdhr,+,ecocyc_28,yes,no,deter_up
feca,hypt,-,ecocyc_28,no,no,deter_up
feca,feci,+,ecocyc_28,no,yes,deter_up
fecb,crp,+,ecocyc_28,yes,no,deter_up
fecb,fur,-,ecocyc_28_AND_regdb_13,yes,no,deter_up
fecb,pdhr,+,ecocyc_28,yes,no,deter_up
fecb,hypt,-,ecocyc_28,no,no,deter_up
fecb,feci,+,ecocyc_28,no,yes,deter_up
feci,slya,-,ecocyc_28_AND_regdb_13,yes,no,deter_up
feci,fur,-,ecocyc_28_AND_regdb_13,yes,no,deter_up
feci,rpod,+,ecocyc_28,no,yes,deter_up
grol,rpoh,+,ecocyc_28,no,yes,deter_up
grol,rpod,+,ecocyc_28,no,yes,deter_up
grol,lrp,±,ecocyc_28,yes,no,deter_up
gros,rpoh,+,ecocyc_28,no,yes,deter_up
gros,nac,+,ecocyc_28_AND_regdb_13,yes,no,deter_up
gros,rpod,+,ecocyc_28,no,yes,deter_up
gros,lrp,-,ecocyc_28,yes,no,deter_up
grpe,rpoh,+,ecocyc_28,no,yes,deter_up
grpe,crp,+,ecocyc_28,yes,no,deter_up
hslj,cysb,-,ecocyc_28_AND_regdb_13,yes,no,deter_up
hslj,rpod,+,ecocyc_28,no,yes,deter_up
hslu,rpoh,+,ecocyc_28,no,yes,deter_up
hslv,rpoh,+,ecocyc_28,no,yes,deter_up
htpg,rpoh,+,ecocyc_28,no,yes,deter_up
htpg,rpon,+,ecocyc_28,no,yes,deter_up
htpg,nac,-,ecocyc_28_AND_regdb_13,yes,no,deter_up
htpg,crp,-,ecocyc_28_AND_regdb_13,yes,no,deter_up
htpg,ascg,-,ecocyc_28_AND_regdb_13,no,no,deter_up
ibpa,ibpa,-,ecocyc_28,no,no,deter_up
ibpa,nac,+,ecocyc_28_AND_regdb_13,yes,no,deter_up
