gene,regulator,polarity,source,is_global_regulator,is_sigma_factor,deg_source
alae,glar,+,ecocyc_28_AND_regdb_13,yes,no,kim_up
alae,rpod,+,ecocyc_28,no,yes,kim_up
alae,lrp,±,ecocyc_28_AND_regdb_13,yes,no,kim_up
argr,rpod,+,ecocyc_28,no,yes,kim_up
argr,argr,-,ecocyc_28_AND_regdb_13,yes,no,kim_up
argr,arca,+,ecocyc_28_AND_regdb_13,yes,no,kim_up
argr,fur,-,ecocyc_28,yes,no,kim_up
argr,lrp,±,ecocyc_28,yes,no,kim_up
azor,rpod,+,ecocyc_28,no,yes,kim_up
brnq,lrp,-,ecocyc_28_AND_regdb_13,yes,no,kim_up
bssr,fur,+,ecocyc_28_AND_regdb_13,yes,no,kim_up
bsss,rpoh,+,ecocyc_28,no,yes,kim_up
bsss,rpod,+,ecocyc_28,no,yes,kim_up
bsss,glar,+,ecocyc_28_AND_regdb_13,yes,no,kim_up
bsss,nac,+,ecocyc_28_AND_regdb_13,yes,no,kim_up
bsss,yhaj,+,ecocyc_28_AND_regdb_13,no,no,kim_up
bsss,lrp,+,ecocyc_28,yes,no,kim_up
clpa,rpod,+,ecocyc_28,no,yes,zhang_up
clpb,rpoh,+,ecocyc_28,no,yes,zhang_up
clpb,rpod,+,ecocyc_28,no,yes,zhang_up
clpp,rpoh,+,ecocyc_28,no,yes,zhang_up
clpp,lrp,+,ecocyc_28,yes,no,zhang_up
clpp,rpod,+,ecocyc_28,no,yes,zhang_up
clpx,rpoh,+,ecocyc_28,no,yes,zhang_up
clpx,rpoe,+,ecocyc_28,no,yes,zhang_up
clpx,rpod,+,ecocyc_28,no,yes,zhang_up
cpxp,zrar,+,ecocyc_28_AND_regdb_13,no,no,kim_up
cpxp,cpxq,-,ecocyc_28,no,no,kim_up
cpxp,cpxr,+,ecocyc_28_AND_regdb_13,yes,no,kim_up
cpxp,rpod,+,ecocyc_28,no,yes,kim_up
csga,rpod,+,ecocyc_28,no,yes,kim_up
csga,rpos,+,ecocyc_28,no,yes,kim_up
csga,csgd,+,ecocyc_28_AND_regdb_13,yes,no,kim_up
csga,btsr,-,ecocyc_28_AND_regdb_13,no,no,kim_up
csga,bola,+,ecocyc_28,no,no,kim_up
csga,fliz,-,ecocyc_28,no,no,kim_up
csga,cpxr,-,ecocyc_28_AND_regdb_13,yes,no,kim_up
csgb,rpod,+,ecocyc_28,no,yes,kim_up
csgb,rpos,+,ecocyc_28,no,yes,kim_up
csgb,csgd,+,ecocyc_28_AND_regdb_13,yes,no,kim_up
csgb,btsr,-,ecocyc_28_AND_regdb_13,no,no,kim_up
csgb,fliz,-,ecocyc_28,no,no,kim_up
csgb,cpxr,-,ecocyc_28_AND_regdb_13,yes,no,kim_up
dnaj,rpoh,+,ecocyc_28,no,yes,zhang_up
dnak,rpoh,+,ecocyc_28,no,yes,zhang_up
ecnb,mica,-,ecocyc_28,no,no,kim_up
ecnb,nac,-,ecocyc_28_AND_regdb_13,yes,no,kim_up
ecnb,ompr,-,ecocyc_28,yes,no,kim_up
ecnb,rpos,+,ecocyc_28,no,yes,kim_up
fabb,fabr,-,ecocyc_28_AND_regdb_13,no,no,zhang_up
fabb,fadr,+,ecocyc_28_AND_regdb_13,no,no,zhang_up
fabb,rpod,+,ecocyc_28,no,yes,zhang_up
fuci,spf,-,ecocyc_28,yes,no,kim_up
fuci,rpod,+,ecocyc_28,no,yes,kim_up
fuci,crp,+,ecocyc_28_AND_regdb_13,yes,no,kim_up
fuci,fucr,+,ecocyc_28,no,no,kim_up
fuci,srsr,+,ecocyc_28_AND_regdb_13,yes,no,kim_up
fuck,spf,-,ecocyc_28,yes,no,kim_up
fuck,rpod,+,ecocyc_28,no,yes,kim_up
fuck,crp,+,ecocyc_28_AND_regdb_13,yes,no,kim_up
fuck,fucr,+,ecocyc_28,no,no,kim_up
