gene,regulator,polarity,source,is_global_regulator,is_sigma_factor,deg_source
ansb,rpod,+,ecocyc_28,no,yes,jovanovic_down
ansb,crp,+,ecocyc_28_AND_regdb_13,yes,no,jovanovic_down
ansb,fur,+,ecocyc_28,yes,no,jovanovic_down
ansb,nac,-,ecocyc_28_AND_regdb_13,yes,no,jovanovic_down
ansb,lrp,±,ecocyc_28_AND_regdb_13,yes,no,jovanovic_down
ansb,fis,-,ecocyc_28,yes,no,jovanovic_down
ansb,fnr,+,ecocyc_28_AND_regdb_13,yes,no,jovanovic_down
argb,argr,-,ecocyc_28_AND_regdb_13,yes,no,emani_down
argb,rpod,+,ecocyc_28,no,yes,emani_down
argd,phop,-,ecocyc_28,no,no,emani_down-jovanovic_down
argd,argr,-,ecocyc_28_AND_regdb_13,yes,no,emani_down-jovanovic_down
argd,rpod,+,ecocyc_28,no,yes,emani_down-jovanovic_down
argf,argr,-,ecocyc_28_AND_regdb_13,yes,no,emani_down
argf,fur,+,ecocyc_28_AND_regdb_13,yes,no,emani_down
argf,rpod,+,ecocyc_28,no,yes,emani_down
argh,argr,-,ecocyc_28_AND_regdb_13,yes,no,emani_down
argh,rpod,+,ecocyc_28,no,yes,emani_down
aste,glng,+,ecocyc_28,yes,no,vazulka_down
aste,rpon,+,ecocyc_28,no,yes,vazulka_down
aste,rpos,+,ecocyc_28,no,yes,vazulka_down
aste,rpod,+,ecocyc_28,no,yes,vazulka_down
aste,argr,+,ecocyc_28_AND_regdb_13,yes,no,vazulka_down
aste,ntrc,+,regdb_13,no,no,vazulka_down
cara,ihfb,±,ecocyc_28,yes,no,emani_down
cara,rutr,+,ecocyc_28_AND_regdb_13,no,no,emani_down
cara,ihfa,±,ecocyc_28,yes,no,emani_down
cara,rpod,+,ecocyc_28,no,yes,emani_down
cara,argr,-,ecocyc_28_AND_regdb_13,yes,no,emani_down
cara,arca,+,ecocyc_28_AND_regdb_13,yes,no,emani_down
cara,purr,-,ecocyc_28_AND_regdb_13,yes,no,emani_down
cara,pepa,-,ecocyc_28_AND_regdb_13,no,no,emani_down
cara,fis,+,ecocyc_28,yes,no,emani_down
cara,cpxr,+,ecocyc_28_AND_regdb_13,yes,no,emani_down
cara,ihf,±,regdb_13,no,no,emani_down
carb,ihfb,±,ecocyc_28,yes,no,emani_down
carb,rutr,+,ecocyc_28_AND_regdb_13,no,no,emani_down
carb,ihfa,±,ecocyc_28,yes,no,emani_down
carb,rpod,+,ecocyc_28,no,yes,emani_down
