gene,regulator,polarity,source,is_global_regulator,is_sigma_factor,deg_source
agab,agar,-,ecocyc_28_AND_regdb_13,no,no,emani_up
agab,rpod,+,ecocyc_28,no,yes,emani_up
agas,agar,-,ecocyc_28_AND_regdb_13,no,no,emani_up
agas,rpod,+,ecocyc_28,no,yes,emani_up
amph,cpxr,+,ecocyc_28_AND_regdb_13,yes,no,emani_up
asta,glng,+,ecocyc_28,yes,no,emani_up
asta,rpon,+,ecocyc_28,no,yes,emani_up
asta,rpos,+,ecocyc_28,no,yes,emani_up
asta,rpod,+,ecocyc_28,no,yes,emani_up
asta,argr,+,ecocyc_28_AND_regdb_13,yes,no,emani_up
asta,ntrc,+,regdb_13,no,no,emani_up
astc,glng,+,ecocyc_28,yes,no,emani_up
astc,rpon,+,ecocyc_28,no,yes,emani_up
astc,rpod,+,ecocyc_28,no,yes,emani_up
astc,argr,+,ecocyc_28_AND_regdb_13,yes,no,emani_up
astc,rpos,+,ecocyc_28,no,yes,emani_up
astc,rob,-,ecocyc_28,yes,no,emani_up
astc,lrp,±,ecocyc_28,yes,no,emani_up
astc,cpxr,-,ecocyc_28,yes,no,emani_up
astc,ntrc,+,regdb_13,no,no,emani_up
astd,glng,+,ecocyc_28,yes,no,emani_up
astd,rpon,+,ecocyc_28,no,yes,emani_up
astd,rpos,+,ecocyc_28,no,yes,emani_up
astd,rpod,+,ecocyc_28,no,yes,emani_up
astd,argr,+,ecocyc_28_AND_regdb_13,yes,no,emani_up
astd,ntrc,+,regdb_13,no,no,emani_up
bsma,ycit,+,ecocyc_28,no,no,emani_up
bsma,rpos,+,ecocyc_28,no,yes,emani_up
cdd,rpod,+,ecocyc_28,no,yes,emani_up
cdd,crp,±,ecocyc_28_AND_regdb_13,yes,no,emani_up
cdd,nsrr,-,ecocyc_28,yes,no,emani_up
cdd,cytr,-,ecocyc_28_AND_regdb_13,no,no,emani_up
chaa,glar,-,ecocyc_28_AND_regdb_13,yes,no,jovanovic_up
chaa,cpxr,+,ecocyc_28_AND_regdb_13,yes,no,jovanovic_up
cite,crp,-,ecocyc_28,yes,no,jovanovic_up
cite,arca,-,ecocyc_28,yes,no,jovanovic_up
cite,dpia,+,ecocyc_28_AND_regdb_13,no,no,jovanovic_up
cite,narl,-,ecocyc_28,yes,no,jovanovic_up
cite,fnr,-,ecocyc_28,yes,no,jovanovic_up
clpb,rpoh,+,ecocyc_28,no,yes,jovanovic_up
clpb,rpod,+,ecocyc_28,no,yes,jovanovic_up
cpxp,zrar,+,ecocyc_28_AND_regdb_13,no,no,emani_up
cpxp,cpxq,-,ecocyc_28,no,no,emani_up
cpxp,cpxr,+,ecocyc_28_AND_regdb_13,yes,no,emani_up
cpxp,rpod,+,ecocyc_28,no,yes,emani_up
csga,rpod,+,ecocyc_28,no,yes,emani_up
csga,rpos,+,ecocyc_28,no,yes,emani_up
csga,csgd,+,ecocyc_28_AND_regdb_13,yes,no,emani_up
csga,btsr,-,ecocyc_28_AND_regdb_13,no,no,emani_up
csga,bola,+,ecocyc_28,no,no,emani_up
csga,fliz,-,ecocyc_28,no,no,emani_up
csga,cpxr,-,ecocyc_28_AND_regdb_13,yes,no,emani_up
cspc,rpon,-,ecocyc_28,no,yes,jovanovic_up
cspc,btsr,-,ecocyc_28_AND_regdb_13,no,no,jovanovic_up
cspc,rpod,+,ecocyc_28,no,yes,jovanovic_up
cspe,dinj,-,ecocyc_28,no,no,jovanovic_up
cspe,rpod,+,ecocyc_28,no,yes,jovanovic_up
cspe,yafq,-,ecocyc_28,no,no,jovanovic_up
cspe,crp,+,ecocyc_28_AND_regdb_13,yes,no,jovanovic_up
cspe,ydip,+,ecocyc_28,no,no,jovanovic_up
cspe,dinj-yafq,-,regdb_13,no,no,jovanovic_up
dgcz,rpod,+,ecocyc_28,no,yes,emani_up
dgcz,cysb,+,ecocyc_28,yes,no,emani_up
dgcz,lrp,+,ecocyc_28,yes,no,emani_up
dgcz,hns,-,ecocyc_28,yes,no,emani_up
dgcz,cpxr,+,ecocyc_28_AND_regdb_13,yes,no,emani_up
dgcz,csra,-,ecocyc_28,no,no,emani_up
dgcz,carbon storage regulator csra,-,regdb_13,no,no,emani_up
dgoa,crp,+,ecocyc_28_AND_regdb_13,yes,no,jovanovic_up
dgoa,rpod,+,ecocyc_28,no,yes,jovanovic_up
dgoa,dgor,-,ecocyc_28_AND_regdb_13,no,no,jovanovic_up
dgot,crp,+,ecocyc_28_AND_regdb_13,yes,no,jovanovic_up
dgot,rpod,+,ecocyc_28,no,yes,jovanovic_up
dgot,dgor,-,ecocyc_28_AND_regdb_13,no,no,jovanovic_up
dnak,rpoh,+,ecocyc_28,no,yes,jovanovic_up
dppa,rpod,+,ecocyc_28,no,yes,jovanovic_up
dppa,ihfa,+,ecocyc_28,yes,no,jovanovic_up
dppa,arca,+,ecocyc_28_AND_regdb_13,yes,no,jovanovic_up
dppa,nac,-,ecocyc_28_AND_regdb_13,yes,no,jovanovic_up
dppa,lrp,±,ecocyc_28,yes,no,jovanovic_up
dppa,gcvb,-,ecocyc_28,yes,no,jovanovic_up
dppa,fnr,-,ecocyc_28,yes,no,jovanovic_up
dppa,ihfb,+,ecocyc_28,yes,no,jovanovic_up
evga,rpod,+,ecocyc_28,no,yes,jovanovic_up
evga,rpos,+,ecocyc_28,no,yes,jovanovic_up
evga,nac,-,ecocyc_28_AND_regdb_13,yes,no,jovanovic_up
evga,evga,+,ecocyc_28_AND_regdb_13,no,no,jovanovic_up
evga,hns,-,ecocyc_28,yes,no,jovanovic_up
evga,csra,-,ecocyc_28,no,no,jovanovic_up
evga,h-ns,-,regdb_13,no,no,jovanovic_up
fadb,rpod,+,ecocyc_28,no,yes,emani_up
fadb,arca,-,ecocyc_28_AND_regdb_13,yes,no,emani_up
fadb,rob,-,ecocyc_28,yes,no,emani_up
fadb,fis,+,ecocyc_28_AND_regdb_13,yes,no,emani_up
fadb,fadr,-,ecocyc_28,no,no,emani_up
fade,ompr,+,ecocyc_28_AND_regdb_13,yes,no,emani_up
fade,arca,-,ecocyc_28_AND_regdb_13,yes,no,emani_up
fade,cpxr,-,ecocyc_28,yes,no,emani_up
fade,pdhr,+,ecocyc_28_AND_regdb_13,yes,no,emani_up
fade,lldr,+,ecocyc_28_AND_regdb_13,no,no,emani_up
fade,fadr,-,ecocyc_28_AND_regdb_13,no,no,emani_up
fima,rpod,+,ecocyc_28,no,yes,emani_up
fima,ihfa,+,ecocyc_28,yes,no,emani_up
fima,qseb,+,ecocyc_28,no,no,emani_up
fima,fis,+,ecocyc_28_AND_regdb_13,yes,no,emani_up
fima,hns,+,ecocyc_28,yes,no,emani_up
fima,lrp,+,ecocyc_28_AND_regdb_13,yes,no,emani_up
fima,ihfb,+,ecocyc_28,yes,no,emani_up
fima,h-ns,+,regdb_13,no,no,emani_up
fmt,rpod,+,ecocyc_28,no,yes,jovanovic_up
frdb,rpod,+,ecocyc_28,no,yes,jovanovic_up
frdb,rpos,+,ecocyc_28,no,yes,jovanovic_up
frdb,fnr,+,ecocyc_28_AND_regdb_13,yes,no,jovanovic_up
frdb,lrp,-,ecocyc_28,yes,no,jovanovic_up
frdb,narl,-,ecocyc_28_AND_regdb_13,yes,no,jovanovic_up
frdb,dcur,+,ecocyc_28_AND_regdb_13,no,no,jovanovic_up
grpe,rpoh,+,ecocyc_28,no,yes,jovanovic_up
grpe,crp,+,ecocyc_28,yes,no,jovanovic_up
hisg,dksa,+,ecocyc_28,yes,no,emani_up
hisg,cra,±,ecocyc_28,yes,no,emani_up
hslv,rpoh,+,ecocyc_28,no,yes,jovanovic_up
ibpb,rpoh,+,ecocyc_28,no,yes,vazulka_up
ibpb,rpon,+,ecocyc_28,no,yes,vazulka_up
ibpb,ihfa,+,ecocyc_28,yes,no,vazulka_up
ibpb,ibpa,-,ecocyc_28,no,no,vazulka_up
ibpb,lrp,+,ecocyc_28,yes,no,vazulka_up
ibpb,ihfb,+,ecocyc_28,yes,no,vazulka_up
ilvl,ihfb,±,ecocyc_28,yes,no,jovanovic_up
ilvl,ihfa,±,ecocyc_28,yes,no,jovanovic_up
ilvl,rpod,+,ecocyc_28,no,yes,jovanovic_up
ilvl,nac,+,ecocyc_28_AND_regdb_13,yes,no,jovanovic_up
ilvl,lrp,±,ecocyc_28,yes,no,jovanovic_up
ilvl,gcvb,-,ecocyc_28,yes,no,jovanovic_up
ilvl,ihf,±,regdb_13,no,no,jovanovic_up
kbay,agar,-,ecocyc_28_AND_regdb_13,no,no,emani_up
kbay,nac,+,ecocyc_28_AND_regdb_13,yes,no,emani_up
kbay,rpod,+,ecocyc_28,no,yes,emani_up
kbaz,agar,-,ecocyc_28_AND_regdb_13,no,no,emani_up
kbaz,crp,+,ecocyc_28_AND_regdb_13,yes,no,emani_up
