gene,regulator,polarity,source,is_global_regulator,is_sigma_factor,deg_source
acca,accd,-,ecocyc_28,no,no,houser_down
acca,rpod,+,ecocyc_28,no,yes,houser_down
acca,fadr,+,ecocyc_28_AND_regdb_13,no,no,houser_down
acca,acca,-,ecocyc_28,no,no,houser_down
accb,accb,-,ecocyc_28,no,no,houser_down
accb,fadr,+,ecocyc_28_AND_regdb_13,no,no,houser_down
accb,rpod,+,ecocyc_28,no,yes,houser_down
accc,accb,-,ecocyc_28,no,no,gummesson_down-houser_down
accc,fadr,+,ecocyc_28_AND_regdb_13,no,no,gummesson_down-houser_down
accc,rpod,+,ecocyc_28,no,yes,gummesson_down-houser_down
accd,accd,-,ecocyc_28,no,no,houser_down
accd,rpod,+,ecocyc_28,no,yes,houser_down
accd,fadr,+,ecocyc_28_AND_regdb_13,no,no,houser_down
accd,acca,-,ecocyc_28,no,no,houser_down
acee,rpod,+,ecocyc_28,no,yes,houser_down
acee,rpos,+,ecocyc_28,no,yes,houser_down
acee,crp,+,ecocyc_28,yes,no,houser_down
acee,btsr,-,ecocyc_28_AND_regdb_13,no,no,houser_down
acee,arca,-,ecocyc_28,yes,no,houser_down
acee,cra,-,ecocyc_28_AND_regdb_13,yes,no,houser_down
acee,fnr,±,ecocyc_28_AND_regdb_13,yes,no,houser_down
acee,pdhr,-,ecocyc_28_AND_regdb_13,yes,no,houser_down
acee,nsrr,-,ecocyc_28,yes,no,houser_down
acef,rpod,+,ecocyc_28,no,yes,houser_down
acef,rpos,+,ecocyc_28,no,yes,houser_down
acef,crp,+,ecocyc_28,yes,no,houser_down
acef,btsr,-,ecocyc_28_AND_regdb_13,no,no,houser_down
acef,arca,-,ecocyc_28,yes,no,houser_down
acef,cra,-,ecocyc_28_AND_regdb_13,yes,no,houser_down
acef,fnr,±,ecocyc_28_AND_regdb_13,yes,no,houser_down
acef,pdhr,-,ecocyc_28_AND_regdb_13,yes,no,houser_down
acef,nsrr,-,ecocyc_28,yes,no,houser_down
acka,rpoh,+,ecocyc_28,no,yes,houser_down
acka,sdhx,-,ecocyc_28_AND_regdb_13,no,no,houser_down
acka,nac,+,ecocyc_28_AND_regdb_13,yes,no,houser_down
acka,arca,+,ecocyc_28,yes,no,houser_down
acka,creb,+,ecocyc_28,no,no,houser_down
acka,fnr,+,ecocyc_28,yes,no,houser_down
acnb,rpod,+,ecocyc_28,no,yes,houser_down
acnb,crp,+,ecocyc_28,yes,no,houser_down
acnb,acnb,+,ecocyc_28,no,no,houser_down
acnb,cra,±,ecocyc_28,yes,no,houser_down
acnb,arca,-,ecocyc_28_AND_regdb_13,yes,no,houser_down
acnb,ryhb,-,ecocyc_28,yes,no,houser_down
acnb,fis,-,ecocyc_28,yes,no,houser_down
acra,phop,-,ecocyc_28,no,no,houser_down
acra,soxs,+,ecocyc_28_AND_regdb_13,yes,no,houser_down
acra,mpra,-,ecocyc_28,no,no,houser_down
acra,rob,+,ecocyc_28_AND_regdb_13,yes,no,houser_down
acra,rpod,+,ecocyc_28,no,yes,houser_down
acra,envr,-,ecocyc_28_AND_regdb_13,no,no,houser_down
acra,acrr,-,ecocyc_28_AND_regdb_13,no,no,houser_down
acra,ptrr,+,ecocyc_28,no,no,houser_down
acra,mara,+,ecocyc_28_AND_regdb_13,yes,no,houser_down
acrr,ompr,+,ecocyc_28_AND_regdb_13,yes,no,schmidt_down
acrr,ptrr,-,ecocyc_28,no,no,schmidt_down
acrr,rpod,+,ecocyc_28,no,yes,schmidt_down
acrr,acrr,-,ecocyc_28_AND_regdb_13,no,no,schmidt_down
adep,kdpe,-,ecocyc_28,no,no,gummesson_down
adep,yiau,+,ecocyc_28,no,no,gummesson_down
adk,fur,+,ecocyc_28,yes,no,houser_down
aega,crp,-,ecocyc_28,yes,no,schmidt_down
ahpf,oxyr,+,ecocyc_28_AND_regdb_13,yes,no,houser_down
ahpf,rpoe,+,ecocyc_28,no,yes,houser_down
ahpf,metj,-,ecocyc_28,no,no,houser_down
ahpf,rpod,+,ecocyc_28,no,yes,houser_down
alaw,fis,+,ecocyc_28,yes,no,gummesson_down
alaw,rpod,+,ecocyc_28,no,yes,gummesson_down
