gene,regulator,polarity,source,is_global_regulator,is_sigma_factor,deg_source
aaea,aaer,+,ecocyc_28,no,no,houser_up
aaea,crp,+,ecocyc_28_AND_regdb_13,yes,no,houser_up
aaeb,aaer,+,ecocyc_28,no,no,houser_up
aaeb,crp,+,ecocyc_28_AND_regdb_13,yes,no,houser_up
aaer,crp,-,ecocyc_28_AND_regdb_13,yes,no,houser_up
acea,rpod,+,ecocyc_28,no,yes,schmidt_up
acea,ihfa,+,ecocyc_28,yes,no,schmidt_up
acea,crp,-,ecocyc_28,yes,no,schmidt_up
acea,arca,-,ecocyc_28,yes,no,schmidt_up
acea,cra,+,ecocyc_28_AND_regdb_13,yes,no,schmidt_up
acea,iclr,-,ecocyc_28_AND_regdb_13,no,no,schmidt_up
acea,ihfb,+,ecocyc_28,yes,no,schmidt_up
acea,ihf,+,regdb_13,no,no,schmidt_up
acek,rpod,+,ecocyc_28,no,yes,schmidt_up
acek,ihfa,+,ecocyc_28,yes,no,schmidt_up
acek,crp,-,ecocyc_28,yes,no,schmidt_up
acek,arca,-,ecocyc_28,yes,no,schmidt_up
acek,cra,+,ecocyc_28_AND_regdb_13,yes,no,schmidt_up
acek,iclr,-,ecocyc_28_AND_regdb_13,no,no,schmidt_up
acek,ihfb,+,ecocyc_28,yes,no,schmidt_up
acek,ihf,+,regdb_13,no,no,schmidt_up
acrf,fnr,+,ecocyc_28,yes,no,houser_up
acrf,hns,-,ecocyc_28,yes,no,houser_up
acrf,rpod,+,ecocyc_28,no,yes,houser_up
acs,rpod,+,ecocyc_28,no,yes,schmidt_up-wu_up
acs,rpos,+,ecocyc_28,no,yes,schmidt_up-wu_up
acs,ihfb,-,ecocyc_28,yes,no,schmidt_up-wu_up
acs,crp,+,ecocyc_28_AND_regdb_13,yes,no,schmidt_up-wu_up
acs,ihfa,-,ecocyc_28,yes,no,schmidt_up-wu_up
acs,rob,-,ecocyc_28,yes,no,schmidt_up-wu_up
acs,gcvb,-,ecocyc_28,yes,no,schmidt_up-wu_up
acs,fis,-,ecocyc_28_AND_regdb_13,yes,no,schmidt_up-wu_up
acs,cpxr,-,ecocyc_28_AND_regdb_13,yes,no,schmidt_up-wu_up
acs,ihf,-,regdb_13,no,no,schmidt_up-wu_up
actp,rpon,+,ecocyc_28,no,yes,schmidt_up
actp,rpod,+,ecocyc_28,no,yes,schmidt_up
actp,rpos,+,ecocyc_28,no,yes,schmidt_up
actp,ihfb,-,ecocyc_28,yes,no,schmidt_up
actp,crp,+,ecocyc_28_AND_regdb_13,yes,no,schmidt_up
actp,ihfa,-,ecocyc_28,yes,no,schmidt_up
actp,fur,-,ecocyc_28,yes,no,schmidt_up
actp,rob,-,ecocyc_28,yes,no,schmidt_up
actp,fis,-,ecocyc_28_AND_regdb_13,yes,no,schmidt_up
actp,ihf,-,regdb_13,no,no,schmidt_up
add,rbsr,+,ecocyc_28_AND_regdb_13,no,no,gummesson_up
add,rpod,+,ecocyc_28,no,yes,gummesson_up
adia,torr,+,ecocyc_28,no,no,houser_up
adia,rpod,+,ecocyc_28,no,yes,houser_up
adia,ihfa,+,ecocyc_28,yes,no,houser_up
adia,ydeo,-,ecocyc_28,no,no,houser_up
adia,adiy,+,ecocyc_28_AND_regdb_13,no,no,houser_up
adia,hns,-,ecocyc_28,yes,no,houser_up
adia,ihfb,+,ecocyc_28,yes,no,houser_up
adia,ihf,+,regdb_13,no,no,houser_up
aer,crp,+,ecocyc_28_AND_regdb_13,yes,no,houser_up
aer,lrp,-,ecocyc_28,yes,no,houser_up
aer,flia,+,ecocyc_28,no,yes,houser_up
aer,fnr,+,ecocyc_28_AND_regdb_13,yes,no,houser_up
agar,agar,-,ecocyc_28_AND_regdb_13,no,no,houser_up
agar,rpod,+,ecocyc_28,no,yes,houser_up
agp,crp,+,ecocyc_28,yes,no,houser_up
agp,phob,-,ecocyc_28,yes,no,houser_up
alae,glar,+,ecocyc_28_AND_regdb_13,yes,no,gummesson_up
alae,rpod,+,ecocyc_28,no,yes,gummesson_up
alae,lrp,±,ecocyc_28_AND_regdb_13,yes,no,gummesson_up
alda,fnr,-,ecocyc_28,yes,no,wu_up
alda,soxs,+,ecocyc_28,yes,no,wu_up
alda,rob,+,ecocyc_28,yes,no,wu_up
alda,rpod,+,ecocyc_28,no,yes,wu_up
alda,crp,+,ecocyc_28,yes,no,wu_up
alda,arca,-,ecocyc_28_AND_regdb_13,yes,no,wu_up
alda,mara,+,ecocyc_28,yes,no,wu_up
alda,dnaa,-,ecocyc_28_AND_regdb_13,no,no,wu_up
alla,allr,-,ecocyc_28_AND_regdb_13,no,no,houser_up
allr,nac,+,ecocyc_28_AND_regdb_13,yes,no,houser_up
alls,allr,-,ecocyc_28_AND_regdb_13,no,no,houser_up
araa,crp,+,ecocyc_28_AND_regdb_13,yes,no,houser_up
araa,arac,±,ecocyc_28_AND_regdb_13,no,no,houser_up
araa,rpod,+,ecocyc_28,no,yes,houser_up
arab,crp,+,ecocyc_28_AND_regdb_13,yes,no,houser_up
arab,arac,±,ecocyc_28_AND_regdb_13,no,no,houser_up
arab,rpod,+,ecocyc_28,no,yes,houser_up
arab,fur,+,ecocyc_28_AND_regdb_13,yes,no,houser_up
arac,xylr,-,ecocyc_28_AND_regdb_13,no,no,houser_up
arac,crp,+,ecocyc_28_AND_regdb_13,yes,no,houser_up
arac,arac,±,ecocyc_28_AND_regdb_13,no,no,houser_up
arac,rpod,+,ecocyc_28,no,yes,houser_up
argb,argr,-,ecocyc_28_AND_regdb_13,yes,no,wu_up
argb,rpod,+,ecocyc_28,no,yes,wu_up
argd,phop,-,ecocyc_28,no,no,wu_up
argd,argr,-,ecocyc_28_AND_regdb_13,yes,no,wu_up
argd,rpod,+,ecocyc_28,no,yes,wu_up
arge,argr,-,ecocyc_28_AND_regdb_13,yes,no,wu_up
arge,rpod,+,ecocyc_28,no,yes,wu_up
argf,argr,-,ecocyc_28_AND_regdb_13,yes,no,wu_up
argf,fur,+,ecocyc_28_AND_regdb_13,yes,no,wu_up
argf,rpod,+,ecocyc_28,no,yes,wu_up
argg,argr,-,ecocyc_28_AND_regdb_13,yes,no,wu_up
argg,crp,+,ecocyc_28_AND_regdb_13,yes,no,wu_up
argg,fur,-,ecocyc_28_AND_regdb_13,yes,no,wu_up
argg,rpod,+,ecocyc_28,no,yes,wu_up
argh,argr,-,ecocyc_28_AND_regdb_13,yes,no,wu_up
argh,rpod,+,ecocyc_28,no,yes,wu_up
argo,argp,+,ecocyc_28_AND_regdb_13,no,no,houser_up
argo,rpod,+,ecocyc_28,no,yes,houser_up
argo,nac,+,ecocyc_28_AND_regdb_13,yes,no,houser_up
argo,lrp,+,ecocyc_28_AND_regdb_13,yes,no,houser_up
argo,yeie,-,ecocyc_28,no,no,houser_up
argt,glng,+,ecocyc_28,yes,no,wu_up
argt,lrp,+,ecocyc_28,yes,no,wu_up
argt,arca,-,ecocyc_28_AND_regdb_13,yes,no,wu_up
argt,rpon,+,ecocyc_28,no,yes,wu_up
argt,ntrc,+,regdb_13,no,no,wu_up
arir,rpos,+,ecocyc_28,no,yes,gummesson_up
arir,rpod,+,ecocyc_28,no,yes,gummesson_up
arir,cysb,+,ecocyc_28,yes,no,gummesson_up
arir,mara,+,ecocyc_28_AND_regdb_13,yes,no,gummesson_up
arir,blur,-,ecocyc_28_AND_regdb_13,no,no,gummesson_up
arna,basr,+,ecocyc_28_AND_regdb_13,no,no,houser_up
arog,tyrr,-,ecocyc_28_AND_regdb_13,no,no,wu_up
arog,cpxr,+,ecocyc_28_AND_regdb_13,yes,no,wu_up
arog,rpod,+,ecocyc_28,no,yes,wu_up
arog,lrp,±,ecocyc_28,yes,no,wu_up
artj,argr,-,ecocyc_28_AND_regdb_13,yes,no,wu_up
artj,rpod,+,ecocyc_28,no,yes,wu_up
ascf,spf,-,ecocyc_28_AND_regdb_13,yes,no,houser_up
ascf,rpod,+,ecocyc_28,no,yes,houser_up
ascf,crp,+,ecocyc_28_AND_regdb_13,yes,no,houser_up
ascf,hns,-,ecocyc_28,yes,no,houser_up
ascf,cpxr,-,ecocyc_28,yes,no,houser_up
ascf,ascg,-,ecocyc_28_AND_regdb_13,no,no,houser_up
asd,gcvb,-,ecocyc_28,yes,no,wu_up
asd,argp,+,ecocyc_28_AND_regdb_13,no,no,wu_up
asd,sgrs,-,ecocyc_28,no,no,wu_up
aspa,rpod,+,ecocyc_28,no,yes,schmidt_up
aspa,crp,+,ecocyc_28_AND_regdb_13,yes,no,schmidt_up
aspa,lrp,±,ecocyc_28_AND_regdb_13,yes,no,schmidt_up
aspa,fnr,+,ecocyc_28_AND_regdb_13,yes,no,schmidt_up
aspa,narl,-,ecocyc_28_AND_regdb_13,yes,no,schmidt_up
aspa,dcur,+,ecocyc_28,no,no,schmidt_up
astb,glng,+,ecocyc_28,yes,no,gummesson_up
astb,rpon,+,ecocyc_28,no,yes,gummesson_up
astb,rpos,+,ecocyc_28,no,yes,gummesson_up
astb,rpod,+,ecocyc_28,no,yes,gummesson_up
astb,argr,+,ecocyc_28_AND_regdb_13,yes,no,gummesson_up
astb,ntrc,+,regdb_13,no,no,gummesson_up
astc,glng,+,ecocyc_28,yes,no,gummesson_up
astc,rpon,+,ecocyc_28,no,yes,gummesson_up
astc,rpod,+,ecocyc_28,no,yes,gummesson_up
astc,argr,+,ecocyc_28_AND_regdb_13,yes,no,gummesson_up
astc,rpos,+,ecocyc_28,no,yes,gummesson_up
astc,rob,-,ecocyc_28,yes,no,gummesson_up
astc,lrp,±,ecocyc_28,yes,no,gummesson_up
astc,cpxr,-,ecocyc_28,yes,no,gummesson_up
astc,ntrc,+,regdb_13,no,no,gummesson_up
baer,baer,+,ecocyc_28_AND_regdb_13,no,no,houser_up
baer,cpxr,+,ecocyc_28_AND_regdb_13,yes,no,houser_up
baer,rpos,+,ecocyc_28,no,yes,houser_up
bdm,rcsb,+,ecocyc_28_AND_regdb_13,yes,no,gummesson_up
beti,beti,-,ecocyc_28_AND_regdb_13,no,no,houser_up
beti,cra,+,ecocyc_28,yes,no,houser_up
beti,arca,-,ecocyc_28_AND_regdb_13,yes,no,houser_up
beti,rpod,+,ecocyc_28,no,yes,houser_up
