gene,regulator,polarity,source,is_global_regulator,is_sigma_factor,deg_source
ansb,rpod,+,ecocyc_28,no,yes,jovanovic_down
ansb,crp,+,ecocyc_28_AND_regdb_13,yes,no,jovanovic_down
ansb,fur,+,ecocyc_28,yes,no,jovanovic_down
ansb,nac,-,ecocyc_28_AND_regdb_13,yes,no,jovanovic_down
ansb,lrp,±,ecocyc_28_AND_regdb_13,yes,no,jovanovic_down
ansb,fis,-,ecocyc_28,yes,no,jovanovic_down
ansb,fnr,+,ecocyc_28_AND_regdb_13,yes,no,jovanovic_down
argd,phop,-,ecocyc_28,no,no,jovanovic_down
argd,argr,-,ecocyc_28_AND_regdb_13,yes,no,jovanovic_down
argd,rpod,+,ecocyc_28,no,yes,jovanovic_down
cynt,nac,-,ecocyc_28_AND_regdb_13,yes,no,jovanovic_down
cynt,rpod,+,ecocyc_28,no,yes,jovanovic_down
cynt,cynr,+,ecocyc_28_AND_regdb_13,no,no,jovanovic_down
dicc,dica,-,ecocyc_28_AND_regdb_13,no,no,jovanovic_down
dicc,dicd,-,ecocyc_28,no,no,jovanovic_down
dicc,rpod,+,ecocyc_28,no,yes,jovanovic_down
eno,rpos,+,ecocyc_28,no,yes,jovanovic_down
eno,cra,-,ecocyc_28_AND_regdb_13,yes,no,jovanovic_down
eno,lrp,+,ecocyc_28,yes,no,jovanovic_down
eno,rpod,+,ecocyc_28,no,yes,jovanovic_down
fdoi,sdhx,-,ecocyc_28_AND_regdb_13,no,no,jovanovic_down
fixc,crp,+,ecocyc_28,yes,no,jovanovic_down
fixc,caif,+,ecocyc_28_AND_regdb_13,no,no,jovanovic_down
fixc,rpod,+,ecocyc_28,no,yes,jovanovic_down
fixc,fnr,+,ecocyc_28,yes,no,jovanovic_down
flu,ydci,+,ecocyc_28,no,no,jovanovic_down
flu,dksa,+,ecocyc_28,yes,no,jovanovic_down
flu,oxyr,-,ecocyc_28_AND_regdb_13,yes,no,jovanovic_down
flu,rpod,+,ecocyc_28,no,yes,jovanovic_down
fuco,rpod,+,ecocyc_28,no,yes,jovanovic_down
fuco,crp,+,ecocyc_28,yes,no,jovanovic_down
fuco,srsr,+,ecocyc_28_AND_regdb_13,yes,no,jovanovic_down
fuco,fucr,+,ecocyc_28,no,no,jovanovic_down
gabd,rpod,+,ecocyc_28,no,yes,jovanovic_down
gabd,rpos,+,ecocyc_28,no,yes,jovanovic_down
gabd,nac,+,ecocyc_28_AND_regdb_13,yes,no,jovanovic_down
