gene,regulator,polarity,source,is_global_regulator,is_sigma_factor,deg_source
chaa,glar,-,ecocyc_28_AND_regdb_13,yes,no,jovanovic_up
chaa,cpxr,+,ecocyc_28_AND_regdb_13,yes,no,jovanovic_up
cite,crp,-,ecocyc_28,yes,no,jovanovic_up
cite,arca,-,ecocyc_28,yes,no,jovanovic_up
cite,dpia,+,ecocyc_28_AND_regdb_13,no,no,jovanovic_up
cite,narl,-,ecocyc_28,yes,no,jovanovic_up
cite,fnr,-,ecocyc_28,yes,no,jovanovic_up
clpb,rpoh,+,ecocyc_28,no,yes,jovanovic_up
clpb,rpod,+,ecocyc_28,no,yes,jovanovic_up
cspc,rpon,-,ecocyc_28,no,yes,jovanovic_up
cspc,btsr,-,ecocyc_28_AND_regdb_13,no,no,jovanovic_up
cspc,rpod,+,ecocyc_28,no,yes,jovanovic_up
cspe,dinj,-,ecocyc_28,no,no,jovanovic_up
cspe,rpod,+,ecocyc_28,no,yes,jovanovic_up
cspe,yafq,-,ecocyc_28,no,no,jovanovic_up
cspe,crp,+,ecocyc_28_AND_regdb_13,yes,no,jovanovic_up
cspe,ydip,+,ecocyc_28,no,no,jovanovic_up
cspe,dinj-yafq,-,regdb_13,no,no,jovanovic_up
dgoa,crp,+,ecocyc_28_AND_regdb_13,yes,no,jovanovic_up
dgoa,rpod,+,ecocyc_28,no,yes,jovanovic_up
dgoa,dgor,-,ecocyc_28_AND_regdb_13,no,no,jovanovic_up
dgot,crp,+,ecocyc_28_AND_regdb_13,yes,no,jovanovic_up
dgot,rpod,+,ecocyc_28,no,yes,jovanovic_up
dgot,dgor,-,ecocyc_28_AND_regdb_13,no,no,jovanovic_up
dnak,rpoh,+,ecocyc_28,no,yes,jovanovic_up
dppa,rpod,+,ecocyc_28,no,yes,jovanovic_up
dppa,ihfa,+,ecocyc_28,yes,no,jovanovic_up
dppa,arca,+,ecocyc_28_AND_regdb_13,yes,no,jovanovic_up
dppa,nac,-,ecocyc_28_AND_regdb_13,yes,no,jovanovic_up
dppa,lrp,±,ecocyc_28,yes,no,jovanovic_up
dppa,gcvb,-,ecocyc_28,yes,no,jovanovic_up
dppa,fnr,-,ecocyc_28,yes,no,jovanovic_up
dppa,ihfb,+,ecocyc_28,yes,no,jovanovic_up
evga,rpod,+,ecocyc_28,no,yes,jovanovic_up
evga,rpos,+,ecocyc_28,no,yes,jovanovic_up
evga,nac,-,ecocyc_28_AND_regdb_13,yes,no,jovanovic_up
evga,evga,+,ecocyc_28_AND_regdb_13,no,no,jovanovic_up
evga,hns,-,ecocyc_28,yes,no,jovanovic_up
evga,csra,-,ecocyc_28,no,no,jovanovic_up
evga,h-ns,-,regdb_13,no,no,jovanovic_up
fmt,rpod,+,ecocyc_28,no,yes,jovanovic_up
frdb,rpod,+,ecocyc_28,no,yes,jovanovic_up
frdb,rpos,+,ecocyc_28,no,yes,jovanovic_up
frdb,fnr,+,ecocyc_28_AND_regdb_13,yes,no,jovanovic_up
frdb,lrp,-,ecocyc_28,yes,no,jovanovic_up
frdb,narl,-,ecocyc_28_AND_regdb_13,yes,no,jovanovic_up
frdb,dcur,+,ecocyc_28_AND_regdb_13,no,no,jovanovic_up
grpe,rpoh,+,ecocyc_28,no,yes,jovanovic_up
grpe,crp,+,ecocyc_28,yes,no,jovanovic_up
hslv,rpoh,+,ecocyc_28,no,yes,jovanovic_up
ilvl,ihfb,±,ecocyc_28,yes,no,jovanovic_up
ilvl,ihfa,±,ecocyc_28,yes,no,jovanovic_up
ilvl,rpod,+,ecocyc_28,no,yes,jovanovic_up
ilvl,nac,+,ecocyc_28_AND_regdb_13,yes,no,jovanovic_up
ilvl,lrp,±,ecocyc_28,yes,no,jovanovic_up
