gene,regulator,polarity,source,is_global_regulator,is_sigma_factor,deg_source
accd,accd,-,ecocyc_28,no,no,lu_down
accd,rpod,+,ecocyc_28,no,yes,lu_down
accd,fadr,+,ecocyc_28_AND_regdb_13,no,no,lu_down
accd,acca,-,ecocyc_28,no,no,lu_down
acnb,rpod,+,ecocyc_28,no,yes,lu_down
acnb,crp,+,ecocyc_28,yes,no,lu_down
acnb,acnb,+,ecocyc_28,no,no,lu_down
acnb,cra,±,ecocyc_28,yes,no,lu_down
acnb,arca,-,ecocyc_28_AND_regdb_13,yes,no,lu_down
acnb,ryhb,-,ecocyc_28,yes,no,lu_down
acnb,fis,-,ecocyc_28,yes,no,lu_down
acps,rpod,+,ecocyc_28,no,yes,lu_down
alat,rpoh,+,ecocyc_28,no,yes,durfee_down
alat,rpod,+,ecocyc_28,no,yes,durfee_down
alat,nhar,±,ecocyc_28_AND_regdb_13,yes,no,durfee_down
alat,fis,+,ecocyc_28_AND_regdb_13,yes,no,durfee_down
alat,lrp,-,ecocyc_28_AND_regdb_13,yes,no,durfee_down
alat,dksa,-,ecocyc_28,yes,no,durfee_down
alau,rpoh,+,ecocyc_28,no,yes,durfee_down
alau,rpod,+,ecocyc_28,no,yes,durfee_down
alau,lrp,±,ecocyc_28,yes,no,durfee_down
alau,fis,+,ecocyc_28_AND_regdb_13,yes,no,durfee_down
alau,hns,±,ecocyc_28,yes,no,durfee_down
alau,nhar,-,ecocyc_28_AND_regdb_13,yes,no,durfee_down
alau,dksa,-,ecocyc_28,yes,no,durfee_down
amn,phob,+,ecocyc_28,yes,no,lu_down
amn,nac,-,ecocyc_28_AND_regdb_13,yes,no,lu_down
apt,glar,-,ecocyc_28_AND_regdb_13,yes,no,durfee_down
apt,rpod,+,ecocyc_28,no,yes,durfee_down
aroa,crp,-,ecocyc_28_AND_regdb_13,yes,no,lu_down
aroa,rpod,+,ecocyc_28,no,yes,lu_down
aroa,lrp,±,ecocyc_28_AND_regdb_13,yes,no,lu_down
arob,glar,-,ecocyc_28_AND_regdb_13,yes,no,lu_down
arob,rpod,+,ecocyc_28,no,yes,lu_down
arod,nac,-,ecocyc_28_AND_regdb_13,yes,no,lu_down
arod,rpod,+,ecocyc_28,no,yes,lu_down
arog,tyrr,-,ecocyc_28_AND_regdb_13,no,no,lu_down
arog,cpxr,+,ecocyc_28_AND_regdb_13,yes,no,lu_down
arog,rpod,+,ecocyc_28,no,yes,lu_down
arog,lrp,±,ecocyc_28,yes,no,lu_down
aroh,trpr,-,ecocyc_28_AND_regdb_13,no,no,lu_down
aroh,rpod,+,ecocyc_28,no,yes,lu_down
arok,argr,-,ecocyc_28_AND_regdb_13,yes,no,lu_down
arok,rpod,+,ecocyc_28,no,yes,lu_down
asd,gcvb,-,ecocyc_28,yes,no,lu_down
asd,argp,+,ecocyc_28_AND_regdb_13,no,no,lu_down
asd,sgrs,-,ecocyc_28,no,no,lu_down
aspc,fur,-,ecocyc_28,yes,no,lu_down
aspc,fnr,±,ecocyc_28,yes,no,lu_down
aspc,lrp,+,ecocyc_28,yes,no,lu_down
atpb,cpxr,+,ecocyc_28_AND_regdb_13,yes,no,lu_down
atpb,rpod,+,ecocyc_28,no,yes,lu_down
atpe,rpod,+,ecocyc_28,no,yes,lu_down
atpf,rpod,+,ecocyc_28,no,yes,lu_down
atph,rpod,+,ecocyc_28,no,yes,lu_down
atph,lrp,-,ecocyc_28,yes,no,lu_down
bcp,rpod,+,ecocyc_28,no,yes,lu_down
cbl,glng,+,ecocyc_28,yes,no,lu_down
cbl,rpod,+,ecocyc_28,no,yes,lu_down
cbl,cysb,+,ecocyc_28_AND_regdb_13,yes,no,lu_down
cbl,lrp,+,ecocyc_28,yes,no,lu_down
cbl,cpxr,-,ecocyc_28,yes,no,lu_down
cher,flia,+,ecocyc_28,no,yes,zhu_down
cher,fnr,+,ecocyc_28,yes,no,zhu_down
cmtb,nac,+,ecocyc_28_AND_regdb_13,yes,no,sanchez_vasquez_down
cobt,nac,-,ecocyc_28_AND_regdb_13,yes,no,lu_down
cobt,rpod,+,ecocyc_28,no,yes,lu_down
cspb,zrar,+,ecocyc_28_AND_regdb_13,no,no,lu_down
cspb,rpod,+,ecocyc_28,no,yes,lu_down
cspc,rpon,-,ecocyc_28,no,yes,lu_down
cspc,btsr,-,ecocyc_28_AND_regdb_13,no,no,lu_down
cspc,rpod,+,ecocyc_28,no,yes,lu_down
cspe,dinj,-,ecocyc_28,no,no,lu_down
cspe,rpod,+,ecocyc_28,no,yes,lu_down
cspe,yafq,-,ecocyc_28,no,no,lu_down
cspe,crp,+,ecocyc_28_AND_regdb_13,yes,no,lu_down
cspe,ydip,+,ecocyc_28,no,no,lu_down
cspe,dinj-yafq,-,regdb_13,no,no,lu_down
cspi,fis,-,ecocyc_28,yes,no,lu_down
cspi,basr,+,ecocyc_28_AND_regdb_13,no,no,lu_down
cvpa,argr,-,ecocyc_28_AND_regdb_13,yes,no,lu_down-sanchez_vasquez_down
cvpa,rpod,+,ecocyc_28,no,yes,lu_down-sanchez_vasquez_down
cvpa,purr,-,ecocyc_28_AND_regdb_13,yes,no,lu_down-sanchez_vasquez_down
cyoe,rpod,+,ecocyc_28,no,yes,lu_down
cyoe,crp,+,ecocyc_28,yes,no,lu_down
cyoe,cra,±,ecocyc_28,yes,no,lu_down
cyoe,fur,-,ecocyc_28,yes,no,lu_down
cyoe,arca,-,ecocyc_28_AND_regdb_13,yes,no,lu_down
cyoe,hprr,-,ecocyc_28,no,no,lu_down
cyoe,fis,+,ecocyc_28,yes,no,lu_down
cyoe,cusr,+,ecocyc_28,no,no,lu_down
cyoe,pdhr,-,ecocyc_28_AND_regdb_13,yes,no,lu_down
cyoe,fnr,-,ecocyc_28,yes,no,lu_down
cyoe,gade,+,ecocyc_28,yes,no,lu_down
cysa,rpod,+,ecocyc_28,no,yes,lu_down
cysa,hns,-,ecocyc_28,yes,no,lu_down
cysa,cysb,+,ecocyc_28_AND_regdb_13,yes,no,lu_down
cysb,cysb,-,ecocyc_28,yes,no,lu_down
cysb,phop,+,ecocyc_28,no,no,lu_down
cysb,rpod,+,ecocyc_28,no,yes,lu_down
cysb,lrp,-,ecocyc_28,yes,no,lu_down
cysc,rpod,+,ecocyc_28,no,yes,lu_down
cysc,cysb,+,ecocyc_28_AND_regdb_13,yes,no,lu_down
cysd,rpod,+,ecocyc_28,no,yes,lu_down
cysd,cysb,+,ecocyc_28_AND_regdb_13,yes,no,lu_down
