gene,regulator,polarity,source,is_global_regulator,is_sigma_factor,deg_source
acre,rpod,+,ecocyc_28,no,yes,lu_up
acre,nac,-,ecocyc_28_AND_regdb_13,yes,no,lu_up
acre,hns,-,ecocyc_28,yes,no,lu_up
acre,fnr,+,ecocyc_28,yes,no,lu_up
acre,zrar,+,ecocyc_28_AND_regdb_13,no,no,lu_up
add,rbsr,+,ecocyc_28_AND_regdb_13,no,no,sanchez_vasquez_up
add,rpod,+,ecocyc_28,no,yes,sanchez_vasquez_up
adia,torr,+,ecocyc_28,no,no,lu_up
adia,rpod,+,ecocyc_28,no,yes,lu_up
adia,ihfa,+,ecocyc_28,yes,no,lu_up
adia,ydeo,-,ecocyc_28,no,no,lu_up
adia,adiy,+,ecocyc_28_AND_regdb_13,no,no,lu_up
adia,hns,-,ecocyc_28,yes,no,lu_up
adia,ihfb,+,ecocyc_28,yes,no,lu_up
adia,ihf,+,regdb_13,no,no,lu_up
adiy,sgrs,-,ecocyc_28_AND_regdb_13,no,no,lu_up
adiy,hns,-,ecocyc_28,yes,no,lu_up
adiy,h-ns,-,regdb_13,no,no,lu_up
agab,agar,-,ecocyc_28_AND_regdb_13,no,no,lu_up
agab,rpod,+,ecocyc_28,no,yes,lu_up
agai,agar,-,ecocyc_28_AND_regdb_13,no,no,lu_up
agai,rpod,+,ecocyc_28,no,yes,lu_up
agas,agar,-,ecocyc_28_AND_regdb_13,no,no,lu_up
agas,rpod,+,ecocyc_28,no,yes,lu_up
agav,agar,-,ecocyc_28_AND_regdb_13,no,no,lu_up
agav,crp,+,ecocyc_28_AND_regdb_13,yes,no,lu_up
agav,rpod,+,ecocyc_28,no,yes,lu_up
agaw,agar,-,regdb_13,no,no,lu_up
agaw,crp,+,regdb_13,yes,no,lu_up
aldb,crp,+,ecocyc_28_AND_regdb_13,yes,no,lu_up
aldb,fis,-,ecocyc_28_AND_regdb_13,yes,no,lu_up
aldb,rpos,+,ecocyc_28,no,yes,lu_up
alla,allr,-,ecocyc_28_AND_regdb_13,no,no,lu_up
allb,allr,-,ecocyc_28_AND_regdb_13,no,no,lu_up
allb,rpod,+,ecocyc_28,no,yes,lu_up
allc,alls,+,ecocyc_28,no,no,lu_up
allc,rpod,+,ecocyc_28,no,yes,lu_up
