gene,regulator,polarity,source,is_global_regulator,is_sigma_factor,deg_source
arof,tyrr,-,ecocyc_28_AND_regdb_13,no,no,kim_down
arof,rpod,+,ecocyc_28,no,yes,kim_down
arof,nac,-,ecocyc_28_AND_regdb_13,yes,no,kim_down
arof,soxr,+,ecocyc_28_AND_regdb_13,no,no,kim_down
arol,rpod,+,ecocyc_28,no,yes,kim_down
arol,tyrr,-,ecocyc_28_AND_regdb_13,no,no,kim_down
arol,trpr,-,ecocyc_28_AND_regdb_13,no,no,kim_down
atoa,ihfb,+,ecocyc_28,yes,no,kim_down
atoa,atoc,+,ecocyc_28_AND_regdb_13,no,no,kim_down
atoa,ihfa,+,ecocyc_28,yes,no,kim_down
atoa,rpon,+,ecocyc_28,no,yes,kim_down
atoa,ihf,+,regdb_13,no,no,kim_down
atod,spf,-,ecocyc_28,yes,no,kim_down
atod,ihfa,+,ecocyc_28,yes,no,kim_down
atod,atoc,+,ecocyc_28_AND_regdb_13,no,no,kim_down
atod,rpon,+,ecocyc_28,no,yes,kim_down
atod,ihfb,+,ecocyc_28,yes,no,kim_down
atod,ihf,+,regdb_13,no,no,kim_down
cara,ihfa,±,ecocyc_28,yes,no,kim_down
cara,rpod,+,ecocyc_28,no,yes,kim_down
cara,arca,+,ecocyc_28_AND_regdb_13,yes,no,kim_down
cara,fis,+,ecocyc_28,yes,no,kim_down
cara,rutr,+,ecocyc_28_AND_regdb_13,no,no,kim_down
cara,argr,-,ecocyc_28_AND_regdb_13,yes,no,kim_down
cara,cpxr,+,ecocyc_28_AND_regdb_13,yes,no,kim_down
cara,ihfb,±,ecocyc_28,yes,no,kim_down
cara,purr,-,ecocyc_28_AND_regdb_13,yes,no,kim_down
cara,pepa,-,ecocyc_28_AND_regdb_13,no,no,kim_down
cara,ihf,±,regdb_13,no,no,kim_down
codb,nac,+,ecocyc_28_AND_regdb_13,yes,no,kim_down
codb,purr,-,ecocyc_28_AND_regdb_13,yes,no,kim_down
codb,rpod,+,ecocyc_28,no,yes,kim_down
cyns,cynr,+,ecocyc_28_AND_regdb_13,no,no,kim_down
cyns,rpod,+,ecocyc_28,no,yes,kim_down
cynt,cynr,+,ecocyc_28_AND_regdb_13,no,no,kim_down
cynt,nac,-,ecocyc_28_AND_regdb_13,yes,no,kim_down
cynt,rpod,+,ecocyc_28,no,yes,kim_down
efeb,fur,-,ecocyc_28_AND_regdb_13,yes,no,kim_down
efeo,fur,-,ecocyc_28_AND_regdb_13,yes,no,kim_down
eptb,rpod,+,ecocyc_28,no,yes,kim_down
eptb,lrp,+,ecocyc_28,yes,no,kim_down
eptb,mgrr,-,ecocyc_28,no,no,kim_down
eptb,rpoe,+,ecocyc_28,no,yes,kim_down
eptb,arcz,-,ecocyc_28_AND_regdb_13,no,no,kim_down
fabb,rpod,+,ecocyc_28,no,yes,kim_down
fabb,fabr,-,ecocyc_28_AND_regdb_13,no,no,kim_down
fabb,fadr,+,ecocyc_28_AND_regdb_13,no,no,kim_down
feca,hypt,-,ecocyc_28,no,no,kim_down
feca,feci,+,ecocyc_28,no,yes,kim_down
feca,pdhr,+,ecocyc_28,yes,no,kim_down
feca,fur,-,ecocyc_28_AND_regdb_13,yes,no,kim_down
feca,crp,+,ecocyc_28,yes,no,kim_down
fklb,nac,-,ecocyc_28_AND_regdb_13,yes,no,kim_down
flga,flhd,+,ecocyc_28,yes,no,kim_down
flga,rpod,+,ecocyc_28,no,yes,kim_down
flga,flhc,+,ecocyc_28,yes,no,kim_down
flga,flhdc,+,regdb_13,no,no,kim_down
flgb,flhd,+,ecocyc_28,yes,no,kim_down
flgb,rpod,+,ecocyc_28,no,yes,kim_down
flgb,flhc,+,ecocyc_28,yes,no,kim_down
