gene,regulator,polarity,source,is_global_regulator,is_sigma_factor,deg_source
cspa,rpod,+,ecocyc_28,no,yes,wu_down
cspa,fis,+,ecocyc_28,yes,no,wu_down
cspa,cpxr,+,ecocyc_28,yes,no,wu_down
cspa,zrar,-,ecocyc_28,no,no,wu_down
cspa,ydip,+,ecocyc_28,no,no,wu_down
cspa,hns,-,ecocyc_28,yes,no,wu_down
cspa,h-ns,-,regdb_13,no,no,wu_down
fdoh,sdhx,-,ecocyc_28_AND_regdb_13,no,no,wu_down
ompc,rybb,-,ecocyc_28,no,no,wu_down
ompc,rpod,+,ecocyc_28,no,yes,wu_down
ompc,lrp,-,ecocyc_28_AND_regdb_13,yes,no,wu_down
ompc,envy,+,ecocyc_28,no,no,wu_down
ompc,yjjq,-,ecocyc_28,no,no,wu_down
ompc,ompr,+,ecocyc_28_AND_regdb_13,yes,no,wu_down
ompc,ihfb,-,ecocyc_28,yes,no,wu_down
ompc,malh,-,ecocyc_28,no,no,wu_down
ompc,cpxr,+,ecocyc_28_AND_regdb_13,yes,no,wu_down
ompc,rsex,-,ecocyc_28,no,no,wu_down
ompc,micc,-,ecocyc_28_AND_regdb_13,no,no,wu_down
ompc,ihfa,-,ecocyc_28,yes,no,wu_down
ompc,ihf,-,regdb_13,no,no,wu_down
sdaa,rpoh,+,ecocyc_28,no,yes,wu_down
sdaa,nac,-,ecocyc_28_AND_regdb_13,yes,no,wu_down
sdaa,lrp,-,ecocyc_28_AND_regdb_13,yes,no,wu_down
sdac,lrp,-,ecocyc_28_AND_regdb_13,yes,no,wu_down
yiad,nac,-,ecocyc_28_AND_regdb_13,yes,no,wu_down
yqhd,fur,+,ecocyc_28_AND_regdb_13,yes,no,wu_down
yqhd,rpod,+,ecocyc_28,no,yes,wu_down
yqhd,yqhc,+,ecocyc_28_AND_regdb_13,no,no,wu_down
